city,tier,year,gdp_100m,fai_100m,re_invest_100m,infra_invest_100m,inv_gdp_ratio,re_gdp_ratio,urban_rate,ter_share,urban_pop_10k,housing_stock_10k_m2,housing_price_yuan_m2,V_housing_100m,K_pim_100m,urban_q,delta_V,delta_V_over_V,MUQ,pop_growth
三明市,三线,2005,1119.0965,208.7390,175.8398,32.8991,0.1865,0.1571,0.5335,0.3223,88.7253,3443.2675,2164.7225,745.3719,1252.4339,0.5951,,,,
三明市,三线,2006,1243.9860,218.3188,193.5255,24.7933,0.1755,0.1556,0.5503,0.3337,89.2693,3948.9060,2245.7835,886.8388,1439.4418,0.6161,141.4669,0.1898,0.6480,0.0061
三明市,三线,2007,1390.7061,299.1245,241.6633,57.4612,0.2151,0.1738,0.5683,0.3367,90.0540,4539.8429,2386.1897,1083.2927,1702.5802,0.6363,196.4539,0.2215,0.6568,0.0088
三明市,三线,2008,1562.7639,265.9399,267.1376,0.0000,0.1702,0.1709,0.5897,0.3489,91.9529,5148.6591,2430.8972,1251.5861,1925.9556,0.6499,168.2934,0.1554,0.6328,0.0211
三明市,三线,2009,1687.1074,282.1704,320.5821,0.0000,0.1673,0.1900,0.6070,0.3468,94.1000,5836.9774,2552.1159,1489.6643,2159.9770,0.6897,238.0782,0.1902,0.8437,0.0234
三明市,三线,2010,1915.5735,314.5165,370.6425,0.0000,0.1642,0.1935,0.6247,0.3494,96.4600,6587.2821,2696.2494,1776.0956,2420.4941,0.7338,286.4313,0.1923,0.9107,0.0251
三明市,三线,2011,2135.0736,365.7658,379.2323,0.0000,0.1713,0.1776,0.6438,0.3547,98.1769,7306.0279,2892.1820,2113.0363,2725.7475,0.7752,336.9407,0.1897,0.9212,0.0178
三明市,三线,2012,2375.7025,438.5845,475.5949,0.0000,0.1846,0.2002,0.6602,0.3587,100.4398,8168.5640,2906.7871,2374.4277,3096.1883,0.7669,261.3914,0.1237,0.5960,0.0230
三明市,三线,2013,2660.8794,585.2989,597.0693,0.0000,0.2200,0.2244,0.6790,0.3638,101.9560,9206.3833,3106.2363,2859.7202,3604.0826,0.7935,485.2925,0.2044,0.8291,0.0151
三明市,三线,2014,3011.4156,709.4886,664.6450,44.8436,0.2356,0.2207,0.6938,0.3653,104.4311,10304.7284,3266.1393,3365.6678,4223.4691,0.7969,505.9476,0.1769,0.7131,0.0243
三明市,三线,2015,3154.4688,713.6011,671.2298,42.3713,0.2262,0.2128,0.7112,0.3657,105.9304,11352.3608,3387.6972,3845.8361,4831.4835,0.7960,480.1683,0.1427,0.6729,0.0144
三明市,三线,2016,3353.0998,722.0496,711.6148,10.4348,0.2153,0.2122,0.7283,0.3670,108.6722,12408.6150,3455.9782,4288.3903,5432.7460,0.7894,442.5542,0.1151,0.6129,0.0259
三明市,三线,2017,3512.0584,611.4703,718.3850,0.0000,0.1741,0.2045,0.7491,0.3698,110.0854,13418.8209,3600.3484,4831.2431,5908.3977,0.8177,542.8527,0.1266,0.8878,0.0130
三明市,三线,2018,3623.4418,699.8457,703.9808,0.0000,0.1931,0.1943,0.7693,0.3768,112.2715,14353.9707,3693.9540,5302.2908,6460.5335,0.8207,471.0477,0.0975,0.6731,0.0199
三明市,三线,2019,3865.8028,792.2928,724.1813,68.1115,0.2049,0.1873,0.7888,0.3830,114.6123,15270.2085,3818.7828,5831.3610,7091.3129,0.8223,529.0702,0.0998,0.6678,0.0208
上海市,一线,2005,8603.0947,1452.9692,769.4008,683.5684,0.1689,0.0894,0.8657,0.6251,1437.3096,27724.9004,9805.5886,27185.8968,8717.8153,3.1184,,,,
上海市,一线,2006,9343.2054,1810.7062,933.7880,876.9182,0.1938,0.0999,0.8680,0.6291,1486.2753,30053.5714,12070.6667,36276.6644,10310.5761,3.5184,9090.7676,0.3344,5.0206,0.0341
上海市,一线,2007,10123.3631,1966.4164,1279.6565,686.7599,0.1942,0.1264,0.8723,0.6349,1536.6735,33091.2699,14096.7322,46647.8769,12019.2281,3.8811,10371.2126,0.2859,5.2742,0.0339
上海市,一线,2008,10967.7399,1849.7729,1346.3102,503.4627,0.1687,0.1228,0.8766,0.6410,1577.5489,36057.4434,15548.2705,56063.0884,13568.5202,4.1318,9415.2115,0.2018,5.0899,0.0266
上海市,一线,2009,11777.2989,2429.5995,1349.5193,1080.0801,0.2063,0.1146,0.8814,0.6424,1630.0540,38811.1443,17762.1778,68937.0446,15658.9067,4.4024,12873.9562,0.2296,5.2988,0.0333
上海市,一线,2010,12805.9606,2837.0855,1760.9931,1076.0924,0.2215,0.1375,0.8872,0.6486,1685.6557,42265.1996,21023.0713,88854.4302,18104.5195,4.9079,19917.3856,0.2889,7.0204,0.0341
上海市,一线,2011,14476.0484,2985.8795,1774.5871,1211.2924,0.2063,0.1226,0.8895,0.6534,1739.1007,45514.1072,24853.6790,113119.3010,20637.7861,5.4812,24264.8708,0.2731,8.1265,0.0317
上海市,一线,2012,16012.1502,3732.1701,2152.8781,1579.2919,0.2331,0.1345,0.8928,0.6666,1796.7142,49294.1362,30546.9282,150578.4440,23854.0115,6.3125,37459.1430,0.3311,10.0368,0.0331
上海市,一线,2013,17438.9227,3364.9572,2499.7837,865.1735,0.1930,0.1433,0.8981,0.6730,1849.9614,53488.2892,36519.7918,195338.1187,26622.6184,7.3373,44759.6747,0.2973,13.3017,0.0296
上海市,一线,2014,18995.5397,3455.5208,2626.1863,829.3345,0.1819,0.1383,0.9024,0.6742,1907.0621,57657.0236,41277.4729,237993.6228,29412.5737,8.0916,42655.5041,0.2184,12.3442,0.0309
上海市,一线,2015,20282.7436,3901.7227,2867.9967,1033.7260,0.1924,0.1414,0.9040,0.6803,1969.6212,61997.0192,43401.1198,269074.0058,32578.9821,8.2591,31080.3830,0.1306,7.9658,0.0328
上海市,一线,2016,22041.2389,5046.4387,2716.1975,2330.2412,0.2290,0.1232,0.9089,0.6869,2033.7821,65842.0312,44769.4447,294771.1174,36810.9463,8.0077,25697.1117,0.0955,5.0921,0.0326
上海市,一线,2017,24562.6659,5333.3107,3574.1262,1759.1845,0.2171,0.1455,0.9140,0.6909,2102.5134,70826.9681,47874.8300,339082.9056,41223.9833,8.2254,44311.7881,0.1503,8.3085,0.0338
上海市,一线,2018,26236.3738,5216.0848,3317.5072,1898.5775,0.1988,0.1264,0.9225,0.6903,2172.8032,75157.9499,50360.5579,378499.6284,45409.4685,8.3353,39416.7228,0.1162,7.5568,0.0334
上海市,一线,2019,27803.7718,5336.7541,3874.0566,1462.6975,0.1919,0.1393,0.9243,0.6932,2245.3704,80075.7215,52957.6272,424062.0204,49610.9858,8.5477,45562.3920,0.1204,8.5375,0.0334
上饶市,三线,2005,975.5842,431.8674,116.3468,315.5206,0.4427,0.1193,0.3627,0.3332,61.0846,2334.8559,2337.8378,545.8514,2591.2044,0.2107,,,,
上饶市,三线,2006,1183.6034,541.1437,179.0261,362.1176,0.4572,0.1513,0.3762,0.3360,62.5493,2811.1151,2532.0183,711.7795,3067.5680,0.2320,165.9281,0.3040,0.3066,0.0240
上饶市,三线,2007,1406.3597,639.1344,218.7573,420.3771,0.4545,0.1555,0.3873,0.3413,63.4783,3353.6751,2703.9864,906.8292,3630.0132,0.2498,195.0497,0.2740,0.3052,0.0149
上饶市,三线,2008,1662.0219,709.6522,262.8184,446.8338,0.4270,0.1581,0.3978,0.3438,64.6734,3963.7752,2811.6400,1114.4709,4248.9150,0.2623,207.6417,0.2290,0.2926,0.0188
上饶市,三线,2009,1881.5700,912.5851,274.4843,638.1009,0.4850,0.1459,0.4106,0.3466,65.9863,4557.5626,2915.8488,1328.9164,5055.2773,0.2629,214.4455,0.1924,0.2350,0.0203
上饶市,三线,2010,2220.7086,1094.8027,370.3968,724.4059,0.4930,0.1668,0.4184,0.3499,67.9004,5320.1255,3071.6538,1634.1584,6023.6981,0.2713,305.2420,0.2297,0.2788,0.0290
上饶市,三线,2011,2684.2119,1438.9451,433.6433,1005.3018,0.5361,0.1616,0.4252,0.3531,69.1911,6164.1173,3203.8910,1974.9160,7312.0507,0.2701,340.7576,0.2085,0.2368,0.0190
上饶市,三线,2012,3215.4052,1702.5823,549.9334,1152.6489,0.5295,0.1710,0.4348,0.3589,70.8161,7184.3123,3398.9957,2441.9447,8831.8318,0.2765,467.0287,0.2365,0.2743,0.0235
上饶市,三线,2013,3807.8895,1851.9224,687.4653,1164.4571,0.4863,0.1805,0.4442,0.3615,72.4762,8401.4665,3695.4266,3104.7003,10462.9584,0.2967,662.7556,0.2714,0.3579,0.0234
上饶市,三线,2014,4473.7692,2387.6133,824.5844,1563.0289,0.5337,0.1843,0.4557,0.3667,73.6618,9794.3194,3848.3296,3769.1770,12588.9977,0.2994,664.4766,0.2140,0.2783,0.0164
上饶市,三线,2015,4739.2226,2420.8659,872.8260,1548.0399,0.5108,0.1842,0.4703,0.3701,75.7517,11192.6493,4038.7225,4520.4004,14695.1387,0.3076,751.2235,0.1993,0.3103,0.0284
上饶市,三线,2016,5070.6040,2390.3434,783.5721,1606.7712,0.4714,0.1545,0.4808,0.3766,77.3591,12368.7867,4153.7558,5137.6919,16718.1036,0.3073,617.2915,0.1366,0.2582,0.0212
上饶市,三线,2017,5410.3478,2589.8774,891.7941,1698.0833,0.4787,0.1648,0.4904,0.3793,79.4608,13653.1947,4161.5601,5681.8591,18890.0284,0.3008,544.1672,0.1059,0.2101,0.0272
上饶市,三线,2018,5847.7575,2892.6869,877.0080,2015.6789,0.4947,0.1500,0.5045,0.3783,80.7698,14848.8268,4416.5922,6558.1213,21310.4645,0.3077,876.2622,0.1542,0.3029,0.0165
上饶市,三线,2019,6338.3260,3100.6387,979.8336,2120.8050,0.4892,0.1546,0.5148,0.3837,82.8686,16134.2414,4554.7809,7348.7934,23878.3416,0.3078,790.6721,0.1206,0.2550,0.0260
东莞市,新一线,2005,2708.1887,566.8413,558.2251,8.6162,0.2093,0.2061,0.5438,0.4092,1138.6215,16493.7645,3248.2089,5357.5194,3401.0476,1.5753,,,,
东莞市,新一线,2006,3116.2805,555.7973,659.6078,0.0000,0.1784,0.2117,0.5568,0.4122,1178.6438,18169.5930,3615.5579,6569.3215,3871.8188,1.6967,1211.8022,0.2262,2.1803,0.0351
东莞市,新一线,2007,3510.3380,611.0723,706.9790,0.0000,0.1741,0.2014,0.5757,0.4140,1214.1459,19832.1900,4020.0307,7972.6013,4386.0956,1.8177,1403.2797,0.2136,2.2964,0.0301
东莞市,新一线,2008,4046.2127,751.4354,903.4668,0.0000,0.1857,0.2233,0.5913,0.4185,1256.5544,21846.4400,4185.1539,9143.0714,5027.8786,1.8185,1170.4702,0.1468,1.5576,0.0349
东莞市,新一线,2009,4469.0361,1091.5736,1038.4816,53.0920,0.2443,0.2324,0.6065,0.4224,1296.3776,24024.4717,4461.1582,10717.6970,5993.7553,1.7881,1574.6255,0.1722,1.4425,0.0317
东莞市,新一线,2010,5036.7906,1012.3231,1246.9343,0.0000,0.2010,0.2476,0.6235,0.4314,1334.5036,26504.8108,4832.6267,12808.7856,6856.2345,1.8682,2091.0886,0.1951,2.0656,0.0294
东莞市,新一线,2011,5538.6817,1055.7575,1413.3175,0.0000,0.1906,0.2552,0.6363,0.4349,1380.1478,29163.8680,5330.1009,15544.6359,7740.5861,2.0082,2735.8503,0.2136,2.5914,0.0342
东莞市,新一线,2012,6312.2907,1282.3312,1555.0137,0.0000,0.2031,0.2463,0.6492,0.4447,1419.3280,31931.2727,5839.4611,18646.1423,8829.4027,2.1118,3101.5065,0.1995,2.4186,0.0284
东莞市,新一线,2013,7257.4314,1714.7424,1943.6222,0.0000,0.2363,0.2678,0.6648,0.4496,1455.4946,35256.2515,6392.8417,22538.7635,10323.4100,2.1833,3892.6212,0.2088,2.2701,0.0255
东莞市,新一线,2014,8246.8968,1485.9887,2288.6620,0.0000,0.1802,0.2775,0.6799,0.4555,1497.2752,39002.7852,6753.8037,26341.7153,11551.3135,2.2804,3802.9518,0.1687,2.5592,0.0287
东莞市,新一线,2015,8899.4703,1710.3988,2394.3252,0.0000,0.1922,0.2690,0.6949,0.4663,1534.7046,42717.3149,6753.3449,28848.4759,12972.9294,2.2237,2506.7605,0.0952,1.4656,0.0250
东莞市,新一线,2016,9615.4259,2018.1628,2469.3504,0.0000,0.2099,0.2568,0.7107,0.4732,1589.2611,46349.3479,6982.0419,32361.3089,14666.7690,2.2064,3512.8330,0.1218,1.7406,0.0355
东莞市,新一线,2017,10493.5534,2022.1650,2690.8455,0.0000,0.1927,0.2564,0.7252,0.4753,1645.7361,50134.5579,7434.8224,37274.1535,16322.2648,2.2836,4912.8446,0.1518,2.4295,0.0355
东莞市,新一线,2018,11396.2390,1732.2049,2881.6997,0.0000,0.1520,0.2529,0.7397,0.4813,1696.6758,54010.4776,7554.8584,40804.1508,17646.4131,2.3123,3529.9973,0.0947,2.0379,0.0310
东莞市,新一线,2019,12471.1460,2302.9510,3045.5550,0.0000,0.1847,0.2442,0.7560,0.4881,1739.6403,57927.2826,7718.5021,44711.1851,19508.2038,2.2919,3907.0343,0.0958,1.6965,0.0253
中山市,二线,2005,2021.2635,509.6560,433.9704,75.6856,0.2521,0.2147,0.5296,0.2844,259.2979,6594.5117,2892.9878,1907.7842,3057.9359,0.6239,,,,
中山市,二线,2006,2356.4482,528.8991,524.4561,4.4430,0.2244,0.2226,0.5507,0.2910,264.6769,7992.1650,2902.5704,2319.7821,3510.3866,0.6608,411.9980,0.2160,0.7790,0.0207
中山市,二线,2007,2807.6959,812.6092,659.3921,153.2171,0.2894,0.2349,0.5671,0.2956,269.3408,9632.3966,3119.6390,3004.9600,4235.2361,0.7095,685.1779,0.2954,0.8432,0.0176
中山市,二线,2008,3260.8008,768.4837,720.6838,47.7999,0.2357,0.2210,0.5797,0.3012,274.6787,11301.0126,3204.3235,3621.2101,4897.8389,0.7393,616.2501,0.2051,0.8019,0.0198
中山市,二线,2009,3662.4751,900.3666,1002.2885,0.0000,0.2458,0.2737,0.5933,0.3069,279.3372,13500.9760,3363.9200,4541.6203,5675.7596,0.8002,920.4103,0.2542,1.0223,0.0170
中山市,二线,2010,4243.1756,1002.8378,1084.5282,0.0000,0.2363,0.2556,0.6113,0.3149,286.8429,15732.2095,3505.8138,5515.4198,6536.7034,0.8438,973.7994,0.2144,0.9710,0.0269
中山市,二线,2011,4926.2654,1376.9636,1310.2467,66.7168,0.2795,0.2660,0.6258,0.3247,292.9060,18285.7427,3668.2211,6707.6148,7750.2494,0.8655,1192.1950,0.2162,0.8658,0.0211
中山市,二线,2012,5829.3032,1518.1281,1491.3102,26.8178,0.2604,0.2558,0.6416,0.3265,298.7497,21036.6104,3831.1624,8059.4670,9074.6212,0.8881,1351.8523,0.2015,0.8905,0.0200
中山市,二线,2013,6694.6267,1685.0530,1895.2997,0.0000,0.2517,0.2831,0.6569,0.3284,303.1900,24379.9312,4091.2389,9974.4124,10532.8087,0.9470,1914.9453,0.2376,1.1364,0.0149
中山市,二线,2014,7820.4774,2222.7744,2299.6634,0.0000,0.2842,0.2941,0.6706,0.3342,308.0054,28254.9321,4203.8578,11877.9716,12492.2629,0.9508,1903.5593,0.1908,0.8564,0.0159
中山市,二线,2015,8152.9293,2405.6958,2342.7432,62.9526,0.2951,0.2873,0.6842,0.3399,315.8020,31988.5139,4433.6969,14182.7376,14585.6521,0.9724,2304.7660,0.1940,0.9580,0.0253
中山市,二线,2016,8572.3036,2510.1366,2454.3421,55.7945,0.2928,0.2863,0.7008,0.3466,324.3511,35703.1638,4809.6237,17171.8782,16731.1474,1.0263,2989.1406,0.2108,1.1908,0.0271
中山市,二线,2017,9083.8022,2298.2355,2390.8778,0.0000,0.2530,0.2632,0.7143,0.3512,332.6164,39121.2024,5080.3333,19874.8749,18611.1042,1.0679,2702.9967,0.1574,1.1761,0.0255
中山市,二线,2018,9386.1318,2730.8885,2564.4415,166.4470,0.2909,0.2732,0.7314,0.3562,341.3143,42625.3444,5295.3260,22571.5093,20876.7151,1.0812,2696.6345,0.1357,0.9875,0.0261
中山市,二线,2019,9996.4336,2294.0768,2620.7590,0.0000,0.2295,0.2622,0.7477,0.3590,351.1239,46034.3481,5546.3315,25532.1756,22648.8740,1.1273,2960.6663,0.1312,1.2906,0.0287
临沂市,三线,2005,586.4237,148.6561,126.8787,21.7774,0.2535,0.2164,0.2715,0.3302,47.8864,3855.6318,2301.1412,887.2353,891.9366,0.9947,,,,
临沂市,三线,2006,652.8311,171.6906,138.4634,33.2273,0.2630,0.2121,0.2833,0.3373,48.6440,4203.4848,2527.4753,1062.4204,1041.3288,1.0203,175.1851,0.1975,1.0204,0.0158
临沂市,三线,2007,730.5573,175.6085,176.5269,0.0000,0.2404,0.2416,0.2954,0.3444,49.3171,4621.9549,2662.6172,1230.6497,1190.9041,1.0334,168.2293,0.1583,0.9580,0.0138
临沂市,三线,2008,806.6614,228.3820,215.2791,13.1029,0.2831,0.2669,0.3087,0.3491,50.7823,5102.9495,2739.6028,1398.0054,1389.5135,1.0061,167.3558,0.1360,0.7328,0.0297
临沂市,三线,2009,856.4825,242.7328,204.2034,38.5294,0.2834,0.2384,0.3213,0.3545,51.7257,5523.1585,2756.7919,1522.6199,1597.5084,0.9531,124.6144,0.0891,0.5134,0.0186
临沂市,三线,2010,953.1341,334.5698,248.6504,85.9194,0.3510,0.2609,0.3321,0.3604,52.6986,6010.4369,2951.9482,1774.2498,1892.1405,0.9377,251.6300,0.1653,0.7521,0.0188
临沂市,三线,2011,1056.3416,351.7334,300.0138,51.7196,0.3330,0.2840,0.3396,0.3643,54.4648,6571.0507,3138.8760,2062.5714,2196.5704,0.9390,288.3215,0.1625,0.8197,0.0335
临沂市,三线,2012,1173.5744,382.8202,346.7228,36.0974,0.3262,0.2954,0.3500,0.3620,55.7404,7187.4178,3342.8022,2402.6116,2524.4763,0.9517,340.0402,0.1649,0.8883,0.0234
临沂市,三线,2013,1293.5356,394.0335,358.7052,35.3284,0.3046,0.2773,0.3621,0.3678,56.5445,7788.1158,3527.6052,2747.3398,2855.3979,0.9622,344.7282,0.1435,0.8749,0.0144
临沂市,三线,2014,1464.7916,419.0991,412.8389,6.2602,0.2861,0.2818,0.3742,0.3733,58.0605,8449.6477,3651.2297,3085.1605,3203.1121,0.9632,337.8207,0.1230,0.8061,0.0268
临沂市,三线,2015,1557.7979,455.8418,438.6487,17.1931,0.2926,0.2816,0.3867,0.3770,58.6687,9117.1204,3858.4150,3517.7634,3578.8761,0.9829,432.6029,0.1402,0.9490,0.0105
临沂市,三线,2016,1700.3491,454.7019,477.3388,0.0000,0.2674,0.2807,0.3964,0.3775,59.2191,9810.6158,4041.6888,3965.1456,3944.1060,1.0053,447.3822,0.1272,0.9839,0.0094
临沂市,三线,2017,1843.6444,512.5797,571.4259,0.0000,0.2780,0.3099,0.4066,0.3808,60.4754,10614.7610,4124.3243,4377.8717,4358.0831,1.0045,412.7261,0.1041,0.8052,0.0212
临沂市,三线,2018,1977.0542,589.4276,523.7480,65.6796,0.2981,0.2649,0.4151,0.3792,61.5283,11304.1801,4176.7076,4721.4255,4838.5587,0.9758,343.5538,0.0785,0.5829,0.0174
临沂市,三线,2019,2123.4634,573.7971,597.0363,0.0000,0.2702,0.2812,0.4265,0.3788,62.5845,12064.8499,4447.7487,5366.1421,5291.3918,1.0141,644.7166,0.1366,1.1236,0.0172
丹东市,三线,2005,50.0000,12.3997,14.0116,0.0000,0.2480,0.2802,0.4378,0.3494,90.9170,2628.9106,3200.3176,841.3349,74.3984,11.3085,,,,
丹东市,三线,2006,55.8466,16.7637,15.0791,1.6846,0.3002,0.2700,0.4577,0.3560,92.5304,2644.7027,3383.0442,894.7146,89.3022,10.0190,53.3797,0.0634,3.1842,0.0177
丹东市,三线,2007,64.0324,15.9675,19.5818,0.0000,0.2494,0.3058,0.4804,0.3562,93.9790,2669.3387,3644.6643,972.8844,103.0371,9.4421,78.1698,0.0874,4.8956,0.0157
丹东市,三线,2008,72.8472,17.8850,20.8302,0.0000,0.2455,0.2859,0.4998,0.3660,95.7715,2693.6581,3723.5080,1002.9858,118.3461,8.4750,30.1014,0.0309,1.6831,0.0191
丹东市,三线,2009,78.2605,23.2491,24.8470,0.0000,0.2971,0.3175,0.5184,0.3651,97.2476,2724.0608,3861.7013,1051.9509,138.6366,7.5878,48.9651,0.0488,2.1061,0.0154
丹东市,三线,2010,88.9499,26.8964,28.4956,0.0000,0.3024,0.3204,0.5351,0.3695,99.2595,2758.9923,4152.8536,1145.7691,162.0670,7.0697,93.8182,0.0892,3.4881,0.0207
丹东市,三线,2011,98.6153,30.4170,32.7886,0.0000,0.3084,0.3325,0.5544,0.3705,101.3269,2799.2408,4256.8601,1191.5977,188.4323,6.3237,45.8285,0.0400,1.5067,0.0208
丹东市,三线,2012,112.0165,34.5678,37.3506,0.0000,0.3086,0.3334,0.5718,0.3773,103.2784,2844.7249,4471.7961,1272.1030,218.2894,5.8276,80.5053,0.0676,2.3289,0.0193
丹东市,三线,2013,127.8028,42.7288,45.2944,0.0000,0.3343,0.3544,0.5899,0.3824,105.1574,2901.2046,4772.9431,1384.7284,255.5610,5.4184,112.6254,0.0885,2.6358,0.0182
丹东市,三线,2014,144.0056,48.4711,53.9605,0.0000,0.3366,0.3747,0.6107,0.3890,106.6615,2968.8382,4977.6169,1477.7739,297.6430,4.9649,93.0455,0.0672,1.9196,0.0143
丹东市,三线,2015,154.8443,52.7830,55.2874,0.0000,0.3409,0.3571,0.6309,0.3957,108.6870,3033.9282,5283.1887,1602.8815,342.9850,4.6733,125.1076,0.0847,2.3702,0.0190
丹东市,三线,2016,163.9860,50.4686,58.6365,0.0000,0.3078,0.3576,0.6506,0.3999,111.4009,3099.9777,5723.3816,1774.2355,384.8790,4.6099,171.3540,0.1069,3.3953,0.0250
丹东市,三线,2017,175.8253,50.8499,60.2931,0.0000,0.2892,0.3429,0.6692,0.4069,113.8182,3164.1775,5917.3113,1872.3423,426.1069,4.3941,98.1068,0.0553,1.9293,0.0217
丹东市,三线,2018,191.0772,55.4322,65.3981,0.0000,0.2901,0.3423,0.6929,0.4124,115.5003,3231.8746,6418.2586,2074.3007,470.8865,4.4051,201.9584,0.1079,3.6433,0.0148
丹东市,三线,2019,206.3668,68.0052,67.4462,0.5590,0.3295,0.3268,0.7143,0.4204,117.8829,3298.2577,6967.8205,2298.1667,527.1196,4.3599,223.8660,0.1079,3.2919,0.0206
丽水市,三线,2005,858.8264,268.1925,101.7825,166.4100,0.3123,0.1185,0.3290,0.4171,29.0061,3171.7141,2434.8833,772.2754,1609.1550,0.4799,,,,
丽水市,三线,2006,984.6571,280.1050,146.4631,133.6418,0.2845,0.1487,0.3420,0.4203,29.6196,3548.7313,2486.9044,882.5356,1849.0311,0.4773,110.2602,0.1428,0.3936,0.0211
丽水市,三线,2007,1148.5751,328.4512,177.5628,150.8884,0.2860,0.1546,0.3562,0.4246,30.2685,3976.4512,2551.2737,1014.5015,2131.2565,0.4760,131.9660,0.1495,0.4018,0.0219
丽水市,三线,2008,1325.6808,407.2407,205.2233,202.0173,0.3072,0.1548,0.3658,0.4339,30.5924,4439.2745,2596.6506,1152.7245,2485.2158,0.4638,138.2229,0.1362,0.3394,0.0107
丽水市,三线,2009,1459.8041,460.9190,236.1621,224.7569,0.3157,0.1618,0.3742,0.4374,30.8789,4939.8711,2684.4578,1326.0875,2884.0043,0.4598,173.3631,0.1504,0.3761,0.0094
丽水市,三线,2010,1686.4817,559.1820,301.8756,257.3064,0.3316,0.1790,0.3884,0.4442,31.4293,5549.1101,2757.6053,1530.2255,3371.0862,0.4539,204.1380,0.1539,0.3651,0.0178
丽水市,三线,2011,1911.9150,650.3214,293.6789,356.6425,0.3401,0.1536,0.4002,0.4528,31.9824,6101.2306,2897.5261,1767.8475,3937.1305,0.4490,237.6219,0.1553,0.3654,0.0176
丽水市,三线,2012,2215.5996,769.5578,384.4320,385.1259,0.3473,0.1735,0.4131,0.4550,32.4287,6796.4779,2944.4157,2001.1656,4608.2600,0.4343,233.3181,0.1320,0.3032,0.0140
丽水市,三线,2013,2599.8899,921.0397,468.1288,452.9109,0.3543,0.1801,0.4247,0.4640,33.1057,7606.2546,3115.6001,2369.8047,5414.0933,0.4377,368.6391,0.1842,0.4002,0.0209
丽水市,三线,2014,2962.4027,1105.7079,576.9032,528.8047,0.3732,0.1947,0.4382,0.4677,33.9051,8563.4515,3157.5025,2703.9120,6384.4488,0.4235,334.1073,0.1410,0.3022,0.0241
丽水市,三线,2015,3048.0389,952.3862,581.9635,370.4227,0.3125,0.1909,0.4508,0.4687,34.8964,9475.4687,3220.6037,3051.6730,7177.2238,0.4252,347.7610,0.1286,0.3651,0.0292
丽水市,三线,2016,3260.8685,1061.1176,565.4157,495.7019,0.3254,0.1734,0.4668,0.4766,35.9733,10310.1645,3367.3658,3471.8095,8058.9108,0.4308,420.1365,0.1377,0.3959,0.0309
丽水市,三线,2017,3419.6607,1058.7406,553.4894,505.2512,0.3096,0.1619,0.4793,0.4811,36.8383,11080.9935,3481.2260,3857.5443,8916.1786,0.4326,385.7348,0.1111,0.3643,0.0240
丽水市,三线,2018,3659.8683,1068.8535,600.5041,468.3494,0.2920,0.1641,0.4905,0.4837,37.7627,11882.3417,3625.2810,4307.6827,9762.1276,0.4413,450.1384,0.1167,0.4211,0.0251
丽水市,三线,2019,3824.6532,1197.4880,648.8047,548.6832,0.3131,0.1696,0.5041,0.4870,38.7839,12712.9886,3674.2268,4671.0403,10715.5624,0.4359,363.3576,0.0844,0.3034,0.0270
乌鲁木齐市,二线,2005,650.8397,200.3668,147.8120,52.5547,0.3079,0.2271,0.4124,0.3050,240.8155,7737.6940,3938.6557,3047.6113,1202.2005,2.5350,,,,
乌鲁木齐市,二线,2006,761.9231,227.7526,183.9397,43.8128,0.2989,0.2414,0.4284,0.3127,246.5480,8173.6373,4525.8924,3699.3003,1399.8981,2.6425,651.6890,0.2138,2.8614,0.0238
乌鲁木齐市,二线,2007,887.3670,301.4075,231.9635,69.4440,0.3397,0.2614,0.4407,0.3154,251.9463,8697.0231,5019.2579,4365.2602,1666.3082,2.6197,665.9599,0.1800,2.2095,0.0219
乌鲁木齐市,二线,2008,1049.0393,345.5039,245.7137,99.7901,0.3294,0.2342,0.4555,0.3220,257.5246,9211.8008,5339.0366,4918.2141,1970.1543,2.4964,552.9539,0.1267,1.6004,0.0221
乌鲁木齐市,二线,2009,1166.1938,379.1353,317.7905,61.3448,0.3251,0.2725,0.4728,0.3287,261.9275,9853.0455,5720.1780,5636.1174,2300.0358,2.4504,717.9033,0.1460,1.8935,0.0171
乌鲁木齐市,二线,2010,1346.4514,482.3258,369.1610,113.1648,0.3582,0.2742,0.4861,0.3315,269.6418,10559.9572,6623.9763,6994.8906,2724.8606,2.5671,1358.7732,0.2411,2.8171,0.0295
乌鲁木齐市,二线,2011,1567.9150,603.4105,438.5536,164.8569,0.3848,0.2797,0.4997,0.3309,277.7517,11361.7100,7570.7240,8601.6371,3260.1496,2.6384,1606.7465,0.2297,2.6628,0.0301
乌鲁木齐市,二线,2012,1854.9995,688.0595,526.7892,161.2703,0.3709,0.2840,0.5129,0.3369,283.5727,12284.3996,8650.4329,10626.5375,3866.7054,2.7482,2024.9004,0.2354,2.9429,0.0210
乌鲁木齐市,二线,2013,2172.8230,877.8705,673.3713,204.4993,0.4040,0.3099,0.5285,0.3468,293.7134,13424.1267,9642.3953,12944.0736,4647.9083,2.7849,2317.5361,0.2181,2.6400,0.0358
