year,province,city,city_code,region,city_tier,gdp_100m,gdp_per_capita,pop_10k,hc_city,K_100m,Kstar_100m,V_100m,urban_q,OCR,UCI,UCI_norm,UCI_class,fai_gdp_ratio,re_gdp_ratio,debt_gdp_ratio,tertiary_share_pct
1990,北京市,北京市,110000,东部,一线,500.82,4883.0,1613.069505514052,2.687787796611542,390.95914285714287,9647.541954583241,,,0.04052422313348019,,,,0.2732233137654247,,,38.848
1991,北京市,北京市,110000,东部,一线,558.69,5395.0,1618.9722518676626,2.7572467609423814,517.6442857142857,11267.503061844534,,,0.045941348573243286,,,,0.2617428269702339,,,39.67
1992,北京市,北京市,110000,东部,一线,733.4726,7410.0,1627.366922803273,2.8639628805923834,692.7451714285714,14945.719913254668,,,0.04635073957288653,,,,0.2740158255400406,,,42.125
1993,北京市,北京市,110000,东部,一线,908.2551,9424.0,1637.1633013162575,2.9399943677639273,976.3293128571428,18411.988984868465,,,0.053026824731403,,,,0.3503656626866174,,,44.581
1994,北京市,北京市,110000,东部,一线,1083.0377,11439.0,1653.6255780860904,3.0244047501831255,1448.6511472142856,22521.9789049918,,,0.06432166344375737,,,,0.4811820493414033,,,47.037
1995,北京市,北京市,110000,东部,一线,1394.89,13454.0,1677.345585200996,3.10144030964709,1820.3270898535711,28283.043237820566,,,0.06436107580599384,,,,0.3183824530966599,0.2529038132039085,,50.1
1996,北京市,北京市,110000,东部,一线,1615.73,15469.0,1678.4669512628957,3.160994194533529,2226.7183353608925,32709.12110804446,,,0.06807637319283565,,,,0.3078531685368224,0.2031068928595743,,52.6
1997,北京市,北京市,110000,东部,一线,1810.09,17483.0,1894.952899324084,3.2189143942688183,2697.458818592848,39822.44146323043,,,0.06773715321004398,,,,0.3215731814440166,0.1824973343866879,,54.51
1998,北京市,北京市,110000,东部,一线,2011.31,19498.0,1905.3722589825688,3.273879767882436,3245.509577663205,44912.77827233451,,,0.07226249861417242,,,,0.3395417414520885,0.1876387031337785,,56.6
1999,北京市,北京市,110000,东部,一线,2174.46,21513.0,1946.6603344005696,3.3297304584570564,3734.630898780045,50468.407345993764,,,0.0739993809033188,,,,0.2995671569033231,0.1938224202790577,,57.3
2000,北京市,北京市,110000,东部,一线,2478.76,23527.0,1724.925770188545,3.391854516694667,4218.467553841042,53836.068936888914,,,0.07835764455213619,,,,0.2705256660588359,0.2106188981587567,,58.3
