year,province,city,city_code,region,huhuanyong,gdp_100m,gdp_primary_100m,gdp_secondary_100m,gdp_tertiary_100m,primary_share_pct,secondary_share_pct,tertiary_share_pct,gdp_per_capita,gdp_growth_pct,hukou_pop_10k,resident_pop_10k,urban_pop_10k,urbanization_rate_pct,pop_10k,fai_100m,re_invest_100m,res_invest_100m,avg_wage,land_area_km2,fiscal_revenue_100m,fiscal_expenditure_100m,loan_balance_100m,deposit_balance_100m,house_price,price_58,price_ajk,price_source,gov_bond_balance,lgfv_bond_balance,total_bond_balance,per_capita_area_m2,fai_imputed,V_100m,K_100m,urban_q,fai_gdp_ratio,re_gdp_ratio,debt_gdp_ratio
1990,北京市,北京市,110000,东部,东南侧,500.82,43.88,262.38,194.56,8.762,52.39,38.848,4883.0,,1035.71,,,,1613.069505514052,136.8357,,,,16808.0,74.0101,66.5184,,,,,,,,,,20.0,False,,390.95914285714287,,0.2732233137654247,,
1991,北京市,北京市,110000,东部,东南侧,558.69,45.53,291.53,221.63,8.149,52.181,39.67,5395.0,,1039.5,,,,1618.9722518676626,146.2331,,,,16808.0,77.0199,67.9933,,,,,,,,,,20.0,False,,517.6442857142857,,0.26174282697023393,,
1992,北京市,北京市,110000,东部,东南侧,733.4726,54.9458,360.9656,317.5612,7.704,50.171,42.125,7410.0,,1044.89,,,,1627.366922803273,200.9831,,,,16808.0,80.2532,71.7424,,,,,,,,,,20.0,False,,692.7451714285714,,0.2740158255400406,,
1993,北京市,北京市,110000,东部,东南侧,908.2551,64.3615,430.4011,413.4925,7.258,48.161,44.581,9424.0,,1051.18,,,,1637.1633013162575,318.2214,,,,16808.0,84.1015,80.9859,,,,,,,,,,20.0,False,,976.3293128571429,,0.35036566268661745,,
1994,北京市,北京市,110000,东部,东南侧,1083.0377,73.7773,499.8367,509.4237,6.812,46.151,47.037,11439.0,,1061.75,,,,1653.6255780860904,521.1383,,,6549.0,16808.0,134.9452,146.3677,,,,,,,,,,20.0,False,,1448.6511472142856,,0.4811820493414033,,
1995,北京市,北京市,110000,东部,东南侧,1394.89,80.9036,615.1465,698.8399,5.8,44.1,50.1,13454.0,12.4,1076.98,,,,1677.345585200996,444.1085,352.773,,8144.0,16807.0,185.789,211.7496,,,,,,,,,,20.0,False,,1820.3270898535714,,0.3183824530966599,0.25290381320390853,
1996,北京市,北京市,110000,东部,东南侧,1615.73,84.018,683.4538,849.874,5.2,42.3,52.6,15469.0,9.2,1077.7,,,,1678.4669512628957,497.4076,328.1659,,9580.0,16808.0,236.6327,277.1314,,,,,,,,,,20.0,False,,2226.7183353608925,,0.3078531685368224,0.2031068928595743,
1997,北京市,北京市,110000,东部,东南侧,1810.09,84.8932,738.5167,986.6801,4.69,40.8,54.51,17483.0,9.57,1216.7,,,,1894.952899324084,582.0764,330.3366,,11018.0,16808.0,287.4764,342.5133,,,,,,,,,,20.0,False,,2697.458818592848,,0.32157318144401664,0.18249733438668794,
1998,北京市,北京市,110000,东部,东南侧,2011.31,86.4863,786.4222,1138.4015,4.3,39.1,56.6,19498.0,9.8,1223.39,,,,1905.3722589825686,682.9237,377.3996,,12451.0,16808.0,338.3202,407.8951,,,,,,,,,,20.0,False,,3245.509577663205,,0.3395417414520885,0.1876387031337785,
1999,北京市,北京市,110000,东部,东南侧,2174.46,86.9784,839.3416,1245.9656,4.0,38.6,57.3,21513.0,10.23,1249.9,,,,1946.6603344005694,651.3968,421.4591,,14054.0,16808.0,389.1639,473.2769,,,,,,,,,,20.0,False,,3734.630898780045,,0.29956715690332314,0.19382242027905777,
