year,province,city,city_code,region,huhuanyong,gdp_100m,gdp_per_capita,pop_10k,urbanization_rate_pct,fai_100m,fai_imputed,house_price,V_real,K_real,Q_real,MUQ_real,fai_gdp_ratio,per_capita_area_m2
1990,黑龙江省,七台河市,230900,中部,东南侧,11.03,1460.0,70.08947368421053,,4.6841,False,,,41.870460143238255,,,0.4246690843155032,20.0
1991,黑龙江省,七台河市,230900,中部,东南侧,13.11,1676.0,71.91434210526316,,5.4903,False,,,45.26723713607634,,,0.4187871853546911,20.0
1992,黑龙江省,七台河市,230900,中部,东南侧,14.5,2219.0,74.05697368421052,,5.966,False,,,48.96987527927252,,,0.411448275862069,20.0
1993,黑龙江省,七台河市,230900,中部,东南侧,20.08,2762.0,73.27618421052631,,7.3094,False,,,53.8307815153089,,,0.3640139442231076,20.0
1994,黑龙江省,七台河市,230900,中部,东南侧,26.8435,3305.0,73.85723684210527,,5.5811,False,,,56.72034243954345,,,0.207912530035204,20.0
1995,黑龙江省,七台河市,230900,中部,东南侧,32.8626,3848.0,74.05697368421052,,5.3668,False,,,59.25112531756627,,,0.1633102675990335,20.0
1996,黑龙江省,七台河市,230900,中部,东南侧,39.517,4391.0,75.13736842105264,,6.9863,False,,,63.27486905168795,,,0.1767922666194296,20.0
1997,黑龙江省,七台河市,230900,中部,东南侧,44.3583,4933.0,75.7275,,14.8456,False,,,74.95672559910355,,,0.3346746832047215,20.0
1998,黑龙江省,七台河市,230900,中部,东南侧,49.2488,5476.0,75.74565789473685,,16.2373,False,,,87.44618931914837,,,0.3296994038433424,20.0
1999,黑龙江省,七台河市,230900,中部,东南侧,52.9811,6019.0,77.08026315789475,,18.0457,False,,,101.11957985319094,,,0.3406063671762194,20.0
2000,黑龙江省,七台河市,230900,中部,东南侧,56.2078,6562.0,78.36947368421052,,13.5477,False,,,109.6113008605314,,,0.2410288251808468,20.0
2001,黑龙江省,七台河市,230900,中部,东南侧,61.4451,7105.0,78.65092105263157,,16.6959,False,,,120.82663581750484,,,0.271720609129125,21.088
2002,黑龙江省,七台河市,230900,中部,东南侧,69.6552,8054.0,78.38763157894738,,20.9885,False,,,135.7738040266296,,,0.3013199301703247,22.176
2003,黑龙江省,七台河市,230900,中部,东南侧,79.6885,9171.0,79.38631578947368,,24.9272,False,,,153.9123138252981,,,0.3128079961349504,23.264
2004,黑龙江省,七台河市,230900,中部,东南侧,96.5164,10994.0,80.03092105263158,,32.0155,False,,,178.23219813403318,,,0.3317104657861255,24.352
2005,黑龙江省,七台河市,230900,中部,东南侧,100.2149,11989.0,80.28513157894739,,40.0838,False,,,209.4043882273315,,,0.3999784463188607,25.439999999999998
2006,黑龙江省,七台河市,230900,中部,东南侧,114.2269,12870.0,80.86618421052631,,51.217,False,,,250.15116881596492,,,0.4483794972987974,26.528
2007,黑龙江省,七台河市,230900,中部,东南侧,135.1595,15137.0,81.26565789473685,,69.2752,False,,,306.9188103751667,,,0.5125440683044846,27.616
2008,黑龙江省,七台河市,230900,中部,东南侧,187.1613,20826.0,81.91026315789475,,91.5138,False,,,383.0866698564083,,,0.4889568516568329,28.704
2009,黑龙江省,七台河市,230900,中部,东南侧,233.6262,25534.0,84.2253947368421,,135.4154,False,,,499.34773636358784,,,0.579624203107357,29.791999999999998
