year,province,city,city_code,region,Q_real,K_real,Kstar_real,OCR_real,UCI_real,UCI_norm,signal
2011,海南省,三亚市,460200,东部,3.6577605689278507,1270.0220721386283,1575.419754865673,0.8061483729756301,4.537329220707147,0.9683116873827873,Green
2012,海南省,三亚市,460200,东部,3.24050144103901,1636.8611685316969,1576.2512099844296,1.0384519663892064,3.1205116326242157,0.8673404405084673,Green
2013,海南省,三亚市,460200,东部,2.787030351578298,2078.308210105112,2002.6804062756196,1.0377632914330734,2.6856127737276365,0.8268571545625064,Green
2014,海南省,三亚市,460200,东部,2.3775149385742718,2603.948299599856,1809.7961715365186,1.438807496973044,1.6524204548392163,0.6958578704981758,Yellow
2015,海南省,三亚市,460200,东部,1.462308541509783,3179.717884619863,1873.4726354367835,1.6972320942806511,0.8615843092040766,0.5202031934975944,Yellow
2016,海南省,三亚市,460200,东部,1.2977943624837986,3803.81909038887,1988.3442339699366,1.913058627073919,0.6783871357193137,0.45572288660091875,Orange
2015,福建省,三明市,350400,东部,0.7726258857189245,8606.297844403769,5780.807594115616,1.4887708515267433,0.5189689769426854,0.3834691639822256,Orange
2016,福建省,三明市,350400,东部,0.634653017646824,10317.70565218358,6157.73702388588,1.6755677633132382,0.378768935248475,0.2985263214513408,Orange
2016,河南省,三门峡市,411200,中部,0.33171002512152975,8559.554359531036,4092.360546783189,2.091593412085672,0.15859202042081344,0.06370150558729504,Red
2010,上海市,上海市,310000,东部,4.375387771799396,37360.11513010634,62228.70663040492,0.60036785517654,7.2878448339190305,1.0,Green
2011,上海市,上海市,310000,东部,4.225817622829381,40556.371773601015,66271.98058143162,0.6119686090227441,6.9052849452157545,1.0,Green
2012,上海市,上海市,310000,东部,4.206297521898419,43779.952984920965,68224.83379731992,0.6417011306320071,6.554916800217673,1.0,Green
2013,上海市,上海市,310000,东部,5.172383873060489,47235.08653567491,71143.46222987234,0.6639413525174409,7.790422833957487,1.0,Green
2014,上海市,上海市,310000,东部,5.066579254524987,50886.29820889117,75503.33586941604,0.6739609266655403,7.517615716377169,1.0,Green
2015,上海市,上海市,310000,东部,5.62715591146123,54691.3718984466,79233.07718418966,0.6902593442295314,8.152234313817614,1.0,Green
2016,上海市,上海市,310000,东部,8.02821648823253,58708.48010352427,86434.13958729229,0.6792279113767646,11.81962100461934,1.0,Green
2016,江西省,上饶市,361100,中部,1.8438450704455707,9090.508281209197,7437.552195897797,1.2222446366457895,1.5085728463539358,0.6712916260576568,Yellow
2011,广东省,东莞市,441900,东部,2.303048353224179,6565.507390513448,15485.12807445778,0.42398792951173847,5.431872449473628,1.0,Green
2012,广东省,东莞市,441900,东部,2.200525345061899,7417.581320987775,15928.336704158077,0.4656846134506576,4.725355490610513,0.9792638768439103,Green
2013,广东省,东莞市,441900,东部,2.284274556560519,8430.637454938387,16485.047016160624,0.5114111865543157,4.4666104626123815,0.9640745688347268,Green
2014,广东省,东莞市,441900,东部,2.221927219127736,9436.215482191468,18560.717253212,0.5083971353832513,4.370455819843976,0.9582045577354141,Green
2015,广东省,东莞市,441900,东部,2.2431832611542157,10410.922708081895,19855.5019360354,0.5243344006926006,4.278153899860783,0.9524469700416321,Green
2016,广东省,东莞市,441900,东部,3.0141185565073325,11447.8345726778,21809.011613975683,0.5249130394034813,5.74212932475943,1.0,Green
2015,山东省,东营市,370500,东部,0.30875811549539683,15275.13482409426,9231.444437142325,1.6546852367583347,0.18659628347218443,0.10756298091230977,Red
2016,山东省,东营市,370500,东部,0.2926390235547947,16983.925182889547,9351.6466073933,1.8161427496054285,0.16113217070539904,0.06798751073711323,Red
2016,宁夏回族自治区,中卫市,640500,西部,0.8382954367508517,2095.9847298950563,1374.5068222573843,1.5248994737274364,0.5497381638553115,0.3990050843709401,Orange
2011,广东省,中山市,442000,东部,1.5111886105875316,4016.4296766677544,8436.774890104029,0.4760622072990062,3.1743511402878086,0.8719545196492154,Green
2012,广东省,中山市,442000,东部,1.1990171391394988,4709.042792834367,9146.8981851752,0.5148240089155611,2.3289845041709305,0.7884269107836611,Green
2013,广东省,中山市,442000,东部,1.1670415821316849,5436.518653192648,8450.815556229238,0.6433128988580634,1.8141118951653008,0.7210385044276628,Yellow
2014,广东省,中山市,442000,东部,1.344251428947399,6068.349720533016,10334.40749751319,0.5871986102728451,2.2892619386867845,0.7837867766858958,Green
2015,广东省,中山市,442000,东部,1.1565327276164725,6820.340834506364,10951.855074330138,0.622756673478308,1.8571181600621693,0.7273582504981253,Yellow
2016,广东省,中山市,442000,东部,1.4860016736618964,7628.338392781046,11565.267653926732,0.6595903027104618,2.252916192908618,0.7794700124672544,Green
2015,山西省,临汾市,141000,中部,1.1835570535878819,6219.9236857901415,4489.125242321215,1.3855536101224863,0.8542123848121997,0.5178853860489206,Yellow
2016,山西省,临汾市,141000,中部,0.9866963115589084,7303.180901500635,4629.928325563417,1.5773853044716213,0.6255265018393354,0.4338411762770682,Orange
2015,山东省,临沂市,371300,东部,1.0725631438310887,15388.739287290518,16056.962488668647,0.9583842086042306,1.1191369121087105,0.5907484781244886,Yellow
2016,山东省,临沂市,371300,东部,1.003592236611842,18222.626922925992,16972.250547475243,1.0736718075162255,0.9347290574142001,0.5421818370800582,Yellow
2015,辽宁省,丹东市,210600,东部,0.8432243259190694,5337.343960572997,3684.7014802707686,1.448514618932111,0.5821303526371864,0.41444776027000474,Orange
2016,辽宁省,丹东市,210600,东部,0.8631042227085959,5350.679662544348,3044.72183632787,1.7573623963618334,0.4911361620661914,0.36860090440885884,Orange
2016,浙江省,丽水市,331100,东部,2.8678342580350944,4583.464257842509,5118.40114060337,0.8954875032132005,3.202539675589768,0.8743391770521689,Green
2015,云南省,丽江市,530700,西部,1.3133369287244232,1732.1154117465344,1244.9374854517812,1.3913272208346743,0.9439453990819904,0.5448283264641504,Yellow
2016,云南省,丽江市,530700,西部,1.1854722808353295,1991.1392411592076,1399.1120189939334,1.4231449763336221,0.832994740907847,0.5111009885223647,Orange
2016,内蒙古自治区,乌海市,150300,西部,0.3613604211811741,2340.875128590505,1737.2074077874315,1.3474931767484954,0.2681723569488773,0.20538942597458684,Red
2015,新疆维吾尔自治区,乌鲁木齐市,650100,西部,1.2928902981562156,7519.859326147257,11859.828988389021,0.6340613623947976,2.0390617924944605,0.7525682871446978,Yellow
2016,新疆维吾尔自治区,乌鲁木齐市,650100,西部,1.332579968014513,8751.650659839894,11400.56694962401,0.7676504772535477,1.735920197408246,0.709154624795721,Yellow
2015,四川省,乐山市,511100,西部,1.0093096516665494,4795.321827616208,5218.067890290245,0.9189841773694282,1.098288388985843,0.5856762505468197,Yellow
2016,四川省,乐山市,511100,西部,0.8964836720037356,5619.872136235397,5523.639627932482,1.0174219382119496,0.8811326337028325,0.5262546586718589,Yellow
2015,江西省,九江市,360400,中部,0.8988710841645837,9389.029427135581,6858.364187849657,1.3689896263848564,0.6565945182055668,0.4469157989822276,Orange
2016,江西省,九江市,360400,中部,0.7874430443004709,11348.158855778802,7371.698515805154,1.5394225403342243,0.5115184581677679,0.37956874719861317,Orange
2015,安徽省,亳州市,341600,中部,2.2945338154196806,3439.605535763255,4256.9599300673035,0.8079957510215215,2.839784506934324,0.8419132938906378,Green
2016,安徽省,亳州市,341600,中部,1.9986253139841916,4142.519258975092,4635.544480224164,0.893642435456637,2.2364932938339326,0.7774965804159818,Green
2010,广东省,佛山市,440600,东部,1.6792770907831183,8108.878675140972,22429.94143984407,0.36152027845853096,4.6450425905382335,0.9746400928408218,Green
2011,广东省,佛山市,440600,东部,1.5345023594868354,9637.394041383923,22192.751149712538,0.43425864492283806,3.533613843794626,0.9008744169466018,Green
2012,广东省,佛山市,440600,东部,1.3273453866095348,11283.850039314726,22376.545118111666,0.5042713242707666,2.632204772954374,0.8214390531788003,Green
2013,广东省,佛山市,440600,东部,1.2477445886156178,13103.30373734899,21893.25234645613,0.5985087793257919,2.08475569902446,0.7585460167104889,Yellow
2014,广东省,佛山市,440600,东部,1.095208362106108,15060.58475048154,24656.46954281833,0.6108167564025088,1.7930227856820624,0.7178845132951831,Yellow
2015,广东省,佛山市,440600,东部,0.9941784555188932,17343.07721295746,26021.124315455134,0.6664999176325604,1.4916407777667289,0.6682470832331466,Yellow
2016,广东省,佛山市,440600,东部,1.0757278726619157,19987.962652309587,28082.93814957813,0.7117475581026358,1.5113896218057596,0.6717947910803882,Yellow
2015,黑龙江省,佳木斯市,230800,中部,1.1067623820562746,2680.2132278764293,3049.3152321942925,0.8789557732762654,1.2591786932929185,0.6225501870225401,Yellow
2016,黑龙江省,佳木斯市,230800,中部,0.9789220510981808,3134.5507664826077,3165.84245104107,0.9901158427678003,0.9886944626213352,0.5573214284332361,Yellow
2011,河北省,保定市,130600,东部,2.6938524190901902,7256.565134503495,11870.279954102543,0.6113221560537432,4.4066003373405715,0.9604261054512866,Green
2012,河北省,保定市,130600,东部,2.5084690055001917,8782.18187777832,12853.908688772892,0.6832304546747731,3.671483008898157,0.9111982262118783,Green
2013,河北省,保定市,130600,东部,1.8092151311550226,10248.549083889404,13098.150437367907,0.7824424626129782,2.3122660356559916,0.7864836862115727,Green
2015,河北省,保定市,130600,东部,2.116565319207806,13941.200868210188,15078.629375643404,0.9245668502688639,2.2892507108515834,0.783785453773008,Green
2016,河北省,保定市,130600,东部,2.694083425019059,16153.641524799677,15479.029941058317,1.0435822907708152,2.581572578267061,0.8162000632851216,Green
2016,云南省,保山市,530500,西部,1.745992306592237,2706.6384853443033,2683.9618217655957,1.0084489516187642,1.7313640951181184,0.708445759197944,Yellow
2016,河南省,信阳市,411500,中部,1.019304899785913,11548.352695393736,8079.977789424789,1.4292554999975884,0.7131719274738723,0.469210586068295,Orange
2015,新疆维吾尔自治区,克拉玛依市,650200,西部,0.29721968175660507,2685.0307716329207,1607.6054939419566,1.6702050234035,0.17795401019147852,0.09477177301900375,Red
2016,新疆维吾尔自治区,克拉玛依市,650200,西部,0.2971092184072546,2746.921433051275,1663.5459622809644,1.65124468775413,0.1799304613124025,0.0977510252616566,Red
2015,安徽省,六安市,341500,中部,1.973204334853632,5063.190021757002,5284.241941305501,0.9581677141198635,2.059351724939034,0.7552390050009008,Yellow
2016,安徽省,六安市,341500,中部,1.6072078810980983,5885.032020669152,4559.168267304545,1.2908126385404237,1.245113220238869,0.6195202500481362,Yellow
2015,贵州省,六盘水市,520200,西部,0.8188949330187103,5311.238924709329,4735.171934534356,1.121657037619611,0.7300760442394898,0.47552933391437985,Orange
2016,贵州省,六盘水市,520200,西部,0.6400642042467953,6403.449978473862,5130.677807585356,1.2480709603333109,0.5128427986785777,0.3802661864699,Orange
2011,甘肃省,兰州市,620100,西部,2.766478867154095,4047.2415133679533,6608.397046505685,0.6124392170879032,4.517148461374614,0.9671093275594382,Green
2012,甘肃省,兰州市,620100,西部,2.1879910346140186,5084.060337699556,7250.489809713115,0.7012023285500928,3.120341940589708,0.8673257722991115,Green
2013,甘肃省,兰州市,620100,西部,2.3162022764523966,6146.720220814578,8993.508709565242,0.6834618633634169,3.388926874506242,0.8895975932988325,Green
2014,甘肃省,兰州市,620100,西部,2.2397019140160155,7113.527809773849,10018.722810477884,0.7100234175891468,3.1544056978019466,0.8702543731720537,Green
2015,甘肃省,兰州市,620100,西部,1.506349468253719,8561.604019285156,8833.194754439182,0.9692533966810212,1.5541338038245274,0.6793172557265491,Yellow
2016,甘肃省,兰州市,620100,西部,1.406135737452529,10124.477918320898,9354.25040392426,1.0823398435083067,1.2991628700415085,0.6309820712090707,Yellow
2015,四川省,内江市,511000,西部,1.6046738706059664,3486.1373534617474,4533.196146221067,0.7690241588967728,2.0866364886481596,0.7587892476751864,Yellow
2016,四川省,内江市,511000,西部,1.3986975321570012,4190.35178578866,4783.925462881724,0.8759233015441864,1.5968264911907282,0.6866269089876972,Yellow
2015,内蒙古自治区,包头市,150200,西部,0.3164439719497398,17650.90767601926,10226.042764301557,1.7260741112522446,0.1833316251526209,0.10280205362537109,Red
2016,内蒙古自治区,包头市,150200,西部,0.299359760662499,19724.178492218296,10437.929922170337,1.8896638164166837,0.158419586627936,0.06340807397738969,Red
2010,北京市,北京市,110000,东部,4.9631340371500885,29904.314525054084,51192.061581477894,0.5841592153396288,8.496200876099394,1.0,Green
2011,北京市,北京市,110000,东部,4.636029792787683,34260.618898801375,54760.74747278509,0.6256419146913245,7.4100370897863845,1.0,Green
2012,北京市,北京市,110000,东部,5.1287402152633295,38964.1674538613,58385.84969959296,0.667356348401879,7.6851598513225285,1.0,Green
2013,北京市,北京市,110000,东部,6.366654491115758,43998.62868116824,61966.38790601665,0.7100402358113918,8.966610862327153,1.0,Green
2014,北京市,北京市,110000,东部,5.4893274855795875,49310.17574710982,65980.09923583016,0.7473492207227869,7.345063503606349,1.0,Green
2015,北京市,北京市,110000,东部,5.433639773100269,54785.63685975432,69605.65478425867,0.7870860065832481,6.903489234534582,1.0,Green
2016,北京市,北京市,110000,东部,7.570144709426154,59935.0550167666,75937.53548334009,0.7892678454111238,9.591350709951856,1.0,Green
2015,广西壮族自治区,北海市,450500,西部,0.667588119777457,4394.123371905634,3557.1940742079996,1.2352779410507633,0.5404355551023499,0.39440167894582606,Orange
2016,广西壮族自治区,北海市,450500,西部,0.5707542422221225,5185.515203310351,3887.1744271462344,1.3340063072799366,0.42784973287412775,0.3313917895672265,Orange
2015,湖北省,十堰市,420300,中部,1.1523860641476842,5018.143867702543,4716.252752315985,1.0640108007863467,1.0830586149088193,0.5819097728833141,Yellow
2016,湖北省,十堰市,420300,中部,0.9836628819843474,6091.046774317415,5059.428622654036,1.2039001295609189,0.8170635236521692,0.5058923668708925,Orange
2010,江苏省,南京市,320100,东部,2.3901727527943617,14759.58616017001,18699.821315686564,0.7892902242754993,3.0282558674641322,0.8592457980219821,Green
2011,江苏省,南京市,320100,东部,2.116145008806638,17778.85855216151,21295.301387990174,0.8348723611955162,2.534692855056756,0.8112569135966297,Green
2012,江苏省,南京市,320100,东部,1.8586545251573816,21448.401724553434,23743.50159165979,0.9033377676731329,2.0575410346730063,0.755001739673889,Yellow
2013,江苏省,南京市,320100,东部,1.9112530879039904,25469.76163832576,26127.30848518956,0.9748329665401037,1.960595459432858,0.7419836507644471,Yellow
2014,江苏省,南京市,320100,东部,1.7878571528225318,29627.04345640947,27689.56363944798,1.069971482475847,1.6709390690353187,0.6988639141928324,Yellow
