year,province,city,city_code,region,gdp_100m,gdp_per_capita,pop_10k,fai_100m,fai_imputed,K_100m,V_100m,urban_q,Kstar_m2,OCR_m2,UCI_m2,UCI_m2_norm,UCI_m2_class,Kstar_orig,OCR_orig,UCI_orig
1990,北京市,北京市,110000,东部,500.82,4883.0,1613.069505514052,136.8357,False,390.95914285714287,,,5591.8121559552965,0.06991635840999598,,,,9647.541954583223,0.04052422313348027,
1991,北京市,北京市,110000,东部,558.69,5395.0,1618.9722518676626,146.2331,False,517.6442857142857,,,6022.781907722165,0.08594770550309706,,,,11267.503061844534,0.045941348573243286,
1992,北京市,北京市,110000,东部,733.4726,7410.0,1627.366922803273,200.9831,False,692.7451714285714,,,7578.516028136795,0.09140907914644673,,,,14945.719913254641,0.046350739572886615,
1993,北京市,北京市,110000,东部,908.2551,9424.0,1637.1633013162575,318.2214,False,976.3293128571428,,,9038.552175112833,0.10801833014201247,,,,18411.988984868432,0.0530268247314031,
1994,北京市,北京市,110000,东部,1083.0377,11439.0,1653.6255780860904,521.1383,False,1448.6511472142856,,,10472.18551475797,0.1383332204316633,,,,22521.97890499176,0.06432166344375748,
1995,北京市,北京市,110000,东部,1394.89,13454.0,1677.345585200996,444.1085,False,1820.3270898535711,,,11916.647133910532,0.152754971209441,,,,28283.04323782052,0.06436107580599396,
1996,北京市,北京市,110000,东部,1615.73,15469.0,1678.4669512628957,497.4076,False,2226.7183353608925,,,13162.250823844315,0.1691745861070388,,,,32709.1211080444,0.06807637319283577,
1997,北京市,北京市,110000,东部,1810.09,17483.0,1894.952899324084,582.0764,False,2697.458818592848,,,16228.97722517101,0.16621249639867086,,,,39822.44146323036,0.0677371532100441,
1998,北京市,北京市,110000,东部,2011.31,19498.0,1905.3722589825688,682.9237,False,3245.509577663205,,,17628.6881316629,0.18410386260302278,,,,44912.77827233443,0.07226249861417254,
1999,北京市,北京市,110000,东部,2174.46,21513.0,1946.6603344005696,651.3968,False,3734.630898780045,,,19313.747421461416,0.193366456404526,,,,50468.40734599368,0.07399938090331892,
