province,province_en,year,region,data_type,gdp_billion_yuan,urbanization_rate_pct,fai_billion_yuan,avg_house_price,total_pop_10k,per_capita_area_m2,V_billion,K_billion,urban_q,delta_V,delta_GDP,muq_housing,muq_gdp,pc_gdp,deltaV_gdp,fai_gdp
安徽,Anhui,2005,Central,actual,5350.2,35.3,2764.8,,5547.740323943174,25.44,,7899.4285714285725,,,,,,9643.926513484019,,0.5167657283839857
安徽,Anhui,2006,Central,interpolated,6752.0199999999995,36.879999999999995,4393.4,,5615.12342712787,26.528,,11897.857142857143,,,1401.8199999999997,,0.3190740656439204,12024.70451028652,,0.6506793522531035
安徽,Anhui,2007,Central,interpolated,8153.84,38.46,6022.0,,5682.189362223429,27.616,,17324.964285714286,,,1401.8200000000006,,0.2327831285287281,14349.820958464887,,0.7385477272058318
安徽,Anhui,2008,Central,interpolated,9555.66,40.04,7650.6,,5739.339048763699,28.704,,24109.31607142857,,,1401.8199999999997,,0.18323007345829082,16649.40844025998,,0.8006354349150138
安徽,Anhui,2009,Central,interpolated,10957.48,41.620000000000005,9279.2,,5784.119538354064,29.792,,32183.05026785714,,,1401.8199999999997,,0.15107121303560647,18944.075977928478,,0.8468370464741894
安徽,Anhui,2010,Central,actual,12359.3,43.2,10907.8,,5811.386456468309,30.88,,41481.69775446428,,,1401.8199999999997,,0.12851537431929444,21267.386178118642,,0.8825580736773118
安徽,Anhui,2011,Central,interpolated,14288.56,44.66,13545.96,6463.0,5879.105022008754,31.968,12146.770912475307,52953.572866741066,0.229385294605955,,1929.2600000000002,,0.14242327601735133,24303.971346846138,,0.9480283527521317
安徽,Anhui,2012,Central,interpolated,16217.82,46.120000000000005,16184.12,6588.0,5899.862438100698,33.056,12848.303179424074,66490.01422340401,0.1932365834101681,701.5322669487668,1929.2600000000002,0.04334695163831996,0.11920697572682358,27488.47141802325,0.04325687835657116,0.9979220388436918
安徽,Anhui,2013,Central,interpolated,18147.08,47.58,18822.28,7340.0,5918.950640952732,34.144,14833.894160256252,81987.7935122338,0.1809280811788503,1985.5909808321776,1929.260000000002,0.10549152285653904,0.1024987408539243,30659.285912002455,0.10941655521616576,1.0372070878620692
安徽,Anhui,2014,Central,interpolated,20076.339999999997,49.04,21460.44,7762.0,5924.907031139251,35.232,16202.889709327634,99348.84383662212,0.1630908733671131,1368.995549071382,1929.2599999999948,0.06379158810683201,0.08989843637875061,33884.64982570315,0.06818949813917188,1.0689418489625102
安徽,Anhui,2015,Central,actual,22005.6,50.5,24098.6,5833.651314365577,6045.433186025072,36.32,12808.955968168204,118480.001644791,0.1081107004587162,-3393.9337411594297,1929.260000000002,-0.1408353074933577,0.08005693276787872,36400.36920905726,-0.15423045684550432,1.0951121532700767
