year,country,mean_years_schooling,H_index,urban_pop_mil,labor_age_ratio
1970,China,3.0,1.3499,,56.0
1971,China,3.16,1.3716,,56.2
1972,China,3.32,1.3938,,56.4
1973,China,3.48,1.4162,,56.6
1974,China,3.64,1.4391,,56.8
1975,China,3.8,1.4623,,57.0
1976,China,3.98,1.4888,,57.6
1977,China,4.16,1.5159,,58.2
1978,China,4.34,1.5434,172.45,58.8
1979,China,4.52,1.5715,184.95,59.4
1980,China,4.7,1.6,191.4,60.0
1981,China,4.8,1.6161,201.71,60.8
1982,China,4.9,1.6323,214.8,61.6
1983,China,5.0,1.6487,222.74,62.4
1984,China,5.1,1.6653,240.17,63.2
1985,China,5.2,1.682,250.94,64.0
1986,China,5.32,1.7023,263.66,64.6
1987,China,5.44,1.7229,276.74,65.2
1988,China,5.56,1.7437,286.61,65.8
1989,China,5.68,1.7647,295.4,66.4
1990,China,5.8,1.786,301.95,67.0
1991,China,5.92,1.8076,312.03,67.3
1992,China,6.04,1.8294,321.75,67.6
1993,China,6.16,1.8515,331.73,67.9
1994,China,6.28,1.8739,341.69,68.2
1995,China,6.4,1.8965,351.74,68.5
1996,China,6.54,1.9232,373.04,68.8
1997,China,6.68,1.9503,394.49,69.1
1998,China,6.82,1.9778,416.08,69.4
1999,China,6.96,2.0057,437.48,69.7
2000,China,7.1,2.034,459.06,70.0
2001,China,7.22,2.0585,480.64,70.4
2002,China,7.34,2.0834,502.12,70.8
2003,China,7.46,2.1085,523.76,71.2
2004,China,7.58,2.134,542.83,71.6
2005,China,7.7,2.1598,562.12,72.0
2006,China,7.8,2.1815,582.88,72.4
2007,China,7.9,2.2034,606.33,72.8
2008,China,8.0,2.2255,624.03,73.2
2009,China,8.1,2.2479,645.12,73.6
2010,China,8.2,2.2705,669.78,74.0
2011,China,8.32,2.2979,690.79,73.8
2012,China,8.44,2.3257,711.82,73.6
2013,China,8.56,2.3537,731.11,73.4
2014,China,8.68,2.3821,749.16,73.2
2015,China,8.8,2.4109,771.16,73.0
2016,China,8.92,2.44,792.98,72.4
2017,China,9.04,2.4695,813.47,71.8
2018,China,9.16,2.4993,831.37,71.2
2019,China,9.28,2.5294,848.43,70.6
2020,China,9.4,2.56,901.99,70.0
2021,China,9.52,2.5922,914.25,69.5
2022,China,9.65,2.6248,920.71,69.0
2023,China,9.78,2.6578,932.67,68.5
2024,China,9.9,2.6912,942.0,68.0
1970,Japan,8.2,2.2705,75.20029999999998,69.0
1971,Japan,8.32,2.2979,77.05812399999999,68.8
1972,Japan,8.44,2.3257,78.937836,68.6
1973,Japan,8.56,2.3537,80.839436,68.4
1974,Japan,8.68,2.3821,82.762924,68.2
1975,Japan,8.8,2.4109,84.7083,68.0
1976,Japan,8.94,2.4449,85.60851999999998,68.0
1977,Japan,9.08,2.4794,86.51082000000001,68.0
