country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
UKR,Ukraine,Europe & Central Asia,Europe & Central Asia,Lower middle income,2019.0,15.645234937257582,69.3527648708735,15.459352416813777,0.16726742286625473,,,,,,True,False,3422.859172989207
TJK,Tajikistan,Europe & Central Asia,Europe & Central Asia,Low income,2019.0,9.690894226327435,26.1300735473633,12.986770640726117,0.30210841580704156,14.314107596848615,,,,,True,False,871.0223729348457
LKA,Sri Lanka,South Asia,South Asia,Upper middle income,2019.0,5.2629934285223765,19.4946326418437,9.297667021156052,0.29847208489693766,9.535771842389812,,,,,True,False,4081.947727220029
CAF,Central African Republic,Sub-Saharan Africa,Africa,Low income,2019.0,7.3858314416506925,41.7800430407332,8.366702181518786,0.16429972775493878,12.633920932893473,,,,,True,False,449.2284676024384
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",MENA,Unknown,2018.0,6.971776057483973,34.2106045810864,8.038195820048983,0.05778274843072532,27.175629375353715,,,,,True,False,
IDN,Indonesia,East Asia & Pacific,East Asia & Pacific,Upper middle income,2019.0,5.868419255290542,55.7382049560547,7.172024128630321,0.3216946905200478,30.673526326064028,,,,,True,False,4106.94856160358
TKM,Turkmenistan,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,5.931234290039306,47.0494562466485,6.849946129534341,0.42122177053295656,13.551311801371567,,,,,True,False,5998.001743475403
LAO,Lao PDR,East Asia & Pacific,East Asia & Pacific,Lower middle income,2019.0,8.801843428248608,35.9072880879451,6.497306156365495,0.29863932097131557,30.105033592976778,,,,,True,False,2589.320810352372
GHA,Ghana,Sub-Saharan Africa,Africa,Lower middle income,2019.0,4.196263387717614,55.7246279109161,6.109360354503558,0.2002753282913213,13.68038412249645,,,,,True,False,2186.6582268261295
MDA,Moldova,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,4.703878893188761,40.772289276123,5.785213752695894,0.23376505183883212,30.077734356362058,,,,,True,False,4405.334181621553
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,6.791667441882856,73.8248788261986,5.723222143278428,0.12380423813847612,25.257469886642394,,,,,True,False,1109.5392603604907
GEO,Georgia,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,4.521757324209959,58.6304091780343,5.717075455535872,0.22374902724756862,20.411047689182347,,,,,True,False,4741.283271587601
ECU,Ecuador,Latin America & Caribbean,Latin America,Upper middle income,2019.0,4.74187224195976,63.0627139714638,5.684810864702265,0.21656353465495842,21.478458668684553,,,,,True,False,6205.057652467664
LVA,Latvia,Europe & Central Asia,Europe & Central Asia,High income,2019.0,4.620769984759309,68.066323694246,5.645723200665431,0.22849732755327334,17.657320223591956,,,,,True,False,17294.975160096918
SRB,Serbia,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,4.659751562024656,61.0492248535156,5.580005952455701,0.18086264793974735,17.894327422459746,,,,,True,False,7755.632986437004
NPL,Nepal,South Asia,South Asia,Lower middle income,2019.0,4.753051515252505,65.9873929484157,5.539996317438743,0.2732453129483523,27.994507240674864,,,,,True,False,1203.142947064014
HTI,Haiti,Latin America & Caribbean,Latin America,Lower middle income,2019.0,4.334090738940439,52.0069059952475,5.284102139236017,0.17696220561706671,17.804922651193937,,,,,True,False,1352.1720419153237
BGD,Bangladesh,South Asia,South Asia,Lower middle income,2019.0,5.366385172313476,30.8228396343012,4.935751434006404,0.29300709518322643,34.10801091822191,,,,,True,False,2129.7989695460556
