DATAFLOW,MEASURE,DATA_ITEM,SECTOR,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2021-Q1,10504,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1987-Q2,2281,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1987-Q1,2148,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1986-Q4,2187,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1986-Q3,2087,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1986-Q2,1873,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1986-Q1,1880,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1985-Q4,2156,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1985-Q3,2411,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1991-Q4,2995,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1991-Q3,2889,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1991-Q2,2837,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1991-Q1,2818,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1990-Q4,2760,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1990-Q3,2694,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1990-Q2,2690,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1990-Q1,2702,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1989-Q4,2611,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1989-Q3,2405,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1989-Q2,2563,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1989-Q1,2447,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1988-Q4,1988,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1988-Q3,2177,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1988-Q2,2099,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1988-Q1,2250,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1987-Q4,2338,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1987-Q3,2350,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2001-Q2,4472,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2001-Q1,4409,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2000-Q4,4446,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2000-Q3,4448,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2000-Q2,4151,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,2000-Q1,4431,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1999-Q4,4378,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1999-Q3,4251,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1999-Q2,3527,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1999-Q1,4303,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1998-Q4,4258,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1998-Q3,4097,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1998-Q2,3239,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1998-Q1,3944,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1997-Q4,4090,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1997-Q3,3474,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1997-Q2,3969,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1997-Q1,3943,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1996-Q4,3715,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1996-Q3,3744,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1996-Q2,3738,,0,,
ABS:ANA_SFD(1.0.0),VCH,GFD,GSS,20,8,Q,1996-Q1,3611,,0,,
