DATAFLOW,MEASURE,DATA_ITEM,SECTOR,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,2021-Q1,146169,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1987-Q2,49671,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1987-Q1,48358,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1986-Q4,48676,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1986-Q3,48464,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1986-Q2,48763,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1986-Q1,47754,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1985-Q4,47452,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1985-Q3,47129,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1991-Q4,51552,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1991-Q3,51478,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1991-Q2,50897,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1991-Q1,51008,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1990-Q4,51701,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1990-Q3,53830,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1990-Q2,54261,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1990-Q1,54956,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1989-Q4,55000,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1989-Q3,54974,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1989-Q2,55340,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1989-Q1,54915,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1988-Q4,53139,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1988-Q3,51842,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1988-Q2,51077,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1988-Q1,50607,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1987-Q4,50359,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,1987-Q3,49651,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,2001-Q2,76790,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,2001-Q1,76230,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,2000-Q4,74581,,0,,
ABS:ANA_SFD(1.0.0),VCH,SFD,SSS,20,2,Q,2000-Q3,75819,,0,,
