mun_code,mun_name,gdp_1000brl,year,population,uf_code,uf,regiao,gdp_pc_brl,ln_pop,ln_gdp_pc
1100015,Alta Floresta D'Oeste - RO,1046343,2023,22787,11,RO,Norte,45918.418396454115,10.033945476892105,10.73462158781436
1100023,Ariquemes - RO,4383815,2023,109170,11,RO,Norte,40155.85783640194,11.600661579274314,10.600523607522302
1100031,Cabixi - RO,300832,2023,5664,11,RO,Norte,53112.99435028248,8.641885635373555,10.880176891986858
1100049,Cacoal - RO,3848468,2023,98280,11,RO,Norte,39158.201058201055,11.495575826635115,10.575365157341068
1100056,Cerejeiras - RO,1006389,2023,16966,11,RO,Norte,59317.9889190145,9.73896662036768,10.990667893435342
1100064,Colorado do Oeste - RO,580899,2023,16508,11,RO,Norte,35188.93869638963,9.711600390872473,10.468487070622118
1100072,Corumbiara - RO,509566,2023,7968,11,RO,Norte,63951.5562248996,8.983188799264434,11.065881141736693
1100080,Costa Marques - RO,413943,2023,13510,11,RO,Norte,30639.748334566986,9.511185430954244,10.330053410197003
1100098,Espigão D'Oeste - RO,1023973,2023,32842,11,RO,Norte,31178.764996041653,10.399463463051783,10.347492532976824
1100106,Guajará-Mirim - RO,1145034,2023,43594,11,RO,Norte,26265.86227462495,10.682674805188459,10.176025362646433
1100114,Jaru - RO,2515558,2023,55682,11,RO,Norte,45177.220645810135,10.92741221390344,10.71834827077271
1100122,Ji-Paraná - RO,5824472,2023,140101,11,RO,Norte,41573.37920500211,11.850118870058369,10.635215318454588
1100130,Machadinho D'Oeste - RO,1055806,2023,34149,11,RO,Norte,30917.625699141994,10.438488581993326,10.339081711238803
1100148,Nova Brasilândia D'Oeste - RO,731952,2023,16374,11,RO,Norte,44702.08867717112,9.703449989936393,10.707775506068646
1100155,Ouro Preto do Oeste - RO,1275479,2023,38684,11,RO,Norte,32971.7454244649,10.563181356836854,10.403406274442037
1100189,Pimenta Bueno - RO,2124340,2023,39220,11,RO,Norte,54164.711881693016,10.576942099750337,10.899784903094645
1100205,Porto Velho - RO,25402193,2023,517709,11,RO,Norte,49066.547037042044,13.15716858732455,10.800932758502068
1100254,Presidente Médici - RO,776281,2023,20443,11,RO,Norte,37972.949175756985,9.925395804585008,10.544629321417313
1100262,Rio Crespo - RO,265160,2023,3767,11,RO,Norte,70390.230953013,8.23403420769204,11.161809767645424
1100288,Rolim de Moura - RO,2287631,2023,62959,11,RO,Norte,36335.249924554075,11.050238999864765,10.500543621369012
1100296,Santa Luzia D'Oeste - RO,291887,2023,7837,11,RO,Norte,37244.73650631619,8.966611387052865,10.5252659119798
1100304,Vilhena - RO,5115785,2023,109651,11,RO,Norte,46655.160463652865,11.60505787373149,10.750538821028897
1100320,São Miguel do Guaporé - RO,1549192,2023,22305,11,RO,Norte,69454.92042143017,10.012566147562366,11.148433194073583
1100338,Nova Mamoré - RO,1060566,2023,28701,11,RO,Norte,36952.231629559945,10.264687244346277,10.517381320481137
1100346,Alvorada D'Oeste - RO,486626,2023,13720,11,RO,Norte,35468.36734693877,9.526609901279876,10.476396517583366
1100379,Alto Alegre dos Parecis - RO,575129,2023,12237,11,RO,Norte,46999.18280624336,9.412219427985669,10.757885493439833
1100403,Alto Paraíso - RO,667923,2023,17467,11,RO,Norte,38239.136657697374,9.768068665428393,10.551614789967415
1100452,Buritis - RO,1221008,2023,30649,11,RO,Norte,39838.42865998891,10.330355314404699,10.592587269655368
1100502,Novo Horizonte do Oeste - RO,331958,2023,7972,11,RO,Norte,41640.49172102358,8.983690681332686,10.63682833152142
1100601,Cacaulândia - RO,238989,2023,4292,11,RO,Norte,55682.43243243243,8.36450810375059,10.927419979981405
1100700,Campo Novo de Rondônia - RO,455251,2023,9095,11,RO,Norte,50055.085211654754,9.115480090952223,10.820879382212633
1100809,Candeias do Jamari - RO,1001610,2023,24313,11,RO,Norte,41196.47924978407,10.098766465702033,10.626108076583794
1100908,Castanheiras - RO,138594,2023,3450,11,RO,Norte,40172.17391304348,8.146129510025405,10.60092984371434
1100924,Chupinguaia - RO,673990,2023,10191,11,RO,Norte,66135.80610342459,9.229260256828693,11.099465575142569
1100940,Cujubim - RO,582148,2023,15877,11,RO,Norte,36666.12080367828,9.672626800077511,10.509608468823219
1101005,Governador Jorge Teixeira - RO,320123,2023,8340,11,RO,Norte,38384.05275779377,9.028818495352793,10.555397359552108
1101104,Itapuã do Oeste - RO,340162,2023,9228,11,RO,Norte,36861.94191590811,9.129997619293645,10.514934913393006
1101203,Ministro Andreazza - RO,440282,2023,6519,11,RO,Norte,67538.27274121798,8.782476268924539,11.120449719748432
1101302,Mirante da Serra - RO,380179,2023,9657,11,RO,Norte,39368.23029926478,9.175438319966918,10.580714432438905
1101401,Monte Negro - RO,526990,2023,12168,11,RO,Norte,43309.5003287311,9.406564833939129,10.676127297054405
1101435,Nova União - RO,193557,2023,6541,11,RO,Norte,29591.346888854914,8.785845337961213,10.295237262738011
1101450,Parecis - RO,201510,2023,4372,11,RO,Norte,46091.03385178408,8.382975849296429,10.738373716614728
1101468,Pimenteiras do Oeste - RO,355185,2023,2309,11,RO,Norte,153826.3317453443,7.744569809354496,11.943579529106364
