year,country,country_code,data_source,gdp_100m,primary_gdp_100m,secondary_gdp_100m,tertiary_gdp_100m,primary_pct,secondary_pct,tertiary_pct,total_pop_10k,urban_pop_10k,urbanization_rate,fai_total_100m,re_inv_100m,re_inv_share_pct,sales_value_100m,sales_area_10k_m2,avg_price_yuan_m2,residential_completed_10k_m2,housing_stock_10k_m2,housing_value_100m,capital_stock_100m,re_capital_stock_100m,urban_q,marginal_urban_q,real_estate_q,wb_gdp_current_usd,wb_gdp_constant_2015_usd,wb_gfcf_pct_gdp,wb_gfcf_current_usd,wb_urban_pct,wb_services_pct_gdp,wb_industry_pct_gdp
1990,China,CHN,YEARBOOK,18872.9,5062.0,7717.4,6093.5,26.82152716328704,40.89143692808206,32.28703590863089,114333.0,30195.0,26.41,,,,,,,,,,,,,,,361560229445.507,1041271896195.66,23.9421564099717,86565315650.0956,26.1957015991211,32.5141726953505,40.9532139003469
1991,China,CHN,YEARBOOK,22005.6,5342.2,9102.2,7561.2,24.276547787835824,41.363107572617885,34.3603446395463,115690.6,31190.8,26.936,,,,,,,,,,,,,,,384510452961.672,1138752669458.5,26.0333742620373,100101045296.167,26.9402465820312,34.6723513766996,41.3647026718439
1992,China,CHN,YEARBOOK,27194.5,5866.6,11699.5,9628.4,21.572744488775307,43.021566860946145,35.40568865027855,117048.2,32186.6,27.462,,,,,,,,,,,,,,,428502354788.069,1301589870245.13,30.615923445537,131189952904.239,27.4598693847656,35.7944137516669,42.9556871107431
1993,China,CHN,YEARBOOK,35673.2,6963.8,16454.4,12255.0,19.52109707006941,46.12538264018929,34.353520289741326,118405.8,33182.4,27.988,,,,,,,,,,,,,,,446557291212.148,1482889338698.69,37.3107535797341,166613890516.5,27.9900760650635,34.7839317470554,45.9877158881844
1994,China,CHN,YEARBOOK,48637.5,9572.7,22445.4,16619.4,19.681727062451813,46.14834232845027,34.16993060909792,119763.4,34178.2,28.514,,,,,,,,,,,,,,,566929539493.172,1676743149158.28,34.6945082292652,196693415733.594,28.5098037719727,34.6646282811662,45.9507266148475
1995,China,CHN,YEARBOOK,61339.9,12135.8,28679.5,20524.6,19.78451220168275,46.75504850839339,33.46043928992385,121121.0,35174.0,29.04,,,,,,,,,,,,,,,738190896227.55,1861735071148.11,32.6280547742557,240857329959.694,29.0403804779053,33.9860566363987,46.5158329099716
1996,China,CHN,YEARBOOK,71813.6,14015.4,33835.0,23963.2,19.516359018347497,47.11503113616362,33.36860984548887,122245.4,37320.4,30.476,,,,,,,,,,,,,,,868523936530.083,2047465483836.55,31.9095811418268,277142350263.255,30.4798641204834,33.9354609988007,46.8452924072089
1997,China,CHN,YEARBOOK,79715.0,14441.9,37543.0,27730.1,18.11691651508499,47.09653139308788,34.78655209182713,123369.8,39466.8,31.912,,,,,,,,,,,,,,,967753570434.667,2237626840759.87,31.2502337176691,302425252571.92,31.9099540710449,35.4188843876597,46.7996577986912
1998,China,CHN,YEARBOOK,85195.5,14817.6,39004.2,31373.7,17.392467912037606,45.781995527932814,36.82553656002958,124494.2,41613.2,33.348,,,,,,,,,,,,,,,1037134141760.35,2414864610327.86,33.0698931681417,342979152690.471,33.3501663208008,37.5334686637807,45.4411323152105
1999,China,CHN,YEARBOOK,90564.4,14770.0,41033.6,34760.8,16.308836584794907,45.30875266661072,38.382410748594374,125618.6,43759.6,34.784,,,,,,,,,,,,,,,1103843203575.64,2601702759078.63,32.675048616256,360681303415.577,34.7797050476074,39.1228171930281,44.9555391671381
2000,China,CHN,YEARBOOK,100280.1,14944.7,45555.9,39779.5,14.902956817952914,45.42865433919591,39.66838884285117,126743.0,45906.0,36.22,32917.7,4984.1,15.141094304887648,3935.0,18637.1,2111.3799893760297,33774.0,891462.16,188221.53659099326,148967.34105095832,21581.662393661776,1.2635087346199392,,8.721364145065637,1223754919971.05,2825096197799.54,32.6471790154044,399521459432.767,36.4320234662299,40.398939477991,45.0738315177586
2001,China,CHN,YEARBOOK,110863.1,15781.3,49512.3,45569.5,14.23494381809637,44.66075727631647,41.104298905587164,127627.0,48064.0,37.66,37213.5,6344.1,17.047845539925028,4862.1,22412.0,2169.4181688381227,38948.0,912580.9168,197976.96214408713,178732.4739984104,27278.31252185192,1.1076720291235262,0.26214748822588224,7.257668962678433,1355036590251.52,3059936242478.58,33.4598817910203,453393641323.232,37.6597442626953,41.9013296504106,44.276543602601
2002,China,CHN,YEARBOOK,121717.4,16537.0,53896.8,51283.6,13.586389456232222,44.28027545774064,42.13333508602714,128453.0,50212.0,39.09,43499.9,7790.9,17.91015611530141,6032.3,26808.3,2250.161330632677,43878.0,938207.298464,211111.77831210435,213295.75029848987,34250.86314619636,0.9897608274739218,0.3019504911049731,6.163692208602013,1489821682050.54,3342778183071.46,34.9878641071948,521256785555.368,39.0897827148438,42.9947150275034,43.8758028122184
2003,China,CHN,YEARBOOK,137422.0,17381.7,62436.3,57604.0,12.648411462502365,45.43399164617019,41.91759689132745,129227.0,52376.0,40.53,55566.6,10153.8,18.273207286391465,7955.7,33717.6,2359.5095736351345,48522.0,967965.15249472,228392.30442564844,258197.56278356537,43377.13725181046,0.8845641374899373,0.3109876456998286,5.265269192381198,1683903309843.85,3681006926650.74,38.0846809344133,641309202798.054,40.5302314758301,42.8414813603076,44.9827621327146
2004,China,CHN,YEARBOOK,161840.2,21412.7,73904.3,66523.2,13.230767139437544,45.66498311297193,41.10424974759052,129988.0,54283.0,41.76,70477.4,13158.3,18.670240389117644,10375.7,38231.6,2713.9068205358917,47789.0,996394.8494448256,270412.2777855145,315765.0846443871,55234.12313425615,0.856371685584083,0.596219119318619,4.895746731205099,1984196551300.44,4053944733453.66,39.3505370582361,780791999227.721,41.7600135803223,42.0383247680055,45.2328326582556
2005,China,CHN,YEARBOOK,187318.9,22420.0,87598.1,77300.8,11.968893688784208,46.76415460479429,41.26695170642151,130756.0,56212.0,42.99,88773.6,15909.2,17.921093658475044,18080.3,55486.2,3258.5219387883835,53570.0,1030036.952455929,335639.8007340372,388750.4304121678,69486.29944022847,0.8633811681653426,0.7347626202893957,4.830301849974782,2317551298052.05,4518455387849.41,39.2703289759488,910110018931.413,42.9899978637695,42.1355659992365,46.3816216984585
2006,China,CHN,YEARBOOK,219438.5,24040.0,103719.5,91679.0,10.955233470881364,47.26586264488684,41.7789038842318,131448.0,58288.0,44.34,109998.2,19382.5,17.620742884883573,20826.6,61857.1,3366.8891687453824,53019.0,1062455.2134068105,357716.8950296455,479311.1088915594,86784.21045702162,0.7463146344696473,0.20070414148239052,4.121912190545291,2791498472804.33,5091154930758.42,38.5215726233992,1075329111482.4,44.3430099487305,42.6376503739806,46.8865028592172
2007,China,CHN,YEARBOOK,270232.3,28627.0,125831.4,115773.9,10.593478277763243,46.56415979881013,42.84236192342662,132129.0,60633.0,45.89,137323.9,25288.8,18.41543970131929,29604.0,77354.7,3827.0460618423963,58236.0,1099442.1091386743,420761.5594002862,592669.4534469814,109469.48414331097,0.7099430499633914,0.4590946249752644,3.8436424789345867,3604055822571.63,5811552614974.09,37.6709873123357,1357683411650.45,45.8892440795898,43.7213258311976,46.1852362301075
