year,country,country_code,data_source,gdp_100m,primary_gdp_100m,secondary_gdp_100m,tertiary_gdp_100m,primary_pct,secondary_pct,tertiary_pct,total_pop_10k,urban_pop_10k,urbanization_rate,fai_total_100m,re_inv_100m,re_inv_share_pct,sales_value_100m,sales_area_10k_m2,avg_price_yuan_m2,residential_completed_10k_m2,housing_stock_10k_m2,housing_value_100m,capital_stock_100m,re_capital_stock_100m,urban_q,marginal_urban_q,real_estate_q,wb_gdp_current_usd,wb_gdp_constant_2015_usd,wb_gfcf_pct_gdp,wb_gfcf_current_usd,wb_urban_pct,wb_services_pct_gdp,wb_industry_pct_gdp,gdp_growth_pct,gdp_per_capita_yuan,urban_disposable_income_yuan,infra_inv_100m,land_transfer_revenue_100m,new_starts_10k_m2,completion_10k_m2,wb_agriculture_pct_gdp,pwt_hc,pwt_rnna,pwt_rkna,pwt_delta,pwt_investment_share,pwt_rgdpna,pwt_ctfp,pwt_labsh
1990,China,CHN,FILE_SOURCES,18667.8,4953.0656058693185,7645.064064488959,6069.680730422641,26.5326691193891,40.9532139003469,32.5141726953505,114333,30195,26.41,4469.473874300697,258.4,5.78144111068173,,,,,,,15094.232448744668,726.5904895993123,,,,361560229445.507,1041271896195.66,23.9421564099717,86565315650.0956,26.1957015991211,32.5141726953505,40.9532139003469,3.8,1644,1510.2,847.4,,28750,,26.5326691193891,1.956077456474304,4507292.0,0.0503891296684742,0.0540136098861694,0.2614764273166656,3165272.0,0.3667613863945007,0.5921685695648193
1991,China,CHN,FILE_SOURCES,21781.5,5219.49867878147,9009.85271246768,7552.158215115824,23.962990054778,41.3647026718439,34.6723513766996,115823,31203,26.94,5670.459414885654,320.2,5.6468087781289045,,,,,,,20009.980241193087,1024.9927749113328,,,,384510452961.672,1138752669458.5,26.0333742620373,100101045296.167,26.9402465820312,34.6723513766996,41.3647026718439,9.3,1893,1700.6,998.6,,33400,,23.962990054778,1.991196870803833,4792657.0,0.0536981411278247,0.0537628531455993,0.2606463730335235,3300483.75,0.3695086240768432,0.5921685695648193
1992,China,CHN,FILE_SOURCES,26923.5,5721.212972366593,11565.174419260919,9637.108986430037,21.2498856848723,42.9556871107431,35.7944137516669,117171,32175,27.46,8242.878148859154,723.0,8.771208150154033,,,,,,,27252.359377992587,1717.2429916639928,,,,428502354788.069,1301589870245.13,30.615923445537,131189952904.239,27.4598693847656,35.7944137516669,42.9556871107431,14.2,2311,2026.6,1361.2,,58600,,21.2498856848723,2.026946783065796,5221935.0,0.0590427927672863,0.0541794225573539,0.2675801813602447,3556377.75,0.3741691708564758,0.5921685695648193
1993,China,CHN,FILE_SOURCES,35333.9,6794.185536600018,16249.253544215188,12290.519659572807,19.2285186084752,45.9877158881844,34.7839317470554,118517,33173,27.99,13183.344359109667,1937.5,14.696574307878038,,,,,,,39073.085768202625,3603.225701914073,,,,446557291212.148,1482889338698.69,37.3107535797341,166613890516.5,27.9900760650635,34.7839317470554,45.9877158881844,13.9,2998,2577.4,2030.5,,82400,,19.2285186084752,2.0633385181427,5844427.0,0.0669468194246292,0.0553766265511512,0.2444555610418319,3920962.75,0.393658697605133,0.5668126940727234
1994,China,CHN,FILE_SOURCES,48197.9,9343.021977507386,22147.285263097583,16707.622874328204,19.384707585823,45.9507266148475,34.6646282811662,119850,34169,28.51,16722.024381833013,1859.4,11.119467102440494,,,,,,,53841.4558616255,5354.528930856651,,,,566929539493.172,1676743149158.28,34.6945082292652,196693415733.594,28.5098037719727,34.6646282811662,45.9507266148475,13.1,4044,3496.2,2827.0,,57300,,19.384707585823,2.100383758544922,6537489.5,0.0754891037940979,0.0566417202353477,0.2627892792224884,4256331.0,0.3929235935211181,0.5610336661338806
1995,China,CHN,FILE_SOURCES,61339.9,11960.137104181318,28532.765391143672,20847.013154710326,19.49813596726,46.5158329099716,33.9860566363987,121121,35174,29.04,20014.016170473675,1997.5,9.98050557662123,,,,,,,71163.39923901789,7191.393062930951,,,,738190896227.55,1861735071148.11,32.6280547742557,240857329959.694,29.0403804779053,33.9860566363987,46.5158329099716,10.9,5046,4283.0,3699.1,,52100,,19.49813596726,2.138093948364258,7287129.0,0.0841661989688873,0.0569493919610977,0.3029665052890777,4657186.5,0.4029641449451446,0.5673509836196899
1996,China,CHN,FILE_SOURCES,71813.6,13802.032201727394,33641.290908143375,24370.27621983474,19.2192456606094,46.8452924072089,33.9354609988007,122389,37304,30.48,22915.41896286693,2153.0,9.395420626997081,,,,,,,90520.64823993391,9128.651271043022,,,,868523936530.083,2047465483836.55,31.9095811418268,277142350263.255,30.4798641204834,33.9354609988007,46.8452924072089,9.9,5846,4838.9,4592.0,,51800,,19.2192456606094,2.1720845699310303,8110573.0,0.0935645699501037,0.0564799197018146,0.3043577969074249,4990733.0,0.3909872770309448,0.588390588760376
1997,China,CHN,FILE_SOURCES,79715.0,14174.542038436612,37306.34721422669,28234.163689622932,17.7815242281084,46.7996577986912,35.4188843876597,123626,39449,31.91,24911.123808039923,2509.0,10.071805749647611,,,,,,,110905.73963597714,11363.79173291173,,,,967753570434.667,2237626840759.87,31.2502337176691,302425252571.92,31.9099540710449,35.4188843876597,46.7996577986912,9.3,6420,5160.3,5579.3,,54300,,17.7815242281084,2.206615447998047,8979761.0,0.1035913378000259,0.0559849962592124,0.2903602421283722,5274995.0,0.3790993988513946,0.588529646396637
1998,China,CHN,FILE_SOURCES,85195.5,14504.9284801314,38713.79988160517,31976.82629545129,17.0254631760262,45.4411323152105,37.5334686637807,124761,41608,33.35,28174.06083406416,3614.2,12.82811172051638,1745.0,8455.0,2063.0,30248.0,,,133534.51348824243,14637.077980924376,,,,1037134141760.35,2414864610327.86,33.0698931681417,342979152690.471,33.3501663208008,37.5334686637807,45.4411323152105,7.8,6796,5425.1,7476.3,,66800,46290.0,17.0254631760262,2.2416954040527344,10003681.0,0.1158366724848747,0.0555112771689891,0.2767693102359772,5305999.5,0.3454538583755493,0.5924127697944641
1999,China,CHN,FILE_SOURCES,90564.4,14419.294030273231,40713.714313483615,35431.34465396273,15.921591740544,44.9555391671381,39.1228171930281,125786,43748,34.78,29591.961729020546,4103.2,13.865927637964035,1897.0,9244.0,2053.0,34285.0,,,156449.74954285086,18301.165641496646,,,,1103843203575.64,2601702759078.63,32.675048616256,360681303415.577,34.7797050476074,39.1228171930281,44.9555391671381,7.6,7159,5854.0,8398.5,514.4,66100,49780.0,15.921591740544,2.2773330211639404,11063193.0,0.1287490278482437,0.0548741184175014,0.2690532505512237,5573186.0,0.3356537222862243,0.6062768697738647
