STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,asset_query,asset_label
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1980,,53040.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1981,,53250.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1982,,52430.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1983,,56650.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1984,,59380.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1985,,54780.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1986,,55390.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1987,,56230.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1988,,60040.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GFCF_ASSET(2.0),Annual GFCF by asset,I,A,Annual,DEU_F,Former Federal Republic of Germany,S1,Total economy,S1,Total economy,P51G,Gross fixed capital formation,N111G,"Dwellings, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1989,,66310.0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable,N111G,Dwellings
