year,V1_original_100m,V1_adj_low_100m,V1_adj_mid_100m,V1_adj_high_100m,K2_100m,Q_V1adj_K2_low,Q_V1adj_K2_mid,Q_V1adj_K2_high,discount_pct_low,discount_pct_mid,discount_pct_high,Q_V1K1,Q_V1K2,Q_V2K1,Q_V2K2,Q_V3K2,Q_V3K3,Q_V1adjK2,Q_weighted,Q_mc_median,Q_mc_mean,Q_mc_p05,Q_mc_p10,Q_mc_p25,Q_mc_p75,Q_mc_p90,Q_mc_p95
1998,75057.9328,79157.4710,77071.2848,75057.9328,42220.8619,1.8748,1.8254,1.7777,-5.4618,-2.6824,-0.0000,4.9397,1.7777,0.1148,0.0413,2.4130,2.4130,1.8254,2.1063,2.0867,2.1049,1.6426,1.7348,1.8917,2.2970,2.5059,2.6417
1999,82919.9441,87610.0423,85159.3615,82800.9202,53455.9360,1.6389,1.5931,1.5490,-5.6562,-2.7007,0.1435,4.3656,1.5512,0.1917,0.0681,2.1996,2.1996,1.5931,1.8694,1.8490,1.8671,1.4617,1.5421,1.6797,2.0342,2.2188,2.3463
2000,95665.0776,97155.3523,94303.3815,91566.3122,66359.6579,1.4641,1.4211,1.3798,-1.5578,1.4234,4.2845,4.0539,1.4416,0.2459,0.0874,2.0958,2.0958,1.4211,1.7334,1.7154,1.7317,1.3564,1.4294,1.5568,1.8851,2.0575,2.1685
2001,108327.6142,107438.8604,104143.8924,100990.0476,81725.7682,1.3146,1.2743,1.2357,0.8204,3.8621,6.7735,3.6758,1.3255,0.2744,0.0990,1.9866,1.9866,1.2743,1.5902,1.5750,1.5891,1.2467,1.3173,1.4301,1.7268,1.8775,1.9815
2002,123342.7493,119598.6730,115815.9353,112204.4479,100336.4952,1.1920,1.1543,1.1183,3.0355,6.1024,9.0304,3.3634,1.2293,0.2925,0.1069,1.9036,1.9036,1.1543,1.4727,1.4596,1.4714,1.1589,1.2221,1.3281,1.5993,1.7408,1.8316
2003,142722.3142,134182.1994,129858.2093,125739.8720,123379.5003,1.0876,1.0525,1.0191,5.9837,9.0134,11.8989,3.0965,1.1568,0.3063,0.1144,1.8576,1.8576,1.0525,1.3787,1.3662,1.3772,1.0894,1.1469,1.2448,1.4952,1.6241,1.7096
2004,181396.3145,151959.4068,147029.3656,142344.1040,150317.5153,1.0109,0.9781,0.9470,16.2280,18.9458,21.5287,3.1099,1.2068,0.3339,0.1296,1.9206,1.9206,0.9781,1.3835,1.3715,1.3820,1.0886,1.1472,1.2468,1.5047,1.6323,1.7184
2005,228375.9585,173988.0913,168372.2037,163045.5005,181835.5898,0.9568,0.9260,0.8967,23.8151,26.2741,28.6065,3.1254,1.2559,0.5065,0.2035,1.9691,1.9691,0.9260,1.4077,1.3930,1.4065,1.1214,1.1751,1.2694,1.5279,1.6576,1.7377
2006,264127.7671,198698.5780,192296.9883,186234.9581,219344.4221,0.9059,0.8767,0.8491,24.7718,27.1955,29.4906,2.9027,1.2042,0.6354,0.2636,1.9202,1.9202,0.8767,1.3531,1.3403,1.3518,1.0916,1.1414,1.2274,1.4635,1.5783,1.6504
2007,338237.0758,232450.8172,225151.7584,218249.4839,265983.5895,0.8739,0.8465,0.8205,31.2758,33.4337,35.4744,2.9552,1.2716,0.7623,0.3280,1.9970,1.9970,0.8465,1.3943,1.3814,1.3934,1.1287,1.1791,1.2691,1.5063,1.6223,1.7001
2008,361087.3582,266016.1179,257664.2909,249774.3030,326466.3818,0.8148,0.7893,0.7651,26.3292,28.6421,30.8272,2.5225,1.1060,0.7474,0.3277,1.8253,1.8253,0.7893,1.2440,1.2328,1.2428,1.0213,1.0621,1.1373,1.3381,1.4365,1.5021
2009,484257.6904,306370.1461,296813.5159,287793.0064,408321.6903,0.7503,0.7269,0.7048,36.7341,38.7075,40.5703,2.7435,1.1860,0.8547,0.3695,1.9180,1.9180,0.7269,1.3032,1.2909,1.3020,1.0542,1.1018,1.1853,1.4064,1.5179,1.5896
2010,558285.9737,358709.4321,347764.3007,337440.1337,501170.5396,0.7157,0.6939,0.6733,35.7481,37.7086,39.5578,2.5233,1.1140,0.9191,0.4058,1.8596,1.8596,0.6939,1.2409,1.2312,1.2400,1.0102,1.0567,1.1327,1.3357,1.4381,1.5021
2011,649103.2135,426072.8678,413498.3661,401641.8611,616718.8234,0.6909,0.6705,0.6513,34.3598,36.2970,38.1236,2.3302,1.0525,0.9414,0.4252,1.8042,1.8042,0.6705,1.1843,1.1751,1.1833,0.9743,1.0145,1.0862,1.2718,1.3634,1.4196
2012,770893.2635,500909.3201,486393.0716,472706.2048,753104.6587,0.6651,0.6459,0.6277,35.0222,36.9053,38.6807,2.2358,1.0236,0.9475,0.4338,1.7678,1.7678,0.6459,1.1512,1.1417,1.1504,0.9470,0.9889,1.0569,1.2362,1.3228,1.3761
2013,901484.4594,583474.7269,566671.6756,550826.5808,913405.9190,0.6388,0.6204,0.6030,35.2762,37.1402,38.8978,2.1266,0.9869,0.9628,0.4468,1.7340,1.7340,0.6204,1.1151,1.1070,1.1138,0.9204,0.9585,1.0255,1.1961,1.2815,1.3284
2014,974898.1567,656548.8797,637080.5004,618718.9491,1086988.3414,0.6040,0.5861,0.5692,32.6546,34.6516,36.5350,1.9098,0.8969,0.9488,0.4456,1.6411,1.6411,0.5861,1.0348,1.0275,1.0339,0.8585,0.8931,0.9541,1.1066,1.1843,1.2271
2015,1125858.9313,733485.0909,711025.9929,689846.2702,1268235.7912,0.5784,0.5606,0.5439,34.8511,36.8459,38.7271,1.8883,0.8877,0.9587,0.4507,1.6262,1.6262,0.5606,1.0205,1.0142,1.0196,0.8446,0.8792,0.9403,1.0931,1.1661,1.2119
2016,1304216.3828,802594.2384,776804.6014,752493.3432,1463204.7174,0.5485,0.5309,0.5143,38.4616,40.4390,42.3030,1.8987,0.8913,1.0034,0.4711,1.6279,1.6279,0.5309,1.0190,1.0122,1.0180,0.8399,0.8763,0.9376,1.0921,1.1686,1.2123
2017,1436643.0660,880149.6560,850733.8924,823024.8363,1672530.5759,0.5262,0.5087,0.4921,38.7357,40.7832,42.7119,1.8349,0.8590,1.0511,0.4920,1.6018,1.6018,0.5087,0.9958,0.9888,0.9950,0.8208,0.8567,0.9160,1.0682,1.1415,1.1851
2018,1659336.3721,950807.3594,917432.0840,886023.5396,1895595.6586,0.5016,0.4840,0.4674,42.6995,44.7109,46.6037,1.8695,0.8754,1.0962,0.5133,1.6272,1.6272,0.4840,1.0063,0.9999,1.0054,0.8228,0.8622,0.9244,1.0817,1.1573,1.2013
2019,1825090.8042,1032134.9914,994506.3084,959138.7744,2137588.7889,0.4829,0.4652,0.4487,43.4475,45.5092,47.4471,1.8214,0.8538,1.1304,0.5299,1.6141,1.6141,0.4652,0.9899,0.9841,0.9893,0.8110,0.8478,0.9101,1.0654,1.1388,1.1813
2020,1967755.0574,1109508.8517,1067283.9239,1027651.2091,2386738.1252,0.4649,0.4472,0.4306,43.6155,45.7613,47.7755,1.7516,0.8245,1.1628,0.5473,1.5937,1.5937,0.4472,0.9673,0.9613,0.9664,0.7926,0.8289,0.8894,1.0396,1.1128,1.1515
2021,2073266.6639,1182879.5534,1135740.4553,1091563.9751,2645975.9814,0.4470,0.4292,0.4125,42.9461,45.2198,47.3505,1.6605,0.7836,1.1920,0.5624,1.5606,1.5606,0.4292,0.9363,0.9312,0.9356,0.7653,0.8023,0.8602,1.0060,1.0762,1.1141
2022,2021310.2022,1237487.5195,1185141.1101,1136169.4572,2893451.7020,0.4277,0.4096,0.3927,38.7780,41.3677,43.7904,1.4901,0.6986,1.1954,0.5604,1.4802,1.4802,0.4096,0.8716,0.8667,0.8709,0.7163,0.7485,0.8011,0.9352,0.9984,1.0363
2023,1998609.6817,1288483.6978,1230735.0469,1176817.1216,3116496.1509,0.4134,0.3949,0.3776,35.5310,38.4204,41.1182,1.3877,0.6413,1.1996,0.5544,1.4298,1.4298,0.3949,0.8297,0.8253,0.8287,0.6809,0.7112,0.7628,0.8906,0.9514,0.9868
2024,1932603.1173,1330778.8608,1267454.0212,1208460.7791,3332705.2664,0.3993,0.3803,0.3626,31.1406,34.4173,37.4698,1.2784,0.5799,1.2023,0.5454,1.3745,1.3745,0.3803,0.7848,0.7806,0.7840,0.6435,0.6724,0.7197,0.8430,0.9007,0.9362
