year,R1_urbanization_rate,R2_NR_ratio,R3_IV_ratio,R4_FS_ratio,primary_pct,secondary_pct,tertiary_pct,gdp_struct_source,new_starts_10k_m2,housing_stock_10k_m2,realestate_inv,infra_inv,total_construction_inv,urban_asset_value_100m,commercial_housing_avg_price_yuan_m2
1978,17.9200,,,,27.7000,47.7000,24.6000,NBS,,,,,,,
1979,18.9600,,,,28.9500,47.9500,23.1000,interpolated,,,,,,,
1980,19.3900,,,,30.2000,48.2000,21.6000,NBS,,,,,,,
1981,20.1600,,,,29.8400,47.1800,22.9800,interpolated,,,,,,,
1982,21.1300,,,,29.4800,46.1600,24.3600,interpolated,,,,,,,
1983,21.6200,,,,29.1200,45.1400,25.7400,interpolated,,,,,,,
1984,23.0100,,,,28.7600,44.1200,27.1200,interpolated,,,,,,,
1985,23.7100,,,0.0722,28.4000,43.1000,28.5000,NBS,29820.0000,412874.0000,,,,,
1986,24.5200,,,0.0725,28.1400,42.8000,29.0600,interpolated,30920.0000,426260.5000,,,,,
1987,25.3200,,,0.0737,27.8800,42.5000,29.6200,interpolated,32450.0000,440450.3000,170.6000,,170.6000,,
1988,25.8100,,,0.0781,27.6200,42.2000,30.1800,interpolated,35680.0000,456617.3000,253.8000,,253.8000,,
1989,26.2100,,,0.0645,27.3600,41.9000,30.7400,interpolated,30210.0000,468632.0000,270.2000,,270.2000,,
1990,26.4100,0.3049,,0.0600,27.1000,41.6000,31.3000,NBS,28750.0000,479384.3000,258.4000,847.4000,1105.8000,,
1991,26.9400,0.3206,,0.0677,25.7800,43.0400,31.1800,interpolated,33400.0000,493176.6000,320.2000,998.6000,1318.8000,,
1992,27.4600,0.5311,,0.1118,24.4600,44.4800,31.0600,interpolated,58600.0000,524333.1000,723.0000,1361.2000,2084.2000,,
1993,27.9900,0.9542,,0.1442,23.1400,45.9200,30.9400,interpolated,82400.0000,571526.4000,1937.5000,2030.5000,3968.0000,,
1994,28.5100,0.6577,,0.0955,21.8200,47.3600,30.8200,interpolated,57300.0000,600205.9000,1859.4000,2827.0000,4686.4000,,
1995,29.0400,0.5400,,0.0834,20.5000,48.8000,30.7000,NBS,52100.0000,624671.8000,1997.5000,3699.1000,5696.6000,,
1996,30.4800,0.4689,,0.0799,19.4200,48.1400,32.4400,interpolated,51800.0000,648438.4000,2153.0000,4592.0000,6745.0000,,
1997,31.9100,0.4497,,0.0806,18.3400,47.4800,34.1800,interpolated,54300.0000,673479.6000,2509.0000,5579.3000,8088.3000,,
