year,gdp_100m,urbanization_pct,residential_price,commercial_price,completion_10k_m2,new_starts_10k_m2,sales_area_10k_m2,sales_amount_100m,re_inv_100m,infra_inv_100m,land_revenue_100m,built_area_km2,housing_stock_pim,V1_100m,V2_100m,V3_100m,K1_100m,K2_100m,K3_100m,K3_pim_100m,Q_V1K1,Q_V1K2,Q_V2K1,Q_V2K2,Q_V3K2,Q_V3K3,MUQ_V1,MUQ_V2,MUQ_V3,re_inv_gdp_pct,infra_inv_gdp_pct,total_inv_gdp_pct,NR_ratio,FS_ratio,PIR
1998,85195.5000,33.3500,1854,2063,46290.0000,66800,8455,1745,3614.2000,7476.3000,0.0000,26528.0000,404843.2191,75057.9328,1745,101878.9828,15194.7216,42220.8619,11090.5000,42220.8619,4.9397,1.7777,0.1148,0.0413,2.4130,2.4130,,,,4.2422,8.7755,13.0177,1.4431,5.4749,30.7570
1999,90564.4000,34.7800,1857,2053,49780.0000,66100,9244,1897,4103.2000,8398.5000,514.4000,28658.0000,446526.3547,82919.9441,3642,117581.0521,18994.0272,53455.9360,23592.2000,53455.9360,4.3656,1.5512,0.1917,0.0681,2.1996,2.1996,1.9161,0.4623,1.2560,4.5307,9.2735,13.8042,1.3278,5.3851,28.5497
2000,100280.1000,36.2200,1948,2112,53498.0000,72200,10240,2161,4984.1000,9523.3000,595.6000,22439.0000,491093.8276,95665.0776,5803,139079.2173,23598.2466,66359.6579,38099.6000,66359.6579,4.0539,1.4416,0.2459,0.0874,2.0958,2.0958,2.5572,0.4336,1.4819,4.9702,9.4967,14.4669,1.3496,5.2244,27.9172
2001,110863.1000,37.6600,2017,2170,55801.0000,77200,10520,2284,6344.1000,11012.8000,1295.9000,24028.0000,537072.9510,108327.6142,8087,162358.2883,29470.3817,81725.7682,55456.5000,81725.7682,3.6758,1.3255,0.2744,0.0990,1.9866,1.9866,1.9960,0.3600,1.3412,5.7225,9.9337,15.6562,1.3835,5.3043,26.4636
2002,121717.4000,39.0900,2092,2250,63261.0000,86100,11736,2639,7790.9000,13271.6000,2416.8000,25973.0000,589592.4920,123342.7493,10726,190996.8325,36671.8741,100336.4952,76519.0000,100336.4952,3.3634,1.2293,0.2925,0.1069,1.9036,1.9036,1.9273,0.3387,1.3597,6.4008,10.9036,17.3044,1.3610,5.3903,24.4431
2003,137422.0000,40.5300,2197,2381,71823.0000,113000,14229,3390,10153.8000,15899.3000,5421.3000,28308.0000,649623.6422,142722.3142,14116,229183.7420,46092.2366,123379.5003,102572.1000,123379.5003,3.0965,1.1568,0.3063,0.1144,1.8576,1.8576,1.9086,0.3339,1.4657,7.3888,11.5697,18.9585,1.5733,5.0476,23.3387
2004,161840.2000,41.7600,2549,2778,75006.0000,122700,19298,5361,13158.3000,17481.1000,6412.2000,30406.0000,711637.1693,181396.3145,19477,288702.3452,58328.6919,150317.5153,133211.5000,150317.5153,3.1099,1.2068,0.3339,0.1296,1.9206,1.9206,2.9391,0.4074,1.9426,8.1304,10.8015,18.9319,1.6359,3.8867,24.3494
2005,187318.9000,42.9900,2937,3168,80178.0000,127900,55484,17530,15909.2000,20118.4000,5883.8000,32521.0000,777582.4259,228375.9585,37007,358058.1960,73071.3180,181835.5898,169239.1000,181835.5898,3.1254,1.2559,0.5065,0.2035,1.9691,1.9691,2.9530,1.1019,1.9251,8.4931,10.7402,19.2333,1.5952,1.4451,25.1911
2006,219438.5000,44.3400,3119,3367,84804.0000,146700,61819,20808,19382.9000,23581.0000,8077.6000,33660.0000,846834.7774,264127.7671,57815,421182.9151,90992.7917,219344.4221,212203.0000,219344.4221,2.9027,1.2042,0.6354,0.2636,1.9202,1.9202,1.8445,1.0735,1.4693,8.8330,10.7461,19.5790,1.7299,1.3718,23.8709
2007,270092.3000,45.8900,3645,3864,98050.0000,176800,76193,29438,25280.6000,27938.9000,13003.1000,35470.0000,927948.0819,338237.0758,87253,531176.7219,114453.5358,265983.5895,265422.5000,265983.5895,2.9552,1.2716,0.7623,0.3280,1.9970,1.9970,2.9315,1.1645,2.0668,9.3600,10.3442,19.7042,1.8032,1.2869,23.7962
2008,319515.5000,46.9900,3576,3800,100363.0000,173000,51958,19726,30979.7000,37482.6000,10375.0000,36295.0000,1009752.1202,361087.3582,106979,595911.8464,143144.1651,326466.3818,333884.8000,326466.3818,2.5225,1.1060,0.7474,0.3277,1.8253,1.8253,0.7376,0.6367,0.9456,9.6958,11.7311,21.4269,1.7237,1.9316,20.3944
2009,349081.4000,48.3400,4459,4681,96466.0000,189000,93713,43894,36232.4000,55416.9000,15910.2000,38107.0000,1086023.0778,484257.6904,150873,783176.1271,176513.6818,408321.6903,425534.1000,408321.6903,2.7435,1.1860,0.8547,0.3695,1.9180,1.9180,3.3995,1.2115,2.0433,10.3794,15.8751,26.2544,1.9592,1.0294,23.3663
2010,413030.3000,49.9500,4725,5032,117255.0000,233200,104349,52479,48267.0000,56831.5000,27100.0000,40058.0000,1181557.6163,558285.9737,203352,931975.4089,221250.4082,501170.5396,530632.6000,501170.5396,2.5233,1.1140,0.9191,0.4058,1.8596,1.8596,1.5337,1.0873,1.4158,11.6861,13.7596,25.4457,1.9888,1.1237,22.2534
2011,489300.6000,51.2700,4993,5357,142100.0000,309600,109946,58891,61740.4000,68843.0000,32126.5000,43603.0000,1300026.4640,649103.2135,262243,1112694.8073,278565.8000,616718.8234,661216.0000,616718.8234,2.3302,1.0525,0.9414,0.4252,1.8042,1.8042,1.4710,0.9538,1.3839,12.6181,14.0697,26.6878,2.1787,1.2925,20.6040
2012,540367.4000,52.5700,5430,5791,145667.0000,346300,111305,64456,71804.5000,83082.9000,27142.0000,45466.0000,1419692.9347,770893.2635,326699,1331331.3896,344798.9840,753104.6587,816103.4000,753104.6587,2.2358,1.0236,0.9475,0.4338,1.7678,1.7678,1.6961,0.8977,1.4116,13.2881,15.3753,28.6634,2.3773,1.3087,19.8944
2013,595244.4000,53.7300,5850,6237,149700.0000,346800,130551,81428,86013.4000,96881.0000,41250.5000,47855.0000,1540999.0760,901484.4594,408127,1583887.5365,423916.4043,913405.9190,998997.8000,913405.9190,2.1266,0.9869,0.9628,0.4468,1.7340,1.7340,1.5183,0.9467,1.3809,14.4501,16.2758,30.7259,2.3166,1.1467,19.5325
2014,643974.0000,54.7700,5933,6324,133000.0000,316000,120649,76226,95035.6000,105949.0000,40048.5000,49772.0000,1643179.0945,974898.1567,484353,1783903.6067,510473.6762,1086988.3414,1199982.4000,1086988.3414,1.9098,0.8969,0.9488,0.4456,1.6411,1.6411,0.7725,0.8021,0.9952,14.7577,16.4524,31.2100,2.3759,1.1024,18.5124
2015,688858.2000,56.1000,6473,6793,129000.0000,278400,128495,87281,95979.1000,117878.0000,32547.4000,51948.0000,1739315.5126,1125858.9313,571634,2062432.4992,596243.3027,1268235.7912,1413839.5000,1268235.7912,1.8883,0.8877,0.9587,0.4507,1.6262,1.6262,1.5729,0.9094,1.3024,13.9331,17.1121,31.0452,2.1581,1.0039,18.6752
2016,746395.1000,57.3500,7203,7476,106128.0000,239400,157349,117631,102581.0000,130435.0000,37456.6000,54331.0000,1810657.2023,1304216.3828,689265,2382023.4400,686899.4367,1463204.7174,1646855.5000,1463204.7174,1.8987,0.8913,1.0034,0.4711,1.6279,1.6279,1.7387,1.1467,1.3715,13.7435,17.4753,31.2189,2.2558,0.6745,19.2845
2017,832035.9000,58.5200,7614,7892,112400.0000,246900,169408,133701,109799.0000,143423.0000,52059.0000,56225.0000,1886844.0583,1436643.0660,822966,2679122.9369,782960.4479,1672530.5759,1900077.5000,1672530.5759,1.8349,0.8590,1.0511,0.4920,1.6018,1.6018,1.2061,1.2177,1.1733,13.1964,17.2376,30.4340,2.1966,0.6635,18.8278
2018,919281.1000,59.5800,8544,8736,93000.0000,221900,171654,149973,120264.0000,152977.0000,65096.0000,58455.0000,1942107.1771,1659336.3721,972939,3084575.5042,887565.2390,1895595.6586,2173318.5000,1895595.6586,1.8695,0.8754,1.0962,0.5133,1.6272,1.6272,1.8517,1.2470,1.4839,13.0824,16.6409,29.7233,2.3860,0.5418,19.5909
2019,990865.1000,60.6000,9112,9310,99688.0000,227100,171558,159738,132194.0000,166667.0000,73238.0000,60312.0000,2002953.0336,1825090.8042,1132677,3450214.6670,1002007.9342,2137588.7889,2472179.5000,2137588.7889,1.8214,0.8538,1.1304,0.5299,1.6141,1.6141,1.2539,1.2084,1.2234,13.3413,16.8204,30.1616,2.2781,0.5811,19.3602
2020,1013567.0000,63.8900,9578,9860,91559.0000,226600,176086,173613,141443.0000,171834.0000,84142.0000,62321.0000,2054452.9729,1967755.0574,1306290,3803768.7817,1123410.7755,2386738.1252,2785456.5000,2386738.1252,1.7516,0.8245,1.1628,0.5473,1.5937,1.5937,1.0086,1.2274,1.1286,13.9550,16.9534,30.9084,2.4749,0.5200,19.6656
2021,1143669.7000,64.7200,9878,10139,85509.0000,198895,179433,181930,147602.0000,183238.0000,87051.0000,63528.0000,2098872.9134,2073266.6639,1488220,4129413.3352,1248544.5600,2645975.9814,3116296.5000,2645975.9814,1.6605,0.7836,1.1920,0.5624,1.5606,1.5606,0.7148,1.2326,0.9843,12.9060,16.0219,28.9279,2.3260,0.4766,18.7510
2022,1210207.2000,65.2200,9504,9812,69904.0000,120600,135837,133308,132895.0000,193960.0000,66854.0000,64452.0000,2126799.4552,2021310.2022,1621528,4282791.5427,1356468.6688,2893451.7020,3443151.5000,2893451.7020,1.4901,0.6986,1.1954,0.5604,1.4802,1.4802,-0.3910,1.0031,0.4693,10.9812,16.0270,27.0082,1.7252,0.5146,17.3561
2023,1260582.0000,66.1600,9285,9588,68251.0000,95000,111735,106141,110912.0000,198936.0000,57996.0000,65800.0000,2152514.4661,1998609.6817,1727669,4456004.4646,1440251.2954,3116496.1509,3752999.5000,3116496.1509,1.3877,0.6413,1.1996,0.5544,1.4298,1.4298,-0.2047,0.9570,0.5590,8.7985,15.7813,24.5798,1.3919,0.6108,16.1257
