year,urbanization_rate_pct,V1_housing_value_100m,V2_total_urban_value_100m,V3_flow_proxy_100m,K1_cumulative_inv_100m,K2_pim_capital_stock_100m,Q_V1K1,Q_V1K2,Q_V2K1,Q_V2K2,MUQ_V1,MUQ_V2,total_construction_inv,realestate_inv,infra_inv,ICR_re,ICR_total,SGI_index,Q_vs_inv_SGI
1998,33.3500,145709.6900,174975.9621,1745.0000,45478.2000,43643.0970,3.2039,3.3387,3.8475,4.0092,,,11090.5000,3614.2000,7476.3000,,,,
1999,34.7800,152323.1562,188817.2774,2411.4000,57979.9000,55053.7196,2.6272,2.7668,3.2566,3.4297,0.5290,1.1072,12501.7000,4103.2000,8398.5000,,,,
2000,36.2200,164865.4445,209423.1009,2756.6000,72487.3000,68184.7766,2.2744,2.4179,2.8891,3.0714,0.8645,1.4204,14507.4000,4984.1000,9523.3000,2.5165,0.8645,1.0000,1.0000
2001,37.6600,178113.9689,231902.1190,3579.9000,89844.2000,83837.0572,1.9825,2.1245,2.5812,2.7661,0.7633,1.2951,17356.9000,6344.1000,11012.8000,2.0883,0.7633,1.1074,0.9030
2002,39.0900,195220.4850,260128.7091,5055.8000,110906.7000,102803.6307,1.7602,1.8990,2.3455,2.5303,0.8122,1.3401,21062.5000,7790.9000,13271.6000,2.1957,0.8122,1.2261,0.8156
2003,40.5300,219555.9863,297767.1814,8811.3000,136959.8000,126286.6400,1.6031,1.7386,2.1741,2.3579,0.9341,1.4447,26053.1000,10153.8000,15899.3000,2.3967,0.9341,1.3485,0.7416
2004,41.7600,271877.4151,364441.2625,11773.2000,167599.2000,153768.8740,1.6222,1.7681,2.1745,2.3701,1.7077,2.1761,30639.4000,13158.3000,17481.1000,3.9763,1.7077,1.2807,0.7808
2005,42.9900,329245.4246,438225.1181,23413.8000,203626.8000,185952.2521,1.6169,1.7706,2.1521,2.3567,1.5923,2.0480,36027.6000,15909.2000,20118.4000,3.6060,1.5923,1.2435,0.8042
2006,44.3400,371482.1538,499683.6595,28885.6000,246590.7000,224267.3458,1.5065,1.6564,2.0264,2.2281,0.9831,1.4305,42963.9000,19382.9000,23581.0000,2.1791,0.9831,1.3143,0.7608
2007,45.8900,455676.4968,606688.8423,42441.1000,299810.2000,271880.1622,1.5199,1.6760,2.0236,2.2315,1.5820,2.0106,53219.5000,25280.6000,27938.9000,3.3304,1.5820,1.3273,0.7534
2008,46.9900,477304.4340,659758.8857,30101.0000,368272.5000,333545.4581,1.2961,1.4310,1.7915,1.9780,0.3159,0.7752,68462.3000,30979.7000,37482.6000,0.6981,0.3159,1.6300,0.6135
2009,48.3400,621360.1529,851933.3265,59804.2000,459921.8000,416856.1217,1.3510,1.4906,1.8523,2.0437,1.5718,2.0968,91649.3000,36232.4000,55416.9000,3.9759,1.5718,1.6762,0.5966
2010,49.9500,713595.8706,991777.6172,79579.0000,565020.3000,511533.2186,1.2630,1.3950,1.7553,1.9388,0.8776,1.3306,105098.5000,48267.0000,56831.5000,1.9109,0.8776,1.6737,0.5975
2011,51.2700,820613.9200,1156511.3967,91017.5000,695603.7000,629328.2882,1.1797,1.3040,1.6626,1.8377,0.8195,1.2615,130583.4000,61740.4000,68843.0000,1.7334,0.8195,1.8084,0.5530
2012,52.5700,953710.1769,1359254.6547,91598.0000,850491.1000,768482.4809,1.1214,1.2410,1.5982,1.7688,0.8593,1.3090,154887.4000,71804.5000,83082.9000,1.8536,0.8593,1.8456,0.5418
2013,53.7300,1099985.8231,1586189.5217,122678.5000,1033385.5000,932164.8189,1.0644,1.1800,1.5349,1.7016,0.7998,1.2408,182894.4000,86013.4000,96881.0000,1.7006,0.7998,1.8895,0.5292
2014,54.7700,1177132.1587,1749836.7094,116274.5000,1234370.1000,1109845.2985,0.9536,1.0606,1.4176,1.5766,0.3838,0.8142,200984.6000,95035.6000,105949.0000,0.8118,0.3838,1.9403,0.5154
