year,MUQ_V1,MUQ_V2,MUQ_V3,MUQ_weighted,MUQ_w_ma5,fai_100m,fai_usd_bn,exchange_rate,excess_frac_A,excess_usd_A,excess_rmb_A,excess_frac_A_ma5,excess_usd_A_ma5,excess_frac_B_w,excess_usd_B_w,excess_frac_B_v1,excess_usd_B_v1,excess_frac_C,excess_usd_C
2000,2.5572,0.4336,1.4819,1.7024,1.4973,32917.7000,401.7068,8.1945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2001,1.9960,0.3600,1.3412,1.4069,1.4771,37213.5000,454.8461,8.1816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2002,1.9273,0.3387,1.3597,1.3825,1.5885,43499.9000,532.4390,8.1699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2003,1.9086,0.3339,1.4657,1.4165,1.6823,55566.6000,680.8865,8.1609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2004,2.9391,0.4074,1.9426,2.0342,1.7090,70477.4000,864.0685,8.1565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2005,2.9530,1.1019,1.9251,2.1716,1.8789,88773.6000,1098.3268,8.0826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2006,1.8445,1.0735,1.4693,1.5402,1.7558,109998.2000,1399.2978,7.8610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2007,2.9315,1.1645,2.0668,2.2322,1.8328,137323.9000,1832.4217,7.4941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2008,0.7376,0.6367,0.9456,0.8006,1.6779,172828.4000,2524.6037,6.8458,0.1994,503.3555,34458.5264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2524.6037
2009,3.3995,1.2115,2.0433,2.4194,1.6364,224598.8000,3338.9713,6.7266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2010,1.5337,1.0873,1.4158,1.3973,1.4745,251683.8000,3773.4962,6.6698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2011,1.4710,0.9538,1.3839,1.3327,1.5842,311485.1000,4883.7832,6.3779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2012,1.6961,0.8977,1.4116,1.4226,1.2738,374694.7000,6014.3824,6.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2013,1.5183,0.9467,1.3809,1.3490,1.2608,446294.1000,7305.0647,6.1094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2014,0.7725,0.8021,0.9952,0.8675,1.2889,502005.0000,8321.2506,6.0328,0.1325,1102.5657,66515.6625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,8321.2506
2015,1.5729,0.9094,1.3024,1.3320,1.2434,561999.8000,9203.3682,6.1065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2016,1.7387,1.1467,1.3715,1.4734,1.2904,606466.0000,9308.3263,6.5153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017,1.2061,1.2177,1.1733,1.1953,1.3634,631684.0000,9518.5502,6.6363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2018,1.8517,1.2470,1.4839,1.5836,1.3171,635636.0000,9782.4585,6.4977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2019,1.2539,1.2084,1.2234,1.2326,1.2076,551478.0000,8103.6378,6.8053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020,1.0086,1.2274,1.1286,1.1004,1.0149,518907.0000,7677.5825,6.7587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021,0.7148,1.2326,0.9843,0.9262,0.7648,544547.0000,8666.5586,6.2833,0.0738,639.9387,40209.3505,0.2352,2038.0626,0.0000,0.0000,0.0000,0.0000,1.0000,8666.5586
2022,-0.3910,1.0031,0.4693,0.2319,0.5338,572138.0000,8659.4406,6.6071,0.7681,6650.9699,439436.3123,0.4662,4037.1351,0.0000,0.0000,0.3910,3385.8413,1.0000,8659.4406
2023,-0.2047,0.9570,0.5590,0.3331,0.3921,503036.0000,7290.7967,6.8996,0.6669,4862.0865,335464.6477,0.6079,4431.7472,0.0000,0.0000,0.2047,1492.4261,1.0000,7290.7967
2024,-0.6582,0.8968,0.4032,0.0774,0.2141,309704.0000,4362.0282,7.1000,0.9226,4024.5817,285745.2986,0.7859,3427.9435,0.0000,0.0000,0.6582,2871.0869,1.0000,4362.0282
