year,urbanization_rate,construction_investment_trillion_yen,gdp_trillion_yen,capital_stock_K,asset_value_V,urban_Q,MUQ,ci_gdp_ratio,housing_starts_10k,land_price_index_1983eq100,tertiary_share_pct,new_construction_trillion,maintenance_repair_trillion,new_repair_ratio
1960,63.3000,5.0000,16.0000,40.0000,41.5000,1.0375,,0.3125,60.0000,12.0000,48.0000,,,
1961,64.2200,6.0000,19.3800,45.0000,47.9250,1.0650,1.0708,0.3096,63.3333,14.6000,48.4000,,,
1962,65.1400,7.0000,22.7600,50.8750,54.9625,1.0803,1.0054,0.3076,66.6667,17.2000,48.8000,,,
1963,66.0600,8.0000,26.1400,57.6031,62.5972,1.0867,0.9543,0.3060,70.0000,19.8000,49.2000,,,
1964,66.9800,9.0000,29.5200,65.1630,70.8141,1.0867,0.9130,0.3049,77.1000,22.4000,49.6000,,,
1965,67.9000,10.0000,32.9000,73.5340,79.5988,1.0825,0.8785,0.3040,84.2000,25.0000,50.0000,,,
1966,68.7400,11.3333,40.9800,83.0290,89.6203,1.0794,0.8842,0.2766,92.1000,28.0000,50.2000,,,
1967,69.5800,12.6667,49.0600,93.6199,100.4089,1.0725,0.8517,0.2582,100.0000,31.0000,50.4000,,,
1968,70.4200,14.0000,57.1400,105.2794,111.9456,1.0633,0.8240,0.2450,122.0000,34.0000,50.6000,,,
1969,71.2600,16.0000,65.2200,118.6474,124.6782,1.0508,0.7958,0.2453,140.0000,37.0000,50.8000,,,
1970,72.1000,18.0000,73.3000,133.6812,138.5769,1.0366,0.7721,0.2456,148.0000,40.0000,51.0000,15.5000,2.5000,6.2000
1971,72.8200,20.0000,88.3000,150.3392,157.2374,1.0459,0.9330,0.2265,160.0000,50.0000,51.8000,17.4000,3.0000,5.8000
1972,73.5400,22.0000,103.3000,168.5807,177.0065,1.0500,0.8986,0.2130,186.0000,60.0000,52.6000,19.3000,3.5000,5.5143
1973,74.2600,25.0000,118.3000,189.3662,198.5563,1.0485,0.8620,0.2113,191.0000,70.0000,53.4000,21.2000,4.0000,5.3000
1974,74.9800,27.5000,133.3000,212.1320,221.4924,1.0441,0.8340,0.2063,132.0000,65.0000,54.2000,23.1000,4.5000,5.1333
1975,75.7000,30.0000,148.3000,236.8287,245.7801,1.0378,0.8096,0.2023,136.0000,60.0000,55.0000,25.0000,5.0000,5.0000
1976,75.8000,32.5000,166.6800,263.4080,278.3856,1.0569,1.0032,0.1950,152.0000,58.3333,55.4000,26.8000,5.6000,4.7857
1977,75.9000,35.0000,185.0600,291.8228,312.2760,1.0701,0.9683,0.1891,150.0000,56.6667,55.8000,28.6000,6.2000,4.6129
1978,76.0000,37.0000,203.4400,321.5273,347.0691,1.0794,0.9404,0.1819,151.0000,55.0000,56.2000,30.4000,6.8000,4.4706
1979,76.1000,39.5000,221.8200,352.9891,383.0924,1.0853,0.9120,0.1781,149.0000,60.0000,56.6000,32.2000,7.4000,4.3514
1980,76.2000,42.0000,240.2000,386.1643,420.3150,1.0884,0.8863,0.1749,127.0000,65.0000,57.0000,34.0000,8.0000,4.2500
1981,76.3000,43.0000,257.2400,419.5102,463.6572,1.1052,1.0080,0.1672,115.0000,76.6667,57.2000,34.6000,8.4000,4.1190
1982,76.4000,44.0000,274.2800,453.0225,507.1157,1.1194,0.9877,0.1604,114.0000,88.3333,57.4000,35.2000,8.8000,4.0000
1983,76.5000,45.0000,291.3200,486.6969,550.6878,1.1315,0.9683,0.1545,113.0000,100.0000,57.6000,35.8000,9.2000,3.8913
1984,76.6000,46.0000,308.3600,520.5295,594.3706,1.1419,0.9496,0.1492,117.0000,105.0000,57.8000,36.4000,9.6000,3.7917
1985,76.7000,47.0000,325.4000,554.5163,638.1614,1.1508,0.9317,0.1444,124.0000,110.0000,58.0000,37.0000,10.0000,3.7000
1986,76.8200,51.0000,350.6600,591.6534,789.1573,1.3338,2.9607,0.1454,137.0000,125.0000,58.4000,42.8000,11.0000,3.8909
