year,urbanization_rate,gdp_trillion_gbp,construction_investment_trillion,ci_gdp_ratio,hpi_1970eq100,tertiary_share_pct,population_million,capital_stock_K,V_residential,V_nonresidential,V_total,V_gdp_ratio,res_value_gdp_ratio,urban_Q,Q_residential,MUQ,MUQ_residential,new_construction_trillion,repair_trillion,new_repair_ratio,new_construction_share
1970,77.1000,0.0520,0.0039,0.0750,100.0000,55.0000,55.6000,0.0459,0.0624,0.0312,0.0936,1.8000,1.2000,2.0400,1.3600,,,0.0028,0.0011,2.5714,0.7200
1971,77.3000,0.0580,0.0044,0.0765,120.0000,55.2000,55.7200,0.0492,0.0773,0.0385,0.1158,1.9973,1.3333,2.3559,1.5727,5.0136,3.3656,0.0032,0.0013,2.5211,0.7160
1972,77.5000,0.0640,0.0050,0.0780,160.0000,55.4000,55.8400,0.0529,0.0939,0.0466,0.1404,2.1941,1.4667,2.6528,1.7732,4.9237,3.3120,0.0036,0.0014,2.4722,0.7120
1973,77.7000,0.0730,0.0055,0.0750,210.0000,55.6000,55.9600,0.0571,0.1168,0.0577,0.1745,2.3904,1.6000,3.0567,2.0460,6.2237,4.1887,0.0039,0.0016,2.4247,0.7080
1974,77.9000,0.0820,0.0059,0.0720,200.0000,55.8000,56.0800,0.0616,0.1189,0.0585,0.1774,2.1634,1.4500,2.8816,1.9313,0.4911,0.3557,0.0042,0.0017,2.3784,0.7040
1975,78.1000,0.1050,0.0074,0.0700,210.0000,56.0000,56.2000,0.0674,0.1365,0.0669,0.2034,1.9370,1.3000,3.0187,2.0260,3.5355,2.3946,0.0051,0.0022,2.3333,0.7000
1976,78.1800,0.1250,0.0085,0.0680,220.0000,56.2000,56.2200,0.0742,0.1667,0.0813,0.2480,1.9840,1.3333,3.3428,2.2465,5.2488,3.5490,0.0059,0.0026,2.2258,0.6900
1977,78.2600,0.1460,0.0097,0.0665,240.0000,56.4000,56.2400,0.0820,0.1995,0.0970,0.2965,2.0309,1.3667,3.6140,2.4320,4.9960,3.3852,0.0066,0.0031,2.1250,0.6800
1978,78.3400,0.1670,0.0109,0.0650,270.0000,56.6000,56.2600,0.0908,0.2338,0.1132,0.3470,2.0776,1.4000,3.8191,2.5735,4.6479,3.1568,0.0073,0.0036,2.0303,0.6700
1979,78.4200,0.1990,0.0129,0.0650,340.0000,56.8000,56.2800,0.1015,0.2886,0.1391,0.4276,2.1489,1.4500,4.2126,2.8425,6.2367,4.2327,0.0085,0.0044,1.9412,0.6600
1980,78.5000,0.2310,0.0150,0.0650,370.0000,57.0000,56.3000,0.1140,0.3465,0.1663,0.5128,2.2200,1.5000,4.4988,3.0398,5.6736,3.8595,0.0098,0.0053,1.8571,0.6500
1981,78.4800,0.2535,0.0158,0.0625,380.0000,57.6000,56.3400,0.1270,0.3845,0.1834,0.5679,2.2401,1.5167,4.4720,3.0278,3.4745,2.3968,0.0102,0.0056,1.8249,0.6460
1982,78.4600,0.2760,0.0166,0.0600,380.0000,58.2000,56.3800,0.1404,0.4232,0.2006,0.6238,2.2601,1.5333,4.4440,3.0149,3.3772,2.3385,0.0106,0.0059,1.7933,0.6420
1983,78.4400,0.2970,0.0181,0.0610,420.0000,58.8000,56.4200,0.1550,0.4604,0.2168,0.6772,2.2801,1.5500,4.3695,2.9705,2.9463,2.0506,0.0116,0.0066,1.7624,0.6380
