year,urbanization_rate,gdp_trillion_usd,construction_investment_trillion,ci_gdp_ratio,hpi_1970eq100,tertiary_share_pct,population_million,capital_stock_K,V_residential,V_nonresidential,V_total,V_gdp_ratio,urban_Q,Q_residential,MUQ,MUQ_residential,new_construction_trillion,improvement_trillion,new_improvement_ratio,new_construction_share
1970,73.6000,1.0700,0.1177,0.1100,100.0000,60.0000,205.1000,1.1210,1.1770,0.5885,1.7655,1.6500,1.5750,1.0500,,,0.0965,0.0212,4.5556,0.8200
1971,73.6200,1.1750,0.1322,0.1125,107.5000,60.4000,207.2600,1.2251,1.3160,0.6554,1.9714,1.6778,1.6091,1.0742,1.5574,1.0515,0.1079,0.0243,4.4348,0.8160
1972,73.6400,1.2800,0.1472,0.1150,115.0000,60.8000,209.4200,1.3417,1.4592,0.7238,2.1830,1.7054,1.6270,1.0876,1.4375,0.9728,0.1195,0.0277,4.3191,0.8120
1973,73.6600,1.3900,0.1529,0.1100,127.5000,61.2000,211.5800,1.4610,1.6124,0.7965,2.4089,1.7330,1.6488,1.1036,1.4778,1.0020,0.1235,0.0294,4.2083,0.8080
1974,73.6800,1.5000,0.1575,0.1050,140.0000,61.6000,213.7400,1.5820,1.7700,0.8708,2.6408,1.7606,1.6693,1.1188,1.4725,1.0006,0.1266,0.0309,4.1020,0.8040
1975,73.7000,1.6900,0.1605,0.0950,155.0000,62.0000,215.9000,1.7030,2.0280,0.9937,3.0217,1.7880,1.7743,1.1908,2.3723,1.6070,0.1284,0.0321,4.0000,0.8000
1976,73.7000,1.8800,0.1880,0.1000,168.0000,62.2000,218.1600,1.8484,2.2873,1.1162,3.4036,1.8104,1.8413,1.2374,2.0310,1.3794,0.1496,0.0384,3.9020,0.7960
1977,73.7000,2.1200,0.2226,0.1050,184.0000,62.4000,220.4200,2.0248,2.6147,1.2707,3.8854,1.8327,1.9189,1.2913,2.1646,1.4705,0.1763,0.0463,3.8077,0.7920
1978,73.7000,2.3600,0.2596,0.1100,200.0000,62.6000,222.6800,2.2338,2.9500,1.4278,4.3778,1.8550,1.9598,1.3206,1.8968,1.2917,0.2046,0.0550,3.7170,0.7880
1979,73.7000,2.6100,0.2741,0.1050,210.0000,62.8000,224.9400,2.4520,3.1972,1.5411,4.7383,1.8155,1.9324,1.3039,1.3155,0.9022,0.2149,0.0592,3.6296,0.7840
1980,73.7000,2.8600,0.2860,0.1000,220.0000,63.0000,227.2000,2.6767,3.4320,1.6474,5.0794,1.7760,1.8976,1.2822,1.1924,0.8208,0.2231,0.0629,3.5455,0.7800
1981,73.8000,3.1000,0.2867,0.0925,225.0000,63.4000,229.3400,2.8965,3.5960,1.7153,5.3113,1.7133,1.8337,1.2415,0.8088,0.5719,0.2219,0.0648,3.4248,0.7740
1982,73.9000,3.3400,0.2839,0.0850,230.0000,63.8000,231.4800,3.1080,3.7408,1.7731,5.5139,1.6509,1.7741,1.2036,0.7138,0.5100,0.2180,0.0659,3.3103,0.7680
1983,74.0000,3.6350,0.3181,0.0875,235.0000,64.2000,233.6200,3.3484,4.1075,1.9347,6.0422,1.6622,1.8045,1.2267,1.6609,1.1531,0.2424,0.0757,3.2017,0.7620
