country,n_regions,beta,se,ci_lo,ci_hi,r2,p
Hungary,8,2.2111129154055975,0.7643188041731883,0.713075586519426,3.709150244291769,0.6940039099160326,0.003816788805280039
Czechia,8,1.6961562164862505,0.49604697621703286,0.7239220084608693,2.6683904245116317,0.370524749517946,0.0006277186559883016
Bulgaria,6,1.6810325690623387,0.24393935135944667,1.2029202259857614,2.159144912138916,0.9243947482209727,5.532734168096789e-12
Denmark,5,1.4510186623934338,0.2391333673999952,0.9823258747876585,1.919711449999209,0.9426250914295298,1.29656639650619e-09
Poland,17,1.317879675367613,0.11773008370262075,1.0871329514135903,1.5486263993216356,0.9053843736511853,4.359160145685826e-29
Netherlands,12,1.1613458271869288,0.05193032639790221,1.0595642577416309,1.2631273966322267,0.978029989776475,8.915727204529615e-111
Belgium,11,1.1608081625429503,0.1717877587550422,0.8241103423982121,1.4975059826876884,0.836222977218561,1.4066179303674895e-11
France,22,1.1331523993425177,0.07274331821038117,0.9905781155342339,1.2757266831508014,0.9778568920930479,1.0367297799424004e-54
Greece,13,1.1271548628271426,0.07473251569165376,0.9806818235974268,1.2736279020568584,0.9665766581514827,2.1104852890810602e-51
Germany,38,1.1185478390723291,0.056043647220521416,1.008704308957839,1.2283913691868193,0.9051698911729383,1.2641926345160497e-88
Sweden,8,1.1128713270317099,0.10370285128623345,0.9096174734165791,1.3161251806468406,0.9569956858810102,7.253075758776288e-27
Spain,18,1.0659308483984855,0.03763667184551417,0.9921643270833251,1.1396973697136459,0.9826207086514889,1.8733748660895553e-176
Portugal,7,1.0596136969376535,0.13634548822992254,0.7923814505524756,1.3268459433228315,0.9041625864737679,7.75408123271423e-15
Austria,9,1.056595572959749,0.10330654875331105,0.8541184580361281,1.2590726878833698,0.9523806652420884,1.4890945350446368e-24
Finland,5,0.9761836424431298,0.03283581789017729,0.9118266219754664,1.0405406629107934,0.9911972335977016,3.218273307105598e-194
Italy,21,0.9695131273212512,0.06137206453762184,0.8492260911706445,1.0898001634718577,0.9379855483269953,3.2471203780107313e-56
Romania,8,0.4151164812792256,0.40430994981830015,-0.3773164589558392,1.2075494215142903,0.04554523783726083,0.30454840342359535
