country_code,country_name,income_group,year,urbanization_pct,real_MUQ
AUS,Australia,High income,1961,81.940117,17.651247
AUS,Australia,High income,1963,82.459194,11.418444
AUS,Australia,High income,1964,82.678058,8.154234
AUS,Australia,High income,1965,82.915806,6.047751
AUS,Australia,High income,1966,83.206945,9.482858
AUS,Australia,High income,1967,83.638844,16.001771
AUS,Australia,High income,1968,84.201437,7.609418
AUS,Australia,High income,1969,84.783175,18.713240
AUS,Australia,High income,1970,85.272515,8.068990
AUS,Australia,High income,1976,85.991219,13.581711
AUS,Australia,High income,1979,85.852557,10.570866
AUS,Australia,High income,1981,85.707218,6.070369
AUS,Australia,High income,1982,85.630058,8.402044
AUS,Australia,High income,1983,85.537220,-4.358886
AUS,Australia,High income,1985,85.379954,6.431548
AUS,Australia,High income,1986,85.353241,6.122574
AUS,Australia,High income,1988,85.369744,10.948313
AUS,Australia,High income,1989,85.383604,6.735943
AUS,Australia,High income,1991,85.400001,-2.421809
AUS,Australia,High income,1993,85.366076,6.316010
AUS,Australia,High income,1994,85.330073,8.222453
AUS,Australia,High income,1995,85.286871,5.261199
AUS,Australia,High income,1997,85.195361,14.991730
AUS,Australia,High income,1998,85.155297,5.367895
AUS,Australia,High income,1999,85.124523,8.544551
AUS,Australia,High income,2000,85.107161,5.657151
AUS,Australia,High income,2001,85.148109,-4.447833
AUS,Australia,High income,2002,85.284210,5.801188
AUS,Australia,High income,2003,85.409708,4.909916
AUS,Australia,High income,2004,85.518768,7.348851
AUS,Australia,High income,2005,85.619087,10.614604
AUS,Australia,High income,2006,85.749254,8.336595
AUS,Australia,High income,2008,86.025382,6.930666
AUS,Australia,High income,2012,86.445126,5.503329
AUS,Australia,High income,2013,86.574052,10.418670
AUS,Australia,High income,2018,87.226768,7.296843
AUT,Austria,High income,1971,51.886943,8.358074
AUT,Austria,High income,1972,52.124899,7.331225
AUT,Austria,High income,1977,53.519410,11.435784
AUT,Austria,High income,1979,54.253007,13.427679
AUT,Austria,High income,1980,54.674664,18.476197
AUT,Austria,High income,1985,58.903249,12.846052
AUT,Austria,High income,1987,61.294694,17.936948
AUT,Austria,High income,1988,62.398829,11.410080
AUT,Austria,High income,1989,63.358420,14.855455
AUT,Austria,High income,1990,64.110852,14.619670
AUT,Austria,High income,1991,64.600959,10.360987
AUT,Austria,High income,1994,65.585474,14.738300
AUT,Austria,High income,1998,66.510675,19.274333
AUT,Austria,High income,2000,66.769024,12.298924
AUT,Austria,High income,2003,66.926357,16.663238
AUT,Austria,High income,2007,67.021104,11.291939
AUT,Austria,High income,2008,67.043556,17.534317
AUT,Austria,High income,2011,67.148426,6.642008
AUT,Austria,High income,2016,67.721806,10.827747
AUT,Austria,High income,2017,67.905120,9.961424
AUT,Austria,High income,2018,68.104679,10.321668
AUT,Austria,High income,2019,68.317604,9.541570
BEL,Belgium,High income,1973,71.884044,12.274977
BEL,Belgium,High income,1974,72.295064,7.500573
BEL,Belgium,High income,1976,73.111940,19.637615
BEL,Belgium,High income,1980,74.721424,11.727762
BEL,Belgium,High income,1981,75.117987,-3.041514
BEL,Belgium,High income,1983,75.903240,-4.375889
BEL,Belgium,High income,1985,76.677138,10.991947
BEL,Belgium,High income,1987,77.438648,11.276544
BEL,Belgium,High income,1988,77.814435,4.885148
BEL,Belgium,High income,1989,78.186738,6.715291
BEL,Belgium,High income,1990,78.555428,9.946399
BEL,Belgium,High income,1995,80.340173,15.492812
BEL,Belgium,High income,1997,81.024267,10.521915
BEL,Belgium,High income,1999,81.689783,13.458979
BEL,Belgium,High income,2000,82.015252,13.681073
BEL,Belgium,High income,2004,83.265523,7.684708
BEL,Belgium,High income,2005,83.564545,11.887345
BEL,Belgium,High income,2006,83.857891,18.840374
BEL,Belgium,High income,2007,84.145431,8.594166
BEL,Belgium,High income,2008,84.427037,16.136524
BEL,Belgium,High income,2011,85.234961,9.839183
BEL,Belgium,High income,2014,85.984834,11.548407
BEL,Belgium,High income,2018,86.888345,19.564548
BEL,Belgium,High income,2019,87.096163,13.766900
BHR,Bahrain,High income,1983,82.133006,10.898503
BHR,Bahrain,High income,1985,84.010038,-3.221917
BHR,Bahrain,High income,1987,85.989287,-3.810372
BHR,Bahrain,High income,1991,88.414168,16.199980
BHR,Bahrain,High income,1992,88.437727,15.640895
BHR,Bahrain,High income,1993,88.396339,12.222973
BHR,Bahrain,High income,1998,87.954125,12.225880
BHR,Bahrain,High income,2000,87.835621,4.872290
BHR,Bahrain,High income,2001,87.839715,19.182742
BHR,Bahrain,High income,2002,88.142787,4.887342
BHR,Bahrain,High income,2005,91.168166,9.704650
BHR,Bahrain,High income,2006,92.718608,10.516724
BHR,Bahrain,High income,2007,94.460506,12.478535
BHR,Bahrain,High income,2010,100.000000,18.116726
BHR,Bahrain,High income,2012,100.000000,7.723336
BHR,Bahrain,High income,2016,100.000000,16.393307
BHS,"Bahamas, The",High income,1978,71.483303,11.625398
BHS,"Bahamas, The",High income,1979,72.310489,1.491031
BHS,"Bahamas, The",High income,1980,73.108378,1.700688
BHS,"Bahamas, The",High income,1982,74.853230,3.137977
BHS,"Bahamas, The",High income,1985,77.643536,4.206539
BHS,"Bahamas, The",High income,1987,79.205050,4.989391
BHS,"Bahamas, The",High income,1990,80.401533,-3.946488
BHS,"Bahamas, The",High income,1993,80.645733,-1.627889
BHS,"Bahamas, The",High income,1994,80.698733,2.977374
BHS,"Bahamas, The",High income,1995,80.744823,5.046491
BHS,"Bahamas, The",High income,1996,80.788669,4.035432
BHS,"Bahamas, The",High income,1998,80.888304,6.104300
BHS,"Bahamas, The",High income,2000,81.036116,15.586554
BHS,"Bahamas, The",High income,2005,81.860558,4.365216
BHS,"Bahamas, The",High income,2006,82.039610,4.084555
BHS,"Bahamas, The",High income,2011,82.413035,9.552493
BHS,"Bahamas, The",High income,2012,82.394749,8.192717
BHS,"Bahamas, The",High income,2014,82.318093,10.393552
BHS,"Bahamas, The",High income,2015,82.256857,-2.465384
