country_code,country_name,income_group,year,MUQ_raw,MUQ_ma5,urban_pct
BRA,Brazil,UMI,1960,,,44.6809618118226
BRA,Brazil,UMI,1961,,,45.5029204567696
BRA,Brazil,UMI,1962,,,46.3016845520166
BRA,Brazil,UMI,1963,,,47.0872447116639
BRA,Brazil,UMI,1964,,,47.8711440527209
BRA,Brazil,UMI,1965,,,48.664925692197
BRA,Brazil,UMI,1966,,,49.4801327471016
BRA,Brazil,UMI,1967,,,50.3283083344443
BRA,Brazil,UMI,1968,,,51.2209955712343
BRA,Brazil,UMI,1969,,,52.1697375744812
BRA,Brazil,UMI,1970,,,53.1833074822629
BRA,Brazil,UMI,1971,14.375218684798554,17.283519623268468,54.3280321339847
BRA,Brazil,UMI,1972,17.665121237246442,17.52500293515657,55.6603463643346
BRA,Brazil,UMI,1973,19.810218947760408,17.858206379929207,57.1367059834728
BRA,Brazil,UMI,1974,18.249452870820875,18.728953303711872,58.7085334377884
BRA,Brazil,UMI,1975,19.191020159019768,19.083563992533684,60.3272511736705
BRA,Brazil,UMI,1976,,,61.9442816375084
BRA,Brazil,UMI,1977,,,63.5110472756912
BRA,Brazil,UMI,1978,,,64.9789705346081
BRA,Brazil,UMI,1979,16.301419465694845,,66.2994738606484
BRA,Brazil,UMI,1980,,,67.4180425303102
BRA,Brazil,UMI,1981,,,68.3725962273929
BRA,Brazil,UMI,1982,,,69.2557781933047
BRA,Brazil,UMI,1983,17.26144060133523,,70.0829125735291
BRA,Brazil,UMI,1984,,,70.8607419854387
BRA,Brazil,UMI,1985,,15.196034533627534,71.5960090464063
BRA,Brazil,UMI,1986,16.912732762783346,,72.2954563738046
BRA,Brazil,UMI,1987,11.413930236764026,15.23787267097554,72.9658265850064
BRA,Brazil,UMI,1988,,11.088929424990127,73.6138622973844
BRA,Brazil,UMI,1989,17.386955013379247,10.326024071065678,74.2463061283112
BRA,Brazil,UMI,1990,-1.357900312966109,11.86391343863201,74.8699006951598
BRA,Brazil,UMI,1991,13.86111134708555,11.86391343863201,75.4934501058885
BRA,Brazil,UMI,1992,17.565487707029355,10.022899580382932,76.0910875240585
BRA,Brazil,UMI,1993,,,76.6406402906957
BRA,Brazil,UMI,1994,,,77.1710338911115
BRA,Brazil,UMI,1995,,,77.7144999942454
BRA,Brazil,UMI,1996,,,78.3021415455398
BRA,Brazil,UMI,1997,,,79.0008493879259
BRA,Brazil,UMI,1998,,,79.789068166086
BRA,Brazil,UMI,1999,,,80.5466061325216
BRA,Brazil,UMI,2000,17.13521994910527,,81.1484365423806
BRA,Brazil,UMI,2001,,,81.5960450621957
BRA,Brazil,UMI,2002,,,81.9943491502673
BRA,Brazil,UMI,2003,,,82.3540335841671
BRA,Brazil,UMI,2004,,,82.6816824814559
BRA,Brazil,UMI,2005,,,82.9838799596945
BRA,Brazil,UMI,2006,,,83.2672101364439
BRA,Brazil,UMI,2007,,,83.5382571292649
BRA,Brazil,UMI,2008,,,83.8036050557184
BRA,Brazil,UMI,2009,,,84.0698380333651
BRA,Brazil,UMI,2010,,,84.343846036308
BRA,Brazil,UMI,2011,,,84.6225758599683
BRA,Brazil,UMI,2012,,,84.8973874181312
BRA,Brazil,UMI,2013,,,85.1676585442726
BRA,Brazil,UMI,2014,,,85.4331367898168
BRA,Brazil,UMI,2015,,,85.6935697061881
BRA,Brazil,UMI,2016,,,85.9487048448108
BRA,Brazil,UMI,2017,,,86.1982897571091
BRA,Brazil,UMI,2018,,,86.4420719945072
BRA,Brazil,UMI,2019,,,86.6797991084296
BRA,Brazil,UMI,2020,,,86.9112186503004
BRA,Brazil,UMI,2021,,,87.1360781715439
BRA,Brazil,UMI,2022,,,87.349556243881
BRA,Brazil,UMI,2023,,,87.6159710235763
CHN,China,UMI,1960,,,19.7456455230713
CHN,China,UMI,1961,-3.9749751676109226,-1.5764648902754077,19.2942504882812
CHN,China,UMI,1962,1.5134568987942034,-0.5145775453896814,17.3249530792236
CHN,China,UMI,1963,-2.267876402009504,1.1309914487423327,16.8362922668457
CHN,China,UMI,1964,2.6710844892674976,3.5276817468547366,18.2999991337848
CHN,China,UMI,1965,7.713267425270389,2.408626598130833,17.983678817749
CHN,China,UMI,1966,8.008476322951095,3.577752348165917,17.8597278594971
CHN,China,UMI,1967,-4.081818844825313,2.976165923047169,17.7404155731201
CHN,China,UMI,1968,,1.9403816635478017,17.6203937530518
CHN,China,UMI,1969,0.2647387887925062,3.499196628669668,17.4994716644287
CHN,China,UMI,1970,3.57013038727292,6.026201786501328,17.3799896240234
CHN,China,UMI,1971,14.24373618343856,9.113089174085431,17.2605571746826
CHN,China,UMI,1972,,12.222390656314122,17.1318130493164
CHN,China,UMI,1973,18.37375133683774,13.76291203973247,17.2007942199707
CHN,China,UMI,1974,12.701944717707272,13.602637325163771,17.1639575958252
CHN,China,UMI,1975,9.732215920946311,13.602637325163771,17.3447303771973
CHN,China,UMI,1976,,,17.4365386962891
CHN,China,UMI,1977,,,17.551118850708
CHN,China,UMI,1978,,,17.9152069091797
CHN,China,UMI,1979,,,18.9610633850098
CHN,China,UMI,1980,16.750421245285178,,19.3911151885986
CHN,China,UMI,1981,,12.633151539734385,20.1564884185791
CHN,China,UMI,1982,7.449596719000382,11.010783763955933,20.565502166748
CHN,China,UMI,1983,13.699436654917594,9.285384715242715,21.6235637664795
CHN,China,UMI,1984,6.143680436620584,9.285384715242715,23.0142688751221
CHN,China,UMI,1985,9.848825050432303,11.178659767774565,23.7069091796875
CHN,China,UMI,1986,,10.514165996655365,24.5249156951904
CHN,China,UMI,1987,15.02269692912778,11.970994516666957,25.3193054199219
CHN,China,UMI,1988,11.041461570440791,,25.8146724700928
CHN,China,UMI,1989,,9.998681638658203,26.2102489471436
CHN,China,UMI,1990,,6.072442715071367,26.1957015991211
CHN,China,UMI,1991,3.93188641640604,2.7763812908149035,26.9402465820312
CHN,China,UMI,1992,3.243980158367274,5.825886450100644,27.4598693847656
CHN,China,UMI,1993,1.1532772976714,7.735543812741132,27.9900760650635
CHN,China,UMI,1994,14.974401927957867,9.986588023665504,28.5098037719727
CHN,China,UMI,1995,15.37417326330308,12.843753527969596,29.0403804779053
CHN,China,UMI,1996,15.1871074710279,14.648447468488035,30.4798641204834
CHN,China,UMI,1997,17.529807679887732,14.566958853620577,31.9099540710449
CHN,China,UMI,1998,10.176747000263596,14.485312916748164,33.3501663208008
CHN,China,UMI,1999,,13.881786051151884,34.7797050476074
CHN,China,UMI,2000,15.04758951581343,12.082027524789902,36.4320234662299
CHN,China,UMI,2001,12.773000008642784,11.661989090359118,37.6597442626953
CHN,China,UMI,2002,10.330773574439798,11.575364573737106,39.0897827148438
CHN,China,UMI,2003,8.496593262540456,11.12308283089249,40.5302314758301
CHN,China,UMI,2004,11.22886650724906,11.24497096564122,41.7600135803223
CHN,China,UMI,2005,12.78618080159035,11.702501996885884,42.9899978637695
CHN,China,UMI,2006,13.382440682386449,12.405468743676558,44.3430099487305
CHN,China,UMI,2007,12.61842873066311,11.771677287875926,45.8892440795898
CHN,China,UMI,2008,12.011426996493816,11.8737546814248,46.9895057678223
CHN,China,UMI,2009,8.059909228245903,11.934142306747194,48.3417053222656
CHN,China,UMI,2010,13.296567769334716,12.488101723861075,49.2340270628041
CHN,China,UMI,2011,13.684378808998426,13.324315000897496,51.8300285339355
CHN,China,UMI,2012,15.388225816232504,14.640416444060396,53.1003112792969
CHN,China,UMI,2013,16.19249338167594,15.088366002302287,54.4900016784668
CHN,China,UMI,2014,,,55.7502555847168
CHN,China,UMI,2015,,,57.3297843933105
CHN,China,UMI,2016,,,58.8399238586426
CHN,China,UMI,2017,18.450195334373195,,60.2402687072754
CHN,China,UMI,2018,15.982470459829594,,61.5001983642578
CHN,China,UMI,2019,,,62.7099151611328
CHN,China,UMI,2020,,,63.5234230266258
CHN,China,UMI,2021,,,64.721076965332
CHN,China,UMI,2022,,,65.2176361083984
CHN,China,UMI,2023,,,65.5301448035523
IDN,Indonesia,UMI,1960,,,14.6076543358271
IDN,Indonesia,UMI,1961,,,14.8315031668716
IDN,Indonesia,UMI,1962,,,15.0556141743538
IDN,Indonesia,UMI,1963,,,15.2663218061679
IDN,Indonesia,UMI,1964,,,15.4668037669967
IDN,Indonesia,UMI,1965,,,15.663223950935
IDN,Indonesia,UMI,1966,,,15.8617462520776
IDN,Indonesia,UMI,1967,,,16.0685345645194
IDN,Indonesia,UMI,1968,,,16.2897527823552
IDN,Indonesia,UMI,1969,,,16.5315647996801
