income_group,year,CPR_median,CPR_ci_lo,CPR_ci_hi,n_countries
Low income,1970,0.7290205224278573,-3.5186247640709367,4.976665808926652,3
Low income,1971,0.7534628820383737,-3.277981175819643,4.78490693989639,3
Low income,1972,0.8728661338488296,-3.3293455299459107,5.07507779764357,3
Low income,1973,1.0190492507030413,-3.838142756506378,5.8762412579124605,3
Low income,1974,1.0868633439419877,-4.053219254174485,6.226945942058461,3
Low income,1975,1.9031746076985776,-3.3509251414525023,7.1572743568496575,3
Low income,1976,1.2605625343197175,-2.3921510208780137,4.913276089517449,4
Low income,1977,1.7516044980434746,-1.5338562678588266,5.037065263945776,5
Low income,1978,1.7278350286920094,-1.8810113684401952,5.336681425824214,5
Low income,1979,1.6849734584873857,-2.1260643167536233,5.496011233728394,7
Low income,1980,1.500659204566272,-0.9999462967789703,4.001264705911515,10
Low income,1981,1.5767450652950037,-0.3725555482340297,3.526045678824037,11
Low income,1982,1.3835109629702305,-0.2450082135444982,3.012030139484959,12
Low income,1983,1.314903825930495,-0.17350773217100168,2.8033153840319915,12
Low income,1984,1.590512138694287,0.30995069727188707,2.871073580116687,12
Low income,1985,1.727356709036695,-0.8276256963634494,4.282339114436839,13
Low income,1986,2.172633007051635,0.127851748244586,4.217414265858684,14
Low income,1987,1.998495104104276,0.06280575781465392,3.9341844503938983,14
Low income,1988,2.0042128869285447,0.21373805953206326,3.7946877143250264,14
Low income,1989,2.335993664811264,0.8276648418747368,3.8443224877477915,14
Low income,1990,2.287730220910728,0.6942336140127079,3.8812268278087485,15
Low income,1991,2.256002898012103,0.8248978094121551,3.687107986612051,15
Low income,1992,2.304925362278229,0.8486653091238845,3.761185415432574,15
Low income,1993,1.9836917791266289,0.737029921537661,3.2303536367155967,15
Low income,1994,1.5792337904598548,0.8315472222546637,2.326920358665046,15
Low income,1995,1.8090111462136784,0.9155767154614148,2.702445576965942,15
Low income,1996,2.01712359052224,1.187733160926247,2.8465140201182333,15
Low income,1997,1.7173186097780782,1.0010532638566212,2.433583955699535,15
Low income,1998,1.8281325513719744,1.122381464521479,2.53388363822247,15
Low income,1999,1.8020217564944965,1.1059644426603361,2.498079070328657,15
Low income,2000,1.6500381782738718,0.987418450696559,2.3126579058511845,15
Low income,2001,1.7231648528937806,1.1062005455750894,2.340129160212472,15
Low income,2002,1.7934247542348267,1.1543390055190472,2.4325105029506062,15
Low income,2003,1.8160653309650472,1.0283262163785873,2.603804445551507,15
Low income,2004,1.8957157243032747,1.0448214005920864,2.746610048014463,15
Low income,2005,2.169623076076603,1.3021102948097103,3.0371358573434954,15
Low income,2006,2.1833761080356684,1.3036312784380129,3.063120937633324,15
Low income,2007,2.384104659769279,1.439929734725094,3.328279584813464,15
Low income,2008,2.657302801352543,1.6330518589437228,3.6815537437613632,15
Low income,2009,2.4427344831214497,1.5318223768269141,3.3536465894159853,15
Low income,2010,2.470039107534,1.6463554349000211,3.2937227801679785,15
Low income,2011,2.7145476032281177,1.8768305051947103,3.5522647012615254,15
Low income,2012,2.5673981396312415,1.7943877993975463,3.3404084798649367,15
Low income,2013,2.440343017162831,1.6337569129511444,3.2469291213745177,15
Low income,2014,2.5124409327641883,1.6799306410755315,3.344951224452845,15
Low income,2015,2.3616791770039107,0.5424536243954303,4.180904729612391,16
Low income,2016,2.2261543526645062,0.9513656964342982,3.500943008894714,16
Low income,2017,2.2787915020038274,1.1042722983608266,3.453310705646828,16
Low income,2018,2.255534695349882,1.2167400516355422,3.294329339064222,16
Low income,2019,2.294998785194677,1.342038536906692,3.247959033482662,16
Lower middle income,1960,1.9787041861383905,-1.6845668616079994,5.64197523388478,7
Lower middle income,1961,1.7210192086206573,-1.1447703104690579,4.586808727710372,8
Lower middle income,1962,1.6687425925472867,-0.9289930639344526,4.266478249029026,8
Lower middle income,1963,1.6634366877124553,-0.8235120881820097,4.15038546360692,8
Lower middle income,1964,1.8084802838561973,-0.9674457361596158,4.584406303872011,9
Lower middle income,1965,1.7540767665208674,-0.5198380515433836,4.027991584585118,11
Lower middle income,1966,1.8195774165509,-0.39290729311042827,4.032062126212228,12
Lower middle income,1967,2.013588813205085,-0.7567940154007524,4.783971641810922,13
Lower middle income,1968,2.1055970093284735,-0.6140997770460075,4.8252937957029545,13
Lower middle income,1969,2.078831538410201,-0.640761395299561,4.798424472119963,13
Lower middle income,1970,2.043507971874696,-0.45421700154441247,4.541232945293804,13
Lower middle income,1971,2.200477933773289,-0.16955080642230325,4.5705066739688816,13
Lower middle income,1972,3.7395963683740847,1.4208906851919023,6.058302051556267,14
Lower middle income,1973,3.1272964631213753,1.0504539690042756,5.2041389572384755,13
Lower middle income,1974,4.423621724603413,2.2301649970476545,6.617078452159171,15
Lower middle income,1975,4.243997113637651,2.1346199295403543,6.3533742977349466,17
Lower middle income,1976,4.152157420400939,2.2934569696704483,6.01085787113143,17
Lower middle income,1977,4.22310627994531,3.0040213937033733,5.442191166187246,16
Lower middle income,1978,4.034047414219138,2.793563432589213,5.274531395849063,16
Lower middle income,1979,4.335920797525162,3.0953423093302317,5.576499285720093,16
Lower middle income,1980,4.3812429966907285,3.2923919604915324,5.470094032889925,19
Lower middle income,1981,4.0029661051502154,3.0313211071423085,4.974611103158122,19
Lower middle income,1982,3.6277658388933887,2.7526357854231076,4.50289589236367,20
Lower middle income,1983,3.3073942395452613,2.478501218601342,4.136287260489181,20
Lower middle income,1984,3.1863581880657765,2.4057828260813694,3.9669335500501837,21
Lower middle income,1985,3.1127597462028413,2.394475739177817,3.8310437532278656,21
Lower middle income,1986,3.2887891999304224,2.588950529059221,3.988627870801624,21
Lower middle income,1987,3.4601863281107565,2.845180178388226,4.075192477833287,21
Lower middle income,1988,3.531198742238937,2.3509726968783324,4.711424787599541,22
Lower middle income,1989,3.81093618658633,2.368978319817967,5.252894053354693,23
Lower middle income,1990,3.505698493429408,2.417026417019478,4.594370569839338,24
Lower middle income,1991,3.795806180650516,2.810760501677847,4.780851859623185,25
Lower middle income,1992,3.3802580387696044,2.447257622559088,4.3132584549801205,26
Lower middle income,1993,3.46935526246646,2.6553354491916146,4.283375075741305,27
Lower middle income,1994,3.067731701011862,2.3134011722871186,3.8220622297366056,28
Lower middle income,1995,3.2421569322836885,2.4869316725828954,3.9973821919844816,29
Lower middle income,1996,3.1678509703132276,2.408379339528781,3.927322601097674,29
Lower middle income,1997,3.002737318437132,2.1945827401593583,3.8108918967149057,29
Lower middle income,1998,2.9834021294803614,2.3124547287742505,3.6543495301864724,29
Lower middle income,1999,2.873792021754016,2.2432491260198266,3.504334917488205,29
Lower middle income,2000,2.6094682229732653,1.9930014928315396,3.225934953114991,31
Lower middle income,2001,2.544704769583337,1.9557712675209094,3.1336382716457645,31
Lower middle income,2002,2.635578009033067,2.087381017046491,3.183775001019643,31
Lower middle income,2003,3.1093087642618062,2.5640461369208034,3.654571391602809,31
Lower middle income,2004,3.1883794512091614,2.588930131444,3.787828770974323,31
Lower middle income,2005,3.328214137875903,2.617771474182124,4.038656801569682,31
Lower middle income,2006,3.47464272836684,2.6860373684154717,4.263248088318209,32
Lower middle income,2007,3.6694251885035394,2.7538304125609,4.585019964446179,32
Lower middle income,2008,4.052311079663971,3.5066670515851723,4.597955107742769,31
Lower middle income,2009,3.7972200415015847,3.0299618264183508,4.5644782565848185,32
Lower middle income,2010,3.927763024877715,3.1084567617343453,4.747069288021085,32
Lower middle income,2011,4.040616920223281,3.1475688608957104,4.933664979550851,32
Lower middle income,2012,4.072091300288738,3.1762629467745827,4.967919653802894,32
Lower middle income,2013,3.9677614487814017,3.0773415749316113,4.858181322631192,32
Lower middle income,2014,3.9102082220498486,3.249089839850856,4.571326604248841,32
Lower middle income,2015,3.574591354889395,3.0617312794413096,4.087451430337481,32
Lower middle income,2016,3.46664748245227,2.953842480713466,3.9794524841910746,32
Lower middle income,2017,3.5393883353068643,2.9512700510502574,4.127506619563471,32
