year,Q_weighted,Q_mc_median,Q_mc_mean,Q_mc_p05,Q_mc_p25,Q_mc_p75,Q_mc_p95
1998,2.1063,2.0867,2.1049,1.6426,1.8917,2.297,2.6417
1999,1.8694,1.849,1.8671,1.4617,1.6797,2.0342,2.3463
2000,1.7334,1.7154,1.7317,1.3564,1.5568,1.8851,2.1685
2001,1.5902,1.575,1.5891,1.2467,1.4301,1.7268,1.9815
2002,1.4727,1.4596,1.4714,1.1589,1.3281,1.5993,1.8316
2003,1.3787,1.3662,1.3772,1.0894,1.2448,1.4952,1.7096
2004,1.3835,1.3715,1.382,1.0886,1.2468,1.5047,1.7184
2005,1.4077,1.393,1.4065,1.1214,1.2694,1.5279,1.7377
2006,1.3531,1.3403,1.3518,1.0916,1.2274,1.4635,1.6504
2007,1.3943,1.3814,1.3934,1.1287,1.2691,1.5063,1.7001
2008,1.244,1.2328,1.2428,1.0213,1.1373,1.3381,1.5021
2009,1.3032,1.2909,1.302,1.0542,1.1853,1.4064,1.5896
2010,1.2409,1.2312,1.24,1.0102,1.1327,1.3357,1.5021
2011,1.1843,1.1751,1.1833,0.9743,1.0862,1.2718,1.4196
2012,1.1512,1.1417,1.1504,0.947,1.0569,1.2362,1.3761
2013,1.1151,1.107,1.1138,0.9204,1.0255,1.1961,1.3284
2014,1.0348,1.0275,1.0339,0.8585,0.9541,1.1066,1.2271
2015,1.0205,1.0142,1.0196,0.8446,0.9403,1.0931,1.2119
2016,1.019,1.0122,1.018,0.8399,0.9376,1.0921,1.2123
2017,0.9958,0.9888,0.995,0.8208,0.916,1.0682,1.1851
2018,1.0063,0.9999,1.0054,0.8228,0.9244,1.0817,1.2013
2019,0.9899,0.9841,0.9893,0.811,0.9101,1.0654,1.1813
2020,0.9673,0.9613,0.9664,0.7926,0.8894,1.0396,1.1515
2021,0.9363,0.9312,0.9356,0.7653,0.8602,1.006,1.1141
2022,0.8716,0.8667,0.8709,0.7163,0.8011,0.9352,1.0363
2023,0.8297,0.8253,0.8287,0.6809,0.7628,0.8906,0.9868
2024,0.7848,0.7806,0.784,0.6435,0.7197,0.843,0.9362
