year,MUQ,delta_V,delta_K
1999,0.7198952697606157,8088.076700000005,11235.074099999998
2000,0.7086343049597187,9144.020000000004,12903.721900000004
2001,0.6404035053685638,9840.510899999994,15366.1103
2002,0.62716748786869,11672.0429,18610.727
2003,0.6093942148196638,14042.274000000005,23043.005099999995
2004,0.6374321307639033,17171.156299999988,26938.015
2005,0.6771618646944956,21342.838100000023,31518.074499999988
2006,0.6378440258722737,23924.784599999984,37508.83230000001
2007,0.7044458966906856,32854.770099999994,46639.167400000006
2008,0.5375501239879101,32512.5325,60482.79229999997
2009,0.4782735013453646,39149.225000000006,81855.30850000004
2010,0.5487497710970557,50950.78480000002,92848.8493
2011,0.5688882884126399,65734.06539999996,115548.28379999998
2012,0.5344741654414314,72894.70550000004,136385.83530000004
2013,0.5007983333990041,80278.60399999993,160301.26029999997
2014,0.40562185863353895,70408.82480000006,173582.42240000004
2015,0.4079808713534788,73945.49249999993,181247.44980000006
2016,0.33737995988409014,65778.60850000009,194968.92619999987
2017,0.3531780140770326,73929.29099999997,209325.8585000001
2018,0.29900776397936907,66698.19160000002,223065.0826999999
2019,0.31849757182962446,77074.22439999995,241993.13030000008
2020,0.29210439241294517,72777.61550000007,249149.33630000008
2021,0.2640684211922596,68456.53139999998,259237.8561999998
2022,0.19961818751443158,49400.6547999999,247475.72060000012
2023,0.20441637092901477,45593.936800000025,223044.44889999973
2024,0.16983083352006065,36718.97430000012,216209.1155000003
