income_group,urban_stage,MUQ_real_median,Q25,Q75,n
Low income,S1: <30%,4.709399929616492,0.8197165062824865,9.810938560949573,258
Low income,S2: 30-50%,2.331795134863801,-0.2216518486946531,8.313066769126555,173
Low income,S3: 50-70%,3.7550451485944674,0.3753713230137954,5.603607162443339,12
Low income,S4: >70%,,,,0
Lower middle income,S1: <30%,9.878550233279087,2.5998981417173925,14.495313770295848,142
Lower middle income,S2: 30-50%,7.163475588696918,2.1373912267770674,11.50797106833229,301
Lower middle income,S3: 50-70%,8.188436568275586,2.23526013699666,14.619638715811258,129
Lower middle income,S4: >70%,1.1489381627825366,-0.32661211034328197,3.964675049190927,64
Upper middle income,S1: <30%,9.085150390506492,4.790385746116642,12.68317714293592,95
Upper middle income,S2: 30-50%,8.88650770748333,4.727742696211481,13.101339191482161,247
Upper middle income,S3: 50-70%,7.836474570125079,1.9224611577053516,13.065862221293905,379
Upper middle income,S4: >70%,7.477124343037196,2.629334460046775,12.126399342636816,198
High income,S1: <30%,1.1108408870758266,1.1108408870758266,1.1108408870758266,2
High income,S2: 30-50%,6.0114909986782035,3.579233684704548,12.51490816905425,85
High income,S3: 50-70%,8.020797554736404,4.067819610927405,12.633961104952661,408
High income,S4: >70%,8.144142456928442,4.861941690231066,12.011159592163898,836
