year,muq_weighted,country
1991,0.15668505352393122,Australia
1992,-0.004755704159438197,Australia
1993,-0.1592229166631864,Australia
1994,0.12483935590306164,Australia
1995,0.4648100144496908,Australia
1996,0.31819501670146505,Australia
1997,0.30125802145963826,Australia
1998,-0.3782800633962382,Australia
1999,-0.09602293659976016,Australia
2000,0.0855230598339981,Australia
2001,-0.37788383854604296,Australia
2002,0.16569687785625956,Australia
2003,0.6420763727409207,Australia
2004,1.0056476516823192,Australia
2005,0.48504160164605764,Australia
2006,0.2932314829972439,Australia
2007,0.5366480667530537,Australia
2008,0.7991403698742606,Australia
2009,-0.5554866940753137,Australia
2010,0.753602453231352,Australia
2011,0.7281348244463269,Australia
2012,0.3994926913588036,Australia
2013,0.08298649274327406,Australia
2014,-0.3153624988670772,Australia
2015,-0.36689010004732164,Australia
2016,-0.48560580494949884,Australia
2017,0.3510796858857943,Australia
2018,0.2785826096910922,Australia
2019,-0.09579614928548401,Australia
2020,-0.1726507079226507,Australia
2021,0.5143938613202231,Australia
2022,0.28253646617529077,Australia
2023,0.07858216318278452,Australia
2001,0.12739263145140267,Austria
2002,0.10749335610178731,Austria
2003,0.09777967333020275,Austria
2004,0.17488723670246586,Austria
2005,0.2014566231726849,Austria
2006,0.2236671359683232,Austria
2007,0.2492069540982977,Austria
2008,0.14037428387257855,Austria
2009,-0.08593469038485926,Austria
2010,0.12097314965142628,Austria
2011,0.20176229367993753,Austria
2012,0.11587475942445015,Austria
2013,0.061465243772264984,Austria
2014,0.1176891832022871,Austria
2015,0.15285628291037529,Austria
2016,0.16371471325919146,Austria
2017,0.1327897752448194,Austria
2018,0.1710635313187994,Austria
2019,0.12566399045648868,Austria
2020,-0.16098847121805918,Austria
2021,0.2466110307718583,Austria
2022,0.380877225856176,Austria
2023,0.24120442125170452,Austria
2004,0.24570372518167416,Belgium
2005,0.192674059371568,Belgium
2006,0.20820494872227907,Belgium
2007,0.23072919941026201,Belgium
2008,0.09576619451692932,Belgium
2009,-0.0510472276261658,Belgium
2010,0.19460025314762658,Belgium
2011,0.17960716482788266,Belgium
2012,0.10378819975516636,Belgium
2013,0.07641969551490764,Belgium
2014,0.11180999592000171,Belgium
2015,0.10996992889165162,Belgium
2016,0.12829708250185823,Belgium
2017,0.14335298737104762,Belgium
2018,0.14723513993022333,Belgium
2019,0.1717501016466385,Belgium
2020,-0.1408074692139042,Belgium
2021,0.34947498457685267,Belgium
2022,0.4113534452470418,Belgium
2023,0.2821113285691023,Belgium
2001,0.47816790587962354,Bulgaria
2002,0.47424066410750926,Bulgaria
2003,0.3545499857190201,Bulgaria
2004,0.5192988394901996,Bulgaria
2005,0.47759924899837586,Bulgaria
2006,0.44805824324835175,Bulgaria
2007,0.5503934467213967,Bulgaria
2008,0.3892883692522999,Bulgaria
2009,0.016448543352040497,Bulgaria
2010,0.10270860666711032,Bulgaria
2011,0.36902072457266555,Bulgaria
2012,0.08687533828802453,Bulgaria
2013,-0.022347386741618114,Bulgaria
2014,0.10688504969936083,Bulgaria
2015,0.2902793205412934,Bulgaria
2016,0.32915347980813026,Bulgaria
2017,0.3901868752766425,Bulgaria
2018,0.33179985814170876,Bulgaria
2019,0.4534955106925221,Bulgaria
2020,0.056264415962016125,Bulgaria
2021,0.8168105680106035,Bulgaria
2022,1.0066488372386937,Bulgaria
2023,0.4771433455276746,Bulgaria
1991,0.8830132906744413,China
1992,1.6644210869523441,China
1993,1.5917173743985775,China
1994,1.500854547024557,China
1995,1.3393123519437238,China
1996,1.084830507700321,China
1997,0.6847237919804847,China
1998,0.4044425776337163,China
1999,0.29040277359091016,China
2000,0.4689700362425096,China
2001,0.4008150061989458,China
2002,0.3894206251508659,China
2003,0.3710354111716803,China
2004,0.4289585577128473,China
2005,0.38279047731941296,China
2006,0.34034713717111587,China
2007,0.36915231630870965,China
2008,0.353751378239485,China
2009,0.18722257856045516,China
2010,0.2967042079785911,China
2011,0.32328582750594836,China
2012,0.18492128825475576,China
2013,0.1562272236620006,China
2014,0.1261778721618226,China
2015,0.09491508284372185,China
2016,0.11145600518334409,China
2017,0.14771627332858794,China
2018,0.11399402190493307,China
2019,0.11627115618142597,China
2020,0.04812338157044494,China
2021,0.1865515982553268,China
2022,0.08814484278261996,China
2023,0.07244958983158058,China
2001,0.43546293587259016,Croatia
2002,0.4438062891496176,Croatia
2003,0.28444341944840945,Croatia
2004,0.32410807369057554,Croatia
2005,0.3268776955299138,Croatia
2006,0.3543936918221744,Croatia
2007,0.3229748887818675,Croatia
2008,0.30560239679622464,Croatia
2009,-0.23711237358096277,Croatia
2010,0.012792292483250537,Croatia
2011,-0.0247929216456514,Croatia
2012,-0.10341489134107272,Croatia
2013,-0.007938980491521705,Croatia
2014,-0.062318836809300185,Croatia
2015,0.13897774825816633,Croatia
2016,0.22418866008638622,Croatia
2017,0.2691058600452968,Croatia
2018,0.26721376206493425,Croatia
2019,0.22362264860899317,Croatia
2020,-0.4294661870742657,Croatia
2021,0.6272515456953573,Croatia
2022,0.6294510380592425,Croatia
2023,0.5907912094551903,Croatia
2001,0.3616991762515885,Cyprus
2002,0.18964931615764002,Cyprus
2003,0.3019338059312371,Cyprus
2004,0.3706736936175326,Cyprus
2005,0.34017704389555664,Cyprus
2006,0.30023517730757,Cyprus
2007,0.2953130563415097,Cyprus
2008,0.2745121261627168,Cyprus
2009,-0.0763215125244947,Cyprus
2010,0.180286161159059,Cyprus
2011,0.1052982917355146,Cyprus
2012,-0.12032841656228661,Cyprus
2013,-0.5728435203161502,Cyprus
2014,-0.2397063282855444,Cyprus
2015,0.2003453561361157,Cyprus
2016,0.3119415652140169,Cyprus
2017,0.3074443728358661,Cyprus
2018,0.3690379362872819,Cyprus
2019,0.3643615034519391,Cyprus
2020,-0.22053400578740778,Cyprus
2021,0.6699678119064908,Cyprus
2022,0.6568251953634321,Cyprus
2023,0.3917048956788675,Cyprus
2001,0.3672898194988108,Czechia
2002,0.4506647258469859,Czechia
2003,0.04494342360730894,Czechia
2004,0.2839394468850421,Czechia
2005,0.4316621250220317,Czechia
2006,0.40326046261266435,Czechia
2007,0.3479706715300419,Czechia
2008,0.490646313576099,Czechia
2009,-0.31052728955469594,Czechia
2010,0.24236419558559938,Czechia
2011,0.1619546025065708,Czechia
2012,-0.06704771347298664,Czechia
2013,-0.0827382971570205,Czechia
2014,-0.03758610518575149,Czechia
2015,0.26346106147997994,Czechia
2016,0.19790493309774682,Czechia
2017,0.3768743139757915,Czechia
2018,0.31607281006201343,Czechia
2019,0.268953302290597,Czechia
2020,-0.1616865613866583,Czechia
2021,0.3981900549497429,Czechia
2022,0.5155529434598707,Czechia
2023,0.3602808395633933,Czechia
2001,0.15968721931682778,Denmark
2002,0.14859882699241792,Denmark
2003,0.09192233092390492,Denmark
2004,0.2212458726015669,Denmark
2005,0.2316587355827469,Denmark
2006,0.23864317283417422,Denmark
2007,0.14605119142054088,Denmark
2008,0.1573280651609145,Denmark
2009,-0.16040484083482764,Denmark
2010,0.2547777041872087,Denmark
2011,0.10383247295451546,Denmark
2012,0.12960317108503114,Denmark
2013,0.11449613019528998,Denmark
2014,0.12746391674890672,Denmark
2015,0.15781635301252864,Denmark
2016,0.1700423677605362,Denmark
2017,0.19346131012230114,Denmark
2018,0.10169830701601844,Denmark
2019,0.11690811195853323,Denmark
2020,0.0692730728404666,Denmark
2021,0.3916126375473479,Denmark
2022,0.423898760854068,Denmark
2023,-0.05545178824284932,Denmark
2001,0.4228704689886293,Estonia
2002,0.3525053892680933,Estonia
2003,0.3218040977625537,Estonia
2004,0.333029473384296,Estonia
2005,0.4200490693011132,Estonia
2006,0.4457319296710497,Estonia
2007,0.4742965205133885,Estonia
2008,0.0418997109558045,Estonia
2009,-0.6985776533674816,Estonia
2010,0.1946322948211717,Estonia
2011,0.4532859130493243,Estonia
2012,0.2614167254713987,Estonia
2013,0.2040628835518808,Estonia
2014,0.2329592990160051,Estonia
2015,0.1276941123318675,Estonia
2016,0.2217301394013749,Estonia
2017,0.3443536420099576,Estonia
2018,0.3020579190234266,Estonia
2019,0.2683567417661181,Estonia
2020,-0.0705530682825305,Estonia
2021,0.3811086894617704,Estonia
2022,0.5307450183602597,Estonia
2023,0.210617659506772,Estonia
2001,0.24867005198887648,Finland
2002,0.11931038782890621,Finland
2003,0.10007613697117002,Finland
2004,0.19886236253879308,Finland
2005,0.1569830167183321,Finland
2006,0.20821663890644243,Finland
2007,0.3136780593420677,Finland
2008,0.15118824728035787,Finland
2009,-0.30004744274199385,Finland
2010,0.1493348394158888,Finland
2011,0.20998233215547707,Finland
2012,0.058286096667373215,Finland
2013,0.06888229552496522,Finland
2014,0.052745556750837023,Finland
2015,0.09632898282353253,Finland
2016,0.11110420688545695,Finland
2017,0.16886758467872853,Finland
2018,0.12622534322234485,Finland
2019,0.11353162816325574,Finland
2020,-0.036562351419751365,Finland
2021,0.20373694654254118,Finland
2022,0.26464031078610584,Finland
2023,0.10781789102082252,Finland
2001,0.17405233031854525,France
2002,0.1485882772071436,France
2003,0.1301164098089063,France
2004,0.20763286384391363,France
2005,0.17408255620238747,France
2006,0.2058421470058078,France
2007,0.2099802655454962,France
2008,0.11452665547678303,France
2009,-0.13009422454334946,France
2010,0.1408083536872623,France
2011,0.1471419700433482,France
