Panel,Income_Group,Urbanisation_Stage,N,MUQ_Median,MUQ_CPR_Median,Spearman_rho,p_value
A_Housing,Low income,S1 (<30%),258,4.709,2.39,,
A_Housing,Low income,S2 (30-50%),173,2.332,1.18,,
A_Housing,Low income,S3 (50-70%),12,3.755,0.87,,
A_Housing,Low income,S4 (>70%),0,NA,NA,,
A_Housing,Low income,All,443,,,-0.150,0.002
A_Housing,Lower middle income,S1 (<30%),142,9.879,2.50,,
A_Housing,Lower middle income,S2 (30-50%),301,7.163,2.07,,
A_Housing,Lower middle income,S3 (50-70%),129,8.188,2.09,,
A_Housing,Lower middle income,S4 (>70%),64,1.149,1.54,,
A_Housing,Lower middle income,All,636,,,-0.122,0.002
A_Housing,Upper middle income,S1 (<30%),95,9.085,2.44,,
A_Housing,Upper middle income,S2 (30-50%),247,8.887,2.43,,
A_Housing,Upper middle income,S3 (50-70%),379,7.836,2.26,,
A_Housing,Upper middle income,S4 (>70%),198,7.477,2.23,,
A_Housing,Upper middle income,All,919,,,-0.099,0.003
A_Housing,High income,S1 (<30%),2,1.111,0.45,,
A_Housing,High income,S2 (30-50%),85,6.011,2.51,,
A_Housing,High income,S3 (50-70%),408,8.021,2.44,,
A_Housing,High income,S4 (>70%),836,8.144,3.67,,
A_Housing,High income,All,1331,,,-0.013,0.633
B_GDP,Income_Group,Method,N,Spearman_rho,p_value,,
B_GDP,Low income,WDI,1284,-0.1160,0.0000,,
B_GDP,Lower middle income,WDI,1681,-0.1306,0.0000,,
B_GDP,Upper middle income,WDI,1834,-0.2475,0.0000,,
B_GDP,High income,WDI,2494,-0.0351,0.0795,,
B_GDP,Pooled,WDI,7293,-0.2104,0.0000,,
B_GDP,Low income,PWT,1168,-0.1248,0.0000,,
B_GDP,Lower middle income,PWT,1425,-0.2038,0.0000,,
B_GDP,Upper middle income,PWT,1566,-0.2228,0.0000,,
B_GDP,High income,PWT,2198,-0.0148,0.4876,,
B_GDP,Pooled,PWT,6357,-0.2358,0.0000,,
C_Decomposition,Component,Housing_rho,GDP_rho,,,,
C_Decomposition,Pooled,+0.038 (p=0.030),,-0.2104 (WDI) / -0.2358 (PWT),,,
C_Decomposition,Weighted within-group,-0.076,,-0.150 to -0.013 (all negative),,,
C_Decomposition,Between-group component,+0.114,,Composition drives pooled sign,,,
D_BlockBootstrap,Income_Group,Bootstrap_p (Housing),LOO_negative_pct,,,,
D_BlockBootstrap,Low income,<0.001,443/443 (100%),,,,
D_BlockBootstrap,Lower middle income,<0.001,636/636 (100%),,,,
D_BlockBootstrap,Upper middle income,0.003,47/47 (100%),,,,
D_BlockBootstrap,High income,0.633,N/A,,,,
D_BlockBootstrap,UMI LOO (47 countries),,47/47 negative; 46/47 sig (p<0.05),,,,
E_Robustness,Specification,Spearman_rho,p_value,N,,,
E_Robustness,Excl. China -- Pooled,+0.042,0.017,3286,,,
E_Robustness,Excl. China -- UMI,-0.095,0.005,876,,,
E_Robustness,Excl. Brazil -- UMI,-0.105,0.002,894,,,
E_Robustness,Excl. Mexico -- UMI,-0.125,<0.001,890,,,
E_Robustness,Excl. Turkey -- UMI,-0.098,0.003,897,,,
E_Robustness,Excl. Russia -- UMI,-0.099,0.003,903,,,
E_Robustness,Excl. all 5 -- UMI,-0.132,<0.001,784,,,
E_Robustness,GDP LOO (UMI 40 countries),,40/40 negative; 40/40 sig,,,,
