Year,N_CN,N_US,Delta_beta,SE,t,p_value,Delta_beta_A,Delta_beta_P,CN_beta_V,CN_beta_A,CN_beta_P,CN_econ,US_beta_V,US_beta_A,US_beta_P,US_econ
2010,275,870,-0.1377,0.0540,-2.548,0.0108,-0.2482,0.1105,1.0250,-0.2642,0.2892,0.0250,1.1627,-0.0160,0.1787,0.1627
2011,275,870,-0.1124,0.0545,-2.064,0.0390,-0.2454,0.1330,1.0402,-0.2619,0.3021,0.0402,1.1526,-0.0165,0.1691,0.1526
2012,275,870,-0.0868,0.0551,-1.576,0.1150,-0.2426,0.1558,1.0549,-0.2603,0.3152,0.0549,1.1417,-0.0177,0.1594,0.1417
2013,275,890,-0.0494,0.0560,-0.882,0.3778,-0.2355,0.1861,1.0723,-0.2569,0.3292,0.0723,1.1217,-0.0214,0.1431,0.1217
2014,275,890,-0.0349,0.0568,-0.614,0.5391,-0.2308,0.1960,1.0828,-0.2539,0.3367,0.0828,1.1177,-0.0231,0.1407,0.1177
2015,275,890,-0.0219,0.0571,-0.384,0.7010,-0.2275,0.2055,1.0930,-0.2519,0.3449,0.0930,1.1149,-0.0245,0.1394,0.1149
2016,275,906,-0.0121,0.0574,-0.211,0.8329,-0.2227,0.2106,1.1040,-0.2495,0.3535,0.1040,1.1161,-0.0267,0.1429,0.1161
2017,275,906,-0.0037,0.0575,-0.064,0.9486,-0.2180,0.2143,1.1151,-0.2473,0.3624,0.1151,1.1188,-0.0293,0.1481,0.1188
2018,275,906,0.0040,0.0578,0.070,0.9443,-0.2161,0.2201,1.1264,-0.2463,0.3727,0.1264,1.1224,-0.0302,0.1526,0.1224
2019,275,920,0.0085,0.0581,0.146,0.8840,-0.2136,0.2221,1.1352,-0.2452,0.3804,0.1352,1.1267,-0.0316,0.1583,0.1267
Mean,,,-0.0446,0.0564,,,-0.2300,0.1854,1.0649,-0.2537,0.3186,0.0649,1.1295,-0.0237,0.1532,0.1295
SD,,,0.0512,,,,0.0125,0.0399,,,,,,,,
Sig_years_p005,,,2/10,,,,,,,,,,,,,
