Panel,Country,Specification,DV,IV,beta,SE,t,p_value,CI_lower,CI_upper,R2,N,Cities,Years,Clustering
A,China,Original (Pooled OLS),MUQ,FAI/GDP,-2.2571,0.4198,-5.377,7.58e-08,-3.0798,-1.4343,0.1233,455,213,2011-2016,HC1
A,China,Clean (Pooled OLS),DeltaV/GDP,FAI/GDP,-0.3669,0.1569,-2.339,1.94e-02,-0.6744,-0.0594,0.0171,455,213,2011-2016,HC1
A,China,City FE,DeltaV/GDP,FAI/GDP,0.5210,0.1022,5.098,3.44e-07,0.3207,0.7213,0.5646,455,213,2011-2016,City cluster
A,China,Two-way FE (City+Year),DeltaV/GDP,FAI/GDP,0.1560,0.2151,0.725,4.68e-01,-0.2657,0.5776,0.6842,455,213,2011-2016,City cluster
A,China,Quantile Q10,DeltaV/GDP,FAI/GDP,-0.0190,0.1592,-0.119,9.05e-01,-0.3318,0.2938,,455,213,2011-2016,
A,China,Quantile Q25,DeltaV/GDP,FAI/GDP,0.0256,0.0708,0.362,7.18e-01,-0.1135,0.1647,,455,213,2011-2016,
A,China,Quantile Q50,DeltaV/GDP,FAI/GDP,-0.0464,0.0737,-0.630,5.29e-01,-0.1914,0.0985,,455,213,2011-2016,
A,China,Quantile Q75,DeltaV/GDP,FAI/GDP,-0.2715,0.1199,-2.265,2.40e-02,-0.5071,-0.0359,,455,213,2011-2016,
A,China,Quantile Q90,DeltaV/GDP,FAI/GDP,-0.8908,0.3672,-2.426,1.57e-02,-1.6125,-0.1691,,455,213,2011-2016,
B,US,Original (Pooled OLS),MUQ,hu_growth,-638.4886,34.9697,-18.258,1.78e-74,-707.0280,-569.9492,0.0303,8607,920,2011-2022,HC1
B,US,Clean (Pooled OLS),DeltaV/GDP,hu_growth,2.8097,0.1007,27.904,0.0000,2.6124,3.0071,0.0956,10760,921,2011-2022,HC1
B,US,Clean (Pooled OLS),DeltaV/GDP,invest_intensity,1.3914,0.0781,17.815,5.45e-71,1.2384,1.5445,0.0789,10760,921,2011-2022,HC1
B,US,Two-way FE (MSA+Year),DeltaV/GDP,hu_growth,2.7623,0.1282,21.547,5.62e-103,2.5110,3.0135,,10760,921,2011-2022,MSA cluster
B,US,Two-way FE (MSA+Year),DeltaV/GDP,invest_intensity,1.6486,0.0898,18.357,2.90e-75,1.4726,1.8246,,10760,921,2011-2022,MSA cluster
C,China,Attenuation ratio,,,0.8374,,,,,,,,,,"= 1 - (clean/original)"
C,China,Total attenuation (orig to TWFE),,,1.0691,,,,,,,,,,"= 1 - (TWFE/original); >1 means sign reversal"
