Year,MUQ_w,MUQ_MA5,MUQ_used_A,Waste_A_pct,Investment_100M_CNY,Carbon_A_Mt,Q_w,Q_MA5,Q_used_B,ExcessK_100M_CNY,Carbon_B_Mt,Carbon_C_Mt,Building_Carbon_Mt,Cap_50pct,Period
2000,1.702,1.497,1.497,0.0,14507,0.0,1.733,1.599,1.599,0,0.0,0.0,800,400,Structural (MA5)
2001,1.407,1.477,1.477,0.0,17357,0.0,1.590,1.544,1.544,0,0.0,0.0,850,425,Structural (MA5)
2002,1.383,1.588,1.588,0.0,21062,0.0,1.473,1.512,1.512,0,0.0,0.0,950,475,Structural (MA5)
2003,1.417,1.682,1.682,0.0,26053,0.0,1.379,1.447,1.447,0,0.0,0.0,1050,525,Structural (MA5)
2004,2.034,1.709,1.709,0.0,30639,0.0,1.383,1.399,1.399,0,0.0,0.0,1200,600,Structural (MA5)
2005,2.172,1.879,1.879,0.0,36028,0.0,1.408,1.383,1.383,0,0.0,0.0,1350,675,Structural (MA5)
2006,1.540,1.756,1.756,0.0,42964,0.0,1.353,1.357,1.357,0,0.0,0.0,1450,725,Structural (MA5)
2007,2.232,1.833,1.833,0.0,53220,0.0,1.394,1.340,1.340,0,0.0,0.0,1550,775,Structural (MA5)
2008,0.801,1.678,1.678,0.0,68462,0.0,1.244,1.307,1.307,0,0.0,0.0,1600,800,Structural (MA5)
2009,2.419,1.636,1.636,0.0,91649,0.0,1.303,1.273,1.273,0,0.0,0.0,1700,850,Structural (MA5)
2010,1.397,1.475,1.475,0.0,105098,0.0,1.241,1.225,1.225,0,0.0,0.0,1800,900,Structural (MA5)
2011,1.333,1.584,1.584,0.0,130583,0.0,1.184,1.199,1.199,0,0.0,0.0,1900,950,Structural (MA5)
2012,1.423,1.274,1.274,0.0,154887,0.0,1.151,1.145,1.145,0,0.0,0.0,1900,950,Structural (MA5)
2013,1.349,1.261,1.261,0.0,182894,0.0,1.115,1.101,1.101,0,0.0,0.0,1850,925,Structural (MA5)
2014,0.867,1.289,1.289,0.0,200985,0.0,1.035,1.068,1.068,0,0.0,0.0,1800,900,Structural (MA5)
2015,1.332,1.243,1.243,0.0,213857,0.0,1.020,1.037,1.037,0,0.0,0.0,1750,875,Structural (MA5)
2016,1.473,1.290,1.290,0.0,233016,0.0,1.019,1.015,1.015,0,0.0,0.0,1800,900,Structural (MA5)
2017,1.195,1.363,1.363,0.0,253222,0.0,0.996,1.006,1.006,0,0.0,0.0,1850,925,Structural (MA5)
2018,1.584,1.317,1.317,0.0,273241,0.0,1.006,0.996,0.996,8227,58.7,29.4,1900,950,Structural (MA5)
2019,1.233,1.208,1.208,0.0,298861,0.0,0.990,0.979,0.979,44633,252.4,126.2,1850,925,Structural (MA5)
2020,1.100,1.015,1.015,0.0,313277,0.0,0.967,0.954,0.954,109122,434.3,217.2,1800,900,Structural (MA5)
2021,0.926,0.765,0.926,7.4,330840,159.8,0.936,0.919,0.936,168549,388.8,274.3,1900,950,Market crash
2022,0.232,0.534,0.232,76.8,326855,850.0,0.872,0.878,0.872,371519,850.0,850.0,1700,850,Market crash (capped)
2023,0.333,0.392,0.333,66.7,309848,775.0,0.830,0.856,0.830,530739,775.0,775.0,1550,775,Market crash (capped)
2024,0.077,0.214,0.077,92.3,309704,700.0,0.785,0.829,0.785,717198,700.0,700.0,1400,700,Market crash (capped)
Summary_Structural,,,,,,,,,,,745,373,,,"2000-2020"
Summary_MarketCrash,,,,,,,,,,,2714,2599,,,"2021-2024"
Summary_Total_A,,,,,,2485,,,,,,,,,"Method A total"
Summary_Total_B,,,,,,,,,,,3459,,,,"Method B total"
Summary_Total_C,,,,,,,,,,,,2972,,,"Method C total"
